,BJD_CODE,KAPT_NAME,KAPT_CODE,BJD_NAME
3,1126010400,묵동동구햇살,A13114201,서울특별시 중랑구 묵동
7,1126010100,면목마젤란,A13120001,서울특별시 중랑구 면목동
1,1126010100,면목경남아너스빌,A13120403,서울특별시 중랑구 면목동
19,1126010100,용마산금호어울림,A13120701,서울특별시 중랑구 면목동
2,1126010100,면목금호어울림,A13120704,서울특별시 중랑구 면목동
0,1126010200,상봉건영캐스빌,A13122001,서울특별시 중랑구 상봉동
5,1126010200,상봉프레미어스엠코,A13122002,서울특별시 중랑구 상봉동
4,1126010200,상봉태영데시앙,A13122104,서울특별시 중랑구 상봉동
2,1126010500,예성그린캐슬아파트,A13123001,서울특별시 중랑구 망우동
3,1126010500,중랑숲Liga아파트,A13123002,서울특별시 중랑구 망우동
1,1126010500,망우신원,A13123101,서울특별시 중랑구 망우동
0,1126010500,망우금호어울림,A13123102,서울특별시 중랑구 망우동
10,1126010200,한일써너스빌아파트,A13170401,서울특별시 중랑구 상봉동
13,1126010100,면목한신,A13175103,서울특별시 중랑구 면목동
4,1126010500,중랑해모로,A13176102,서울특별시 중랑구 망우동
1,1126010400,묵동극동늘푸른아파트,A13176801,서울특별시 중랑구 묵동
2,1126010600,신내6단지,A13176901,서울특별시 중랑구 신내동
5,1126010600,신내9단지임대,A13176902,서울특별시 중랑구 신내동
11,1126010400,묵동자이,A13177501,서울특별시 중랑구 묵동
0,1126010100,면목,A13177701,서울특별시 중랑구 면목동
10,1126010600,신내데시앙,A13178101,서울특별시 중랑구 신내동
11,1126010100,면목신성미소지움,A13181201,서울특별시 중랑구 면목동
17,1126010100,용마금호타운,A13181203,서울특별시 중랑구 면목동
16,1126010100,용마2차한신아파트,A13183202,서울특별시 중랑구 면목동
21,1126010100,용마한신,A13183204,서울특별시 중랑구 면목동
18,1126010100,용마동아,A13183303,서울특별시 중랑구 면목동
4,1126010100,면목대원칸타빌,A13183405,서울특별시 중랑구 면목동
8,1126010100,면목삼익,A13183502,서울특별시 중랑구 면목동
3,1126010100,면목늘푸른동아아파트,A13183504,서울특별시 중랑구 면목동
15,1126010100,아남리치카운티,A13183701,서울특별시 중랑구 면목동
6,1126010100,"면목두산4,5단지",A13184107,서울특별시 중랑구 면목동
14,1126010100,면목현대,A13184208,서울특별시 중랑구 면목동
12,1126010100,면목신성은하수,A13184301,서울특별시 중랑구 면목동
9,1126010100,면목삼호,A13184401,서울특별시 중랑구 면목동
10,1126010100,면목성원,A13184502,서울특별시 중랑구 면목동
14,1126010400,신내4단지,A13184609,서울특별시 중랑구 묵동
15,1126010400,신내5단지대림두산,A13184610,서울특별시 중랑구 묵동
6,1126010400,묵동신도,A13184804,서울특별시 중랑구 묵동
13,1126010400,묵동한국,A13185402,서울특별시 중랑구 묵동
5,1126010400,묵동세방,A13185501,서울특별시 중랑구 묵동
8,1126010400,묵동신안2차,A13185502,서울특별시 중랑구 묵동
7,1126010400,묵동신안1차,A13185507,서울특별시 중랑구 묵동
4,1126010400,묵동브라운스톤태릉,A13185508,서울특별시 중랑구 묵동
3,1126010200,상봉우정,A13185602,서울특별시 중랑구 상봉동
7,1126010200,신내건영1차,A13185603,서울특별시 중랑구 상봉동
8,1126010200,신내건영2차아파트,A13185607,서울특별시 중랑구 상봉동
9,1126010200,신내엘지쌍용,A13186305,서울특별시 중랑구 상봉동
6,1126010200,신내12단지,A13186306,서울특별시 중랑구 상봉동
1,1126010200,상봉동부,A13186401,서울특별시 중랑구 상봉동
21,1126010600,신내우남푸르미아,A13186502,서울특별시 중랑구 신내동
18,1126010600,신내석탑,A13186503,서울특별시 중랑구 신내동
20,1126010600,신내영풍마드레빌,A13186504,서울특별시 중랑구 신내동
11,1126010600,신내동성1차2차,A13186708,서울특별시 중랑구 신내동
8,1126010600,신내다우훼미리,A13186801,서울특별시 중랑구 신내동
15,1126010600,신내라이프미성,A13186905,서울특별시 중랑구 신내동
25,1126010600,신내중앙하이츠,A13186907,서울특별시 중랑구 신내동
19,1126010600,신내성원,A13187004,서울특별시 중랑구 신내동
3,1126010600,신내8단지두산화성,A13187201,서울특별시 중랑구 신내동
26,1126010600,신내진로아파트,A13187203,서울특별시 중랑구 신내동
9,1126010600,신내대명11단지,A13187302,서울특별시 중랑구 신내동
4,1126010600,신내9단지,A13187305,서울특별시 중랑구 신내동
1,1126010600,신내10단지,A13187306,서울특별시 중랑구 신내동
17,1126010600,신내새한아파트,A13187406,서울특별시 중랑구 신내동
0,1126010300,중화극동,A13187501,서울특별시 중랑구 중화동
1,1126010300,중화한신아파트,A13187702,서울특별시 중랑구 중화동
5,1126010100,면목두산2.3차,A13188406,서울특별시 중랑구 면목동
5,1132010800,도봉서광,A13201001,서울특별시 도봉구 도봉동
13,1132010800,서울도봉,A13201002,서울특별시 도봉구 도봉동
12,1132010800,도봉현대성우,A13201201,서울특별시 도봉구 도봉동
10,1132010800,도봉파크빌3단지,A13201202,서울특별시 도봉구 도봉동
0,1132010800,도봉극동아파트,A13201203,서울특별시 도봉구 도봉동
1,1132010800,도봉동아에코빌,A13201206,서울특별시 도봉구 도봉동
4,1132010800,도봉삼환,A13201207,서울특별시 도봉구 도봉동
14,1132010800,서원아파트,A13201208,서울특별시 도봉구 도봉동
11,1132010800,도봉한신,A13201209,서울특별시 도봉구 도봉동
0,1132010600,대상타운현대,A13202002,서울특별시 도봉구 방학동
13,1132010600,방학성원,A13202102,서울특별시 도봉구 방학동
11,1132010600,방학삼성래미안2단지,A13202103,서울특별시 도봉구 방학동
3,1132010600,방학극동,A13202302,서울특별시 도봉구 방학동
4,1132010600,방학대원그린,A13202304,서울특별시 도봉구 방학동
21,1132010600,방학한화성원,A13202306,서울특별시 도봉구 방학동
12,1132010600,방학삼익세라믹,A13202308,서울특별시 도봉구 방학동
14,1132010600,방학신동아1단지,A13202312,서울특별시 도봉구 방학동
7,1132010500,쌍문동북한산월드메르디앙,A13203001,서울특별시 도봉구 쌍문동
0,1132010500,북한산코오롱하늘채,A13203002,서울특별시 도봉구 쌍문동
3,1132010500,쌍문극동,A13203102,서울특별시 도봉구 쌍문동
12,1132010500,쌍문청구,A13203202,서울특별시 도봉구 쌍문동
9,1132010500,쌍문삼성래미안,A13203302,서울특별시 도봉구 쌍문동
13,1132010500,쌍문한양1차,A13203303,서울특별시 도봉구 쌍문동
6,1132010500,쌍문대우파크힐아파트,A13203401,서울특별시 도봉구 쌍문동
5,1132010500,쌍문금호2차,A13203403,서울특별시 도봉구 쌍문동
4,1132010500,쌍문금호1차아파트,A13203408,서울특별시 도봉구 쌍문동
5,1132010700,창동대림,A13204001,서울특별시 도봉구 창동
16,1132010700,창동신도브래뉴,A13204002,서울특별시 도봉구 창동
12,1132010700,창동삼성,A13204103,서울특별시 도봉구 창동
26,1132010700,창동주공4단지,A13204104,서울특별시 도봉구 창동
25,1132010700,창동주공3단지,A13204105,서울특별시 도봉구 창동
2,1132010700,창동금용,A13204201,서울특별시 도봉구 창동
1,1132010700,창동건영캐스빌,A13204203,서울특별시 도봉구 창동
6,1132010700,창동대우,A13204204,서울특별시 도봉구 창동
27,1132010700,창동태영데시앙,A13204205,서울특별시 도봉구 창동
32,1132010700,초안산신도브래뉴,A13204301,서울특별시 도봉구 창동
17,1132010700,창동신창,A13204302,서울특별시 도봉구 창동
30,1132010700,창동현대4차아이파크,A13204402,서울특별시 도봉구 창동
19,1132010700,창동아이파크(창동2.3차현대),A13204404,서울특별시 도봉구 창동
18,1132010700,창동쌍용,A13204406,서울특별시 도봉구 창동
20,1132010700,창동주공17단지,A13204408,서울특별시 도봉구 창동
10,1132010700,창동동아청솔,A13204409,서울특별시 도봉구 창동
4,1132010700,창동대동,A13204501,서울특별시 도봉구 창동
0,1132010700,북한산한신휴플러스,A13204502,서울특별시 도봉구 창동
29,1132010700,창동현대,A13204503,서울특별시 도봉구 창동
14,1132010700,창동상아2차,A13204505,서울특별시 도봉구 창동
9,1132010700,창동동아그린,A13204506,서울특별시 도봉구 창동
13,1132010700,창동상아1차,A13204507,서울특별시 도봉구 창동
24,1132010700,창동주공2단지,A13204508,서울특별시 도봉구 창동
11,1132010700,창동북한산아이파크,A13204510,서울특별시 도봉구 창동
8,1132010600,방학명품ESA2단지,A13272101,서울특별시 도봉구 방학동
5,1132010600,방학동부센트레빌,A13272102,서울특별시 도봉구 방학동
7,1132010700,창동대우그린아파트,A13272201,서울특별시 도봉구 창동
7,1132010800,도봉서원제2,A13275302,서울특별시 도봉구 도봉동
16,1132010600,방학신동아3단지,A13276414,서울특별시 도봉구 방학동
20,1132010600,방학청구,A13276415,서울특별시 도봉구 방학동
18,1132010600,방학우성1차,A13276416,서울특별시 도봉구 방학동
22,1132010600,벽산1,A13276417,서울특별시 도봉구 방학동
9,1132010800,도봉유원아파트,A13280104,서울특별시 도봉구 도봉동
6,1132010800,도봉서울가든,A13281201,서울특별시 도봉구 도봉동
3,1132010800,도봉럭키,A13281802,서울특별시 도봉구 도봉동
19,1132010600,방학우성2차,A13282510,서울특별시 도봉구 방학동
9,1132010600,방학벽산2차,A13283405,서울특별시 도봉구 방학동
15,1132010600,방학신동아2단지,A13283611,서울특별시 도봉구 방학동
2,1132010600,방학거성학마을,A13285305,서울특별시 도봉구 방학동
23,1132010600,브라운스톤 방학아파트,A13285401,서울특별시 도봉구 방학동
7,1132010600,방학명품ESA1단지,A13285404,서울특별시 도봉구 방학동
10,1132010600,방학삼성래미안1단지,A13285406,서울특별시 도봉구 방학동
6,1132010600,방학동양크레오,A13285503,서울특별시 도봉구 방학동
1,1132010600,방학4단지신동아,A13285507,서울특별시 도봉구 방학동
17,1132010600,방학신동아5단지,A13285601,서울특별시 도봉구 방학동
19,1132010500,쌍문현대2차,A13286002,서울특별시 도봉구 쌍문동
15,1132010500,쌍문한양5차,A13286105,서울특별시 도봉구 쌍문동
11,1132010500,쌍문성원,A13286106,서울특별시 도봉구 쌍문동
16,1132010500,쌍문한양6차,A13286107,서울특별시 도봉구 쌍문동
18,1132010500,쌍문현대1차,A13286109,서울특별시 도봉구 쌍문동
14,1132010500,"쌍문한양2,3,4차",A13286110,서울특별시 도봉구 쌍문동
2,1132010500,쌍문경남,A13286203,서울특별시 도봉구 쌍문동
10,1132010500,쌍문삼익,A13286304,서울특별시 도봉구 쌍문동
17,1132010500,쌍문한양7차,A13286904,서울특별시 도봉구 쌍문동
8,1132010500,쌍문동익파크,A13287503,서울특별시 도봉구 쌍문동
20,1132010500,쌍문현대3차,A13287801,서울특별시 도봉구 쌍문동
8,1132010700,창동동아,A13290003,서울특별시 도봉구 창동
21,1132010700,창동주공18단지,A13290105,서울특별시 도봉구 창동
22,1132010700,창동주공19단지,A13290107,서울특별시 도봉구 창동
3,1132010700,창동금호어울림,A13290404,서울특별시 도봉구 창동
23,1132010700,창동주공1단지,A13290809,서울특별시 도봉구 창동
28,1132010700,창동한신,A13292002,서울특별시 도봉구 창동
31,1132010700,창동현대타운(주복),A13292501,서울특별시 도봉구 창동
15,1132010700,창동성원,A13292701,서울특별시 도봉구 창동
2,1132010800,도봉래미안,A13293505,서울특별시 도봉구 도봉동
1,1132010500,브라운스톤쌍문,A13295201,서울특별시 도봉구 쌍문동
6,1120010200,청계벽산,A13302001,서울특별시 성동구 하왕십리동
14,1114016200,하왕한진그랑빌,A13302201,서울특별시 중구 신당동
9,1120010200,하왕극동미라주,A13302203,서울특별시 성동구 하왕십리동
10,1120010200,하왕금호베스트빌,A13302204,서울특별시 성동구 하왕십리동
13,1120010200,행당풍림아이원,A13302206,서울특별시 성동구 하왕십리동
1,1120010500,마장동 대성유니드 아파트,A13305002,서울특별시 성동구 마장동
5,1120010500,마장신성미소지움,A13305003,서울특별시 성동구 마장동
0,1120010500,마장SH-vill임대,A13305005,서울특별시 성동구 마장동
3,1120010500,마장삼성,A13305006,서울특별시 성동구 마장동
4,1120010500,마장세림,A13305007,서울특별시 성동구 마장동
6,1120010700,행당두산,A13307001,서울특별시 성동구 행당동
2,1120010700,서울숲행당푸르지오,A13307002,서울특별시 성동구 행당동
0,1120010700,서울숲더샵,A13307003,서울특별시 성동구 행당동
9,1120010700,행당삼부아파트,A13307101,서울특별시 성동구 행당동
8,1120010700,행당브라운스톤,A13307201,서울특별시 성동구 행당동
3,1120010700,신동아,A13307202,서울특별시 성동구 행당동
4,1120010700,행당대림,A13307204,서울특별시 성동구 행당동
0,1120010800,응봉금호현대,A13308004,서울특별시 성동구 응봉동
1,1120010800,응봉대림1차,A13308005,서울특별시 성동구 응봉동
4,1120010900,신금호두산위브,A13309101,서울특별시 성동구 금호동1가
3,1120010900,금호삼성래미안,A13309102,서울특별시 성동구 금호동1가
2,1120010900,"금호벽산(임대,501동)",A13309103,서울특별시 성동구 금호동1가
3,1120011100,금호한신휴플러스,A13309301,서울특별시 성동구 금호동3가
2,1120011200,금호동롯데아파트,A13309402,서울특별시 성동구 금호동4가
0,1120011200,금호대우,A13309404,서울특별시 성동구 금호동4가
4,1120011300,옥수극동,A13310004,서울특별시 성동구 옥수동
4,1120011400,성수금호3차,A13311101,서울특별시 성동구 성수동1가
1,1120011500,성수두산위브,A13312101,서울특별시 성동구 성수동2가
2,1120011500,성수롯데캐슬,A13312302,서울특별시 성동구 성수동2가
3,1120011500,성수아이파크,A13312303,서울특별시 성동구 성수동2가
0,1120011800,서울숲아이파크,A13316001,서울특별시 성동구 송정동
0,1120010400,성동삼성쉐르빌,A13370801,서울특별시 성동구 도선동
2,1120011400,성수2차대우,A13372101,서울특별시 성동구 성수동1가
8,1120011400,성수쌍용,A13372102,서울특별시 성동구 성수동1가
11,1120010700,행당한신임대,A13373101,서울특별시 성동구 행당동
1,1120010100,텐즈힐2구역,A13373301,서울특별시 성동구 상왕십리동
0,1120010100,왕십리텐즈힐2구역214동,A13373302,서울특별시 성동구 상왕십리동
12,1120011300,한남하이츠,A13375901,서울특별시 성동구 옥수동
6,1120011300,옥수삼성,A13375902,서울특별시 성동구 옥수동
3,1120011300,옥수강변풍림아이원,A13375903,서울특별시 성동구 옥수동
10,1120011300,옥수하이츠제2,A13375904,서울특별시 성동구 옥수동
7,1120011300,옥수삼성임대,A13375905,서울특별시 성동구 옥수동
2,1120011300,어울림더리버아파트,A13375906,서울특별시 성동구 옥수동
0,1120011300,래미안옥수리버젠,A13375907,서울특별시 성동구 옥수동
1,1120011300,래미안옥수리버젠제2임대,A13375908,서울특별시 성동구 옥수동
9,1120011400,성수한진타운,A13376405,서울특별시 성동구 성수동1가
11,1120011300,옥수현대,A13376702,서울특별시 성동구 옥수동
3,1120010800,응봉대림강변,A13376906,서울특별시 성동구 응봉동
11,1120010200,하왕십리극동미라주2,A13377301,서울특별시 성동구 하왕십리동
0,1120010200,금호베스트빌아파트 제2관리사무소,A13377302,서울특별시 성동구 하왕십리동
12,1120010700,행당한진타운,A13377703,서울특별시 성동구 행당동
7,1120010700,행당두산위브아파트,A13377901,서울특별시 성동구 행당동
5,1120010700,행당대림제2,A13377902,서울특별시 성동구 행당동
13,1120010700,행당한진타운제2,A13377903,서울특별시 성동구 행당동
0,1120011500,서울숲힐스테이트,A13378001,서울특별시 성동구 성수동2가
1,1120011200,금호대우임대,A13378101,서울특별시 성동구 금호동4가
4,1120011200,서울숲2차푸르지오,A13378102,서울특별시 성동구 금호동4가
2,1120011100,금호자이2차,A13379001,서울특별시 성동구 금호동3가
3,1120011400,성수갤러리아포레,A13379401,서울특별시 성동구 성수동1가
1,1120010900,금호벽산,A13380104,서울특별시 성동구 금호동1가
0,1120011000,금호자이1차,A13380301,서울특별시 성동구 금호동2가
1,1120011000,래미안하이리버,A13380302,서울특별시 성동구 금호동2가
2,1120011000,래미안하이리버제2임대,A13380303,서울특별시 성동구 금호동2가
0,1120011100,금호1차푸르지오,A13380602,서울특별시 성동구 금호동3가
1,1120011100,금호두산,A13380703,서울특별시 성동구 금호동3가
5,1120011200,서울숲푸르지오,A13380803,서울특별시 성동구 금호동4가
3,1120011200,브라운스톤금호아파트,A13380901,서울특별시 성동구 금호동4가
6,1120010500,마장중앙하이츠,A13381601,서울특별시 성동구 마장동
2,1120010500,마장동금호어울림,A13381604,서울특별시 성동구 마장동
7,1120010500,마장현대,A13381608,서울특별시 성동구 마장동
0,1120010600,사근중앙하이츠,A13381701,서울특별시 성동구 사근동
11,1120011400,성수현대그린,A13381902,서울특별시 성동구 성수동1가
5,1120011400,성수대림로즈빌,A13382104,서울특별시 성동구 성수동1가
6,1120011400,성수동아,A13382106,서울특별시 성동구 성수동1가
10,1120011400,성수현대,A13382502,서울특별시 성동구 성수동1가
6,1120011500,성수한강한신,A13382802,서울특별시 성동구 성수동2가
5,1120011500,성수청구강변 ,A13383003,서울특별시 성동구 성수동2가
4,1120011500,성수우방2차,A13383301,서울특별시 성동구 성수동2가
1,1120011800,송정건영,A13383702,서울특별시 성동구 송정동
8,1120011300,옥수중앙하이츠,A13383801,서울특별시 성동구 옥수동
13,1120011400,한양현대아파트,A13384301,서울특별시 성동구 성수동1가
1,1120011400,뚝섬중앙하이츠빌,A13384303,서울특별시 성동구 성수동1가
7,1120011400,성수동아그린,A13384304,서울특별시 성동구 성수동1가
5,1120011300,옥수극동그린아파트,A13384403,서울특별시 성동구 옥수동
2,1120010800,응봉대림2차,A13385202,서울특별시 성동구 응봉동
4,1120010800,응봉리버그린동아,A13385301,서울특별시 성동구 응봉동
5,1120010800,응봉신동아,A13385303,서울특별시 성동구 응봉동
12,1120010200,한신무학,A13385705,서울특별시 성동구 하왕십리동
1,1120010200,무학현대,A13385802,서울특별시 성동구 하왕십리동
10,1120010700,행당한신아파트,A13386702,서울특별시 성동구 행당동
7,1120010200,청계벽산아파트제2관리사무소,A13388001,서울특별시 성동구 하왕십리동
0,1120011400,강변건영,A13392307,서울특별시 성동구 성수동1가
8,1174010900,천호두산위브센티움,A13402001,서울특별시 강동구 천호동
16,1174010900,천호태영,A13402002,서울특별시 강동구 천호동
2,1174010900,대우한강베네시티,A13402003,서울특별시 강동구 천호동
12,1174010900,천호우성,A13402103,서울특별시 강동구 천호동
4,1174010900,천호e-편한세상,A13402202,서울특별시 강동구 천호동
1,1174010900,강변그대가리버뷰,A13402204,서울특별시 강동구 천호동
17,1174010900,천호태영임대,A13402304,서울특별시 강동구 천호동
9,1174010900,천호삼성아파트,A13402305,서울특별시 강동구 천호동
3,1174010800,성내2차e-편한세상,A13403001,서울특별시 강동구 성내동
5,1174010800,성내성안청구,A13403002,서울특별시 강동구 성내동
4,1174010800,성내삼성,A13403101,서울특별시 강동구 성내동
3,1174010700,암사삼성광나루,A13405002,서울특별시 강동구 암사동
6,1174010700,프라이어팰리스,A13405003,서울특별시 강동구 암사동
4,1174010700,암사선사현대,A13405201,서울특별시 강동구 암사동
0,1174010600,둔촌동동아,A13406002,서울특별시 강동구 둔촌동
5,1174010600,둔촌하이츠,A13406003,서울특별시 강동구 둔촌동
4,1174010600,둔촌프라자,A13406005,서울특별시 강동구 둔촌동
2,1174010600,둔촌주공,A13406006,서울특별시 강동구 둔촌동
7,1174010600,둔촌현대2차,A13406201,서울특별시 강동구 둔촌동
1,1174010600,둔촌신동아,A13406204,서울특별시 강동구 둔촌동
10,1174010600,신성둔촌미소지움1차,A13406205,서울특별시 강동구 둔촌동
6,1174010600,둔촌현대1차,A13406206,서울특별시 강동구 둔촌동
4,1174010100,"명일삼익가든1,2차",A13407002,서울특별시 강동구 명일동
6,1174010100,명일삼익그린1차,A13407103,서울특별시 강동구 명일동
7,1174010100,명일삼익그린2차,A13407104,서울특별시 강동구 명일동
5,1174010100,명일삼익그린11차,A13407201,서울특별시 강동구 명일동
8,1174010100,명일삼환아파트,A13407202,서울특별시 강동구 명일동
9,1174010100,명일신동아,A13407204,서울특별시 강동구 명일동
4,1174010200,고덕주공2단지,A13408001,서울특별시 강동구 고덕동
3,1174010200,고덕아이파크아파트,A13408003,서울특별시 강동구 고덕동
8,1174010300,상일동아,A13409001,서울특별시 강동구 상일동
4,1174010300,고덕주공3단지,A13409007,서울특별시 강동구 상일동
2,1174011000,강일리버파크1단지,A13410001,서울특별시 강동구 강일동
9,1174011000,강일리버파크8단지,A13410002,서울특별시 강동구 강일동
3,1174011000,강일리버파크2단지,A13410003,서울특별시 강동구 강일동
7,1174011000,강일리버파크6단지,A13410004,서울특별시 강동구 강일동
0,1174011000,강일리버파크10단지,A13410005,서울특별시 강동구 강일동
5,1174011000,강일리버파크4단지,A13410006,서울특별시 강동구 강일동
10,1174011000,강일리버파크9단지,A13410007,서울특별시 강동구 강일동
4,1174011000,강일리버파크3단지,A13410008,서울특별시 강동구 강일동
6,1174011000,강일리버파크5단지,A13410009,서울특별시 강동구 강일동
8,1174011000,강일리버파크7단지,A13410010,서울특별시 강동구 강일동
12,1174011000,고덕리엔파크2단지,A13410011,서울특별시 강동구 강일동
11,1174011000,고덕리엔파크1단지,A13410012,서울특별시 강동구 강일동
2,1174010500,길동삼익파크,A13470101,서울특별시 강동구 길동
0,1174010500,강동QV2차,A13470102,서울특별시 강동구 길동
7,1174010500,청광플러스원큐브3차,A13470104,서울특별시 강동구 길동
11,1174010600,신성둔촌미소지움2차,A13470502,서울특별시 강동구 둔촌동
3,1174010600,둔촌푸르지오,A13470503,서울특별시 강동구 둔촌동
8,1174010600,둔촌현대3차,A13470504,서울특별시 강동구 둔촌동
5,1174010700,암사한강현대,A13471501,서울특별시 강동구 암사동
10,1174010900,천호삼성임대,A13472201,서울특별시 강동구 천호동
1,1174010300,고덕리엔파크3단지,A13472701,서울특별시 강동구 상일동
6,1174010900,천호동아코아,A13475001,서울특별시 강동구 천호동
1,1174010100,고덕현대,A13478601,서울특별시 강동구 명일동
6,1174010200,고덕현대,A13480401,서울특별시 강동구 고덕동
5,1174010200,고덕주공8단지상록,A13480402,서울특별시 강동구 고덕동
2,1174010200,고덕아남,A13480403,서울특별시 강동구 고덕동
1,1174010200,고덕삼익그린12차,A13480701,서울특별시 강동구 고덕동
6,1174010500,길동현대아파트,A13480803,서울특별시 강동구 길동
3,1174010500,길동신동아,A13480906,서울특별시 강동구 길동
4,1174010500,길동우성1차,A13481001,서울특별시 강동구 길동
5,1174010500,길동우성2차,A13481305,서울특별시 강동구 길동
9,1174010600,둔촌현대4차,A13481802,서울특별시 강동구 둔촌동
3,1174010100,명일동우성,A13482505,서울특별시 강동구 명일동
11,1174010100,명일한양,A13482603,서울특별시 강동구 명일동
0,1174010100,고덕주공9단지,A13482706,서울특별시 강동구 명일동
12,1174010100,명일현대,A13482801,서울특별시 강동구 명일동
10,1174010100,명일엘지,A13483002,서울특별시 강동구 명일동
5,1174010300,고덕주공4단지,A13483602,서울특별시 강동구 상일동
6,1174010300,고덕주공5단지,A13483605,서울특별시 강동구 상일동
9,1174010300,주공7,A13483706,서울특별시 강동구 상일동
7,1174010300,명일중앙하이츠아파트,A13483803,서울특별시 강동구 상일동
7,1174010800,성내현대,A13484003,서울특별시 강동구 성내동
0,1174010800,SK허브진주상복합아파트,A13484004,서울특별시 강동구 성내동
6,1174010800,성내코오롱,A13484102,서울특별시 강동구 성내동
2,1174010800,성내1차e-편한세상,A13484201,서울특별시 강동구 성내동
1,1174010800,둔촌역청구아파트,A13484501,서울특별시 강동구 성내동
1,1174010700,강동현대홈타운,A13485301,서울특별시 강동구 암사동
0,1174010700,강동롯데캐슬퍼스트아파트,A13485302,서울특별시 강동구 암사동
2,1174010700,암사동한솔아파트,A13485401,서울특별시 강동구 암사동
5,1174010900,천호금호,A13486102,서울특별시 강동구 천호동
19,1174010900,천호현대,A13486401,서울특별시 강동구 천호동
7,1174010900,천호동아하이빌,A13486504,서울특별시 강동구 천호동
18,1174010900,천호한신,A13486601,서울특별시 강동구 천호동
11,1174010900,천호삼익,A13486701,서울특별시 강동구 천호동
13,1174010900,천호유원,A13486703,서울특별시 강동구 천호동
14,1174010900,천호중앙하이츠,A13486705,서울특별시 강동구 천호동
20,1174010900,천호현대타워,A13487102,서울특별시 강동구 천호동
15,1174010900,천호코오롱,A13487103,서울특별시 강동구 천호동
1,1174010500,길동GS강동자이,A13488104,서울특별시 강동구 길동
3,1168010800,동양파라곤,A13501001,서울특별시 강남구 논현동
5,1168010800,마일스디오빌,A13501002,서울특별시 강남구 논현동
2,1168010800,논현신동아,A13501004,서울특별시 강남구 논현동
6,1168010800,아크로힐스논현,A13501006,서울특별시 강남구 논현동
20,1168010100,역삼휴먼터치빌,A13508001,서울특별시 강남구 역삼동
10,1168010100,역삼경남,A13508002,서울특별시 강남구 역삼동
2,1168010100,대우디오빌플러스,A13508003,서울특별시 강남구 역삼동
12,1168010100,역삼동부센트레빌,A13508004,서울특별시 강남구 역삼동
19,1168010100,역삼한스빌아파트,A13508005,서울특별시 강남구 역삼동
14,1168010100,역삼래미안팬타빌,A13508006,서울특별시 강남구 역삼동
16,1168010100,역삼아이파크,A13508009,서울특별시 강남구 역삼동
15,1168010100,역삼쌍용플래티넘밸류,A13508010,서울특별시 강남구 역삼동
3,1168010100,래미안그레이튼,A13508011,서울특별시 강남구 역삼동
21,1168010100,테헤란 IPARK,A13508012,서울특별시 강남구 역삼동
11,1168010500,삼성현대,A13509001,서울특별시 강남구 삼성동
9,1168010500,삼성풍림아파트1차,A13509003,서울특별시 강남구 삼성동
10,1168010500,삼성한솔,A13509004,서울특별시 강남구 삼성동
4,1168010500,삼성래미안2차,A13509005,서울특별시 강남구 삼성동
7,1168010500,삼성서광,A13509006,서울특별시 강남구 삼성동
5,1168010500,삼성롯데,A13509007,서울특별시 강남구 삼성동
15,1168010500,아이파크삼성동,A13509009,서울특별시 강남구 삼성동
6,1168010500,삼성롯데캐슬프레미어,A13509010,서울특별시 강남구 삼성동
13,1168010500,삼성힐스테이트1단지,A13509012,서울특별시 강남구 삼성동
8,1168010500,삼성청구타운,A13509101,서울특별시 강남구 삼성동
7,1168010400,청담삼성1차,A13510001,서울특별시 강남구 청담동
14,1168010400,청담휴먼스타빌,A13510002,서울특별시 강남구 청담동
4,1168010400,청담대우유로카운티,A13510003,서울특별시 강남구 청담동
8,1168010400,청담삼성진흥,A13510005,서울특별시 강남구 청담동
3,1168010400,청담대림,A13510006,서울특별시 강남구 청담동
12,1168010400,청담자이,A13510007,서울특별시 강남구 청담동
6,1168010400,청담래미안로이뷰,A13510009,서울특별시 강남구 청담동
13,1168010400,청담현대3차,A13510102,서울특별시 강남구 청담동
0,1168010400,삼성청담공원,A13510103,서울특별시 강남구 청담동
9,1168010400,청담삼익,A13510104,서울특별시 강남구 청담동
10,1168010400,청담삼환,A13510201,서울특별시 강남구 청담동
1,1168010400,청담2차현대아파트,A13510202,서울특별시 강남구 청담동
5,1168010400,청담래미안,A13510203,서울특별시 강남구 청담동
2,1168011000,압구정미성1차,A13511001,서울특별시 강남구 압구정동
3,1168011000,압구정미성2차,A13511003,서울특별시 강남구 압구정동
4,1168011000,압구정신현대,A13511004,서울특별시 강남구 압구정동
1,1168011000,"압구정 현대(10,13,14차)",A13511101,서울특별시 강남구 압구정동
8,1168011000,압구정현대8차,A13511201,서울특별시 강남구 압구정동
1,1168011100,강남신동아파밀리에1단지,A13519001,서울특별시 강남구 세곡동
7,1168011100,신동아파밀리에,A13519002,서울특별시 강남구 세곡동
4,1168011100,세곡리엔파크3단지,A13519003,서울특별시 강남구 세곡동
5,1168011100,세곡리엔파크4단지,A13519004,서울특별시 강남구 세곡동
0,1168011100,강남데시앙파크,A13519005,서울특별시 강남구 세곡동
6,1168011100,세곡푸르지오,A13519006,서울특별시 강남구 세곡동
2,1168011100,강남엘에이치1단지,A13519007,서울특별시 강남구 세곡동
0,1168011200,LH강남3단지,A13519008,서울특별시 강남구 자곡동
5,1168011200,래미안포레,A13520001,서울특별시 강남구 자곡동
