,CODE_HEAT,SUBWAY_STATION,SUBWAY_LINE,DISPOSAL_TYPE,CODE_ECON,KAPTD_CCCNT,WELFARE_FACILITY,KAPT_BCOMPANY,KAPT_USEDATE,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,CODE_HALL,CODE_SALE,EDUCATION_FACILITY,KAPT_CODE
0,개별난방,신당,"2호선, 6호선",-,종합계약,279,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",(주)삼성물산,2011-10-28,5~10분이내,10~15분이내,계단식,분양,"초등학교(신당,무학,흥인 ,청구) 중학교(금호여) 고등학교(성동)",A10078901
0,개별난방,신당,"2호선, 5호선, 6호선","도포식,분무식,독이식",단일계약,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",삼성물산(주),2011-10-28,5~10분이내,10~15분이내,복도식,임대,"초등학교(신당,무학,흥인 ,청구) 중학교(금호여) 고등학교(성동)",A10078902
0,개별난방,-,-,도포식,종합계약,144,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",반도건설,2019-06-07,5분이내,5분이내,혼합식,임대,-,A10025456
0,개별난방,신당역,"2호선, 6호선",분무식,종합계약,76,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",kcc건설,2019-05-31,5분이내,5~10분이내,계단식,분양,초등학교() 중학교() 고등학교(),A10025372
0,개별난방,버티고개,6호선,"도포식,분무식,독이식",단일계약,289,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",현대건설.SK건설.동아건설,2002-05-25,5분이내,5분이내,혼합식,분양,초등학교(장충초) 중학교(장충중학교) 고등학교(동호정보공고),A10045302
0,개별난방,약수역,"3호선, 6호선","도포식,분무식,독이식",단일계약,135,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",동아건설,2002-05-26,5분이내,5분이내,복도식,임대,초등학교(장충초) 중학교(장충중학교) 고등학교(동호정보공고),A10045301
0,개별난방,청구,"5호선, 6호선",분무식,종합계약,223,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",삼성물산,1999-12-22,5~10분이내,5~10분이내,혼합식,분양,"초등학교(청구, 흥인초등학교) 중학교(금호여자중학교) 고등학교(대경정보산업고등학교)",A10045403
0,개별난방,청구,"5호선, 6호선","분무식,독이식",단일계약,21,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",삼성물산,1999-12-22,5분이내,5분이내,복도식,임대,"초등학교(청구, 흥인초등학교) 중학교(금호여자중학교) 고등학교(대경정보산업고등학교)",A10045401
0,개별난방,약수,"3호선, 6호선",-,단일계약,275,"관리사무소, 노인정, 어린이놀이터",동아건설(주),1999-07-29,5분이내,5분이내,혼합식,분양,초등학교(동산초등학교) 중학교(대경중학교) 고등학교(정보산업고등학교),A10045404
0,개별난방,청구,"5호선, 6호선","도포식,분무식,기구부착식,독이식",단일계약,138,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",대우건설(주),2005-12-28,5분이내,5~10분이내,계단식,분양,"초등학교(청구,흥인초등학교) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대학교)",A10045001
0,개별난방,신당,"2호선, 6호선","분무식,기구부착식",단일계약,104,"관리사무소, 노인정, 어린이놀이터",현대건설(주),1993-09-17,5~10분이내,5~10분이내,혼합식,분양,"초등학교(청구,흥인초등학교) 중학교(금호여자중학교)",A10045601
0,개별난방,약수,"3호선, 6호선","도포식,분무식,독이식",단일계약,39,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",동아건설,1999-07-29,5~10분이내,5~10분이내,복도식,임대,초등학교(동산초등학교) 중학교(대경중학교) 고등학교(정보산업고등학교) 대학교(동국대학교),A10045402
0,개별난방,청구,"5호선, 6호선",도포식,종합계약,208,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",대림산업,2011-12-13,5~10분이내,5~10분이내,계단식,분양,"초등학교(청구,흥인,장충) 중학교(한양,금호여,대경) 고등학교(성동,한양공,성동글로벌경영,대경정보산업)",A10045002
0,개별난방,청구,"2호선, 5호선, 6호선","도포식,분무식,독이식",단일계약,27,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",대림산업주식회사,2011-12-13,5~10분이내,5~10분이내,복도식,임대,"초등학교(청구,흥인,장충) 중학교(한양,금호여,대경) 고등학교(성동,한양공,성동글로벌경영,대경정보산업)",A10078103
0,개별난방,상왕십리역,2호선,"도포식,분무식,독이식",종합계약,88,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",한진중공업,2001-06-18,5~10분이내,5~10분이내,혼합식,분양,"초등학교(무학초등학교, 신당초등학교) 고등학교(성동고등학교) 대학교(한양여자대학교)",A13302201
0,개별난방,-,"2호선, 6호선",분무식,단일계약,67,"관리사무소, 문고, 커뮤니티공간, 자전거보관소",롯데건설(주),2014-10-23,5분이내,5분이내,복도식,분양,-,A10095501
0,개별난방,-,"2호선, 6호선","분무식,기구부착식",단일계약,237,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 기타",두산중공업,2014-12-22,5분이내,5분이내,혼합식,분양,-,A10095502
0,개별난방,동묘,"1호선, 2호선, 6호선",분무식,단일계약,46,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",롯데건설,2008-12-22,10~15분이내,15~20분이내,복도식,임대,초등학교(숭신초) 고등학교(성동공업고),A10044001
0,개별난방,동묘,"1호선, 6호선","분무식,독이식",종합계약,703,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",롯데건설,2008-12-22,10~15분이내,15~20분이내,복도식,분양,초등학교(숭신초) 고등학교(성동공업고),A10044002
0,개별난방,신당,"2호선, 6호선","도포식,분무식,독이식",종합계약,185,"관리사무소, 어린이놀이터",대림산업,2010-03-31,5분이내,5분이내,계단식,분양,초등학교(신당초등학교) 고등학교(성동고교) 대학교(동국대학교),A10086801
0,개별난방,"시청역, 서대문역","1호선, 2호선, 5호선",분무식,종합계약,170,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",롯데건설,2016-08-31,5~10분이내,5~10분이내,복도식,분양,-,A10027364
0,개별난방,충정로역,"2호선, 5호선",도포식,단일계약,37,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",삼성물산(주),2001-07-11,5분이내,5분이내,복도식,임대,초등학교(봉래초등학교) 중학교(환일중학교) 고등학교(경기여자상업고등학교) 대학교(추계예술대학교),A10085902
0,개별난방,충정로,"2호선, 5호선","분무식,독이식",종합계약,105,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",삼성물산,2001-07-11,5~10분이내,5분이내,계단식,분양,초등학교(봉래초등학교) 고등학교(경기여상) 대학교(경기대학교),A10085903
0,개별난방,서울,"1호선, 2호선, 4호선, 경의선, 경춘선, 공항철도",-,단일계약,43,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",LIG건설(주),2012-01-31,5~10분이내,10~15분이내,계단식,분양,"초등학교(봉래,소의) 중학교(환일) 고등학교(환일,경기여상)",A10080701
0,개별난방,서울역,"1호선, 2호선, 4호선, 6호선, 9호선, 경의선, 공항철도","도포식,분무식,독이식",단일계약,352,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",GS건설주식회사,2017-08-07,5~10분이내,10~15분이내,혼합식,임대+분양,-,A10026881
0,개별난방,-,"1호선, 2호선, 4호선, 5호선, 경의선, 공항철도","도포식,기구부착식",종합계약,92,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",(주)한라건설,2018-01-16,5분이내,5~10분이내,계단식,분양,-,A10026517
0,개별난방,숙대입구,"1호선, 4호선",-,단일계약,14,"관리사무소, 노인정, 어린이놀이터, 휴게시설",라이프주택,1980-07-22,5분이내,10~15분이내,복도식,분양,"초등학교(삼광, 후암) 중학교(용산, 보성여중) 고등학교(용산, 보성여고) 대학교(숙명여대)",A14019001
0,중앙난방,서울,"1호선, 4호선, 공항철도","도포식,분무식,기구부착식,독이식",종합계약,280,"관리사무소, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",동부건설,2013-09-09,5~10분이내,5~10분이내,계단식,분양,"초등학교(봉래,) 중학교(환일, 배문) 고등학교(환일, 경기여상,) 대학교(숙명여대)",A14070901
0,개별난방,남영,"1호선, 4호선, 6호선","도포식,분무식,기구부착식,기구설치식,독이식",종합계약,70,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",금호건설,2010-04-29,5분이내,-,혼합식,분양,"초등학교(남정초,신광여초) 중학교(신광여중,선린중) 고등학교(신광여고,선린인터넷고) 대학교(숙명여대)",A14070301
0,개별난방,-,"1호선, 4호선","도포식,분무식",종합계약,160,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",동아건설,2014-02-17,5~10분이내,5~10분이내,혼합식,분양,-,A14070302
0,개별난방,효창공원앞,"1호선, 4호선, 6호선","도포식,분무식,독이식",단일계약,38,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",세방건설,2005-04-11,10~15분이내,10~15분이내,계단식,분양,"초등학교(남정, 용산) 고등학교(성심여고) 대학교(숙명여대)",A14006001
0,개별난방,"신용산, 마포, 공덕","4호선, 5호선",분무식,단일계약,150,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",삼성물산,2001-01-10,10~15분이내,10~15분이내,혼합식,분양,"초등학교(원효, 마포) 중학교(성심여중) 고등학교()",A14004002
0,개별난방,"마포, 공덕","5호선, 6호선",-,단일계약,37,"관리사무소, 노인정, 어린이놀이터",삼성물산,2001-01-10,5분이내,10~15분이내,복도식,임대,"초등학교(원효, 마포, ) 고등학교(성심여고, )",A14076401
0,개별난방,"마포, 공덕","5호선, 6호선, 경의선, 공항철도","도포식,분무식",단일계약,32,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",한진건설(주),2001-02-22,10~15분이내,10~15분이내,복도식,분양,"초등학교(원효) 중학교(성심여중) 고등학교(성심여고, )",A14004001
0,개별난방,마포,5호선,분무식,종합계약,111,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",부곡레저,2005-08-18,5~10분이내,5~10분이내,계단식,분양,"초등학교(마포, 원효) 고등학교(성심여고, )",A14005001
0,개별난방,"마포, 효창공원앞","1호선, 4호선, 5호선",분무식,단일계약,65,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",삼성중공업,1999-12-24,5분이내,10~15분이내,복도식,분양,초등학교(원효) 중학교() 고등학교(성심여고),A14085101
0,지역난방,"용산역, 마포, 효창공원앞","1호선, 5호선, 6호선","도포식,분무식",단일계약,54,"관리사무소, 문고, 어린이놀이터, 휴게시설, 자전거보관소",한양건설,1977-04-04,5분이내,15~20분이내,복도식,분양,초등학교(원효) 고등학교(성심여고),A14085002
0,개별난방,효창공원역,6호선,-,종합계약,223,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",롯데건설,2019-04-29,5분이내,5분이내,계단식,임대+분양,-,A10025533
0,개별난방,-,6호선,-,종합계약,78,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",kcc스위첸,2018-09-21,5분이내,5분이내,계단식,분양,초등학교(),A10025898
0,개별난방,효창공원앞,"6호선, 중앙선","도포식,분무식",단일계약,109,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",대우건설(주),2010-08-31,5분이내,5분이내,계단식,분양,초등학교(금양) 중학교(선린) 고등학교(신린인터넷) 대학교(숙명여자대학교),A14074101
0,개별난방,효창공원,"5호선, 6호선","도포식,분무식",단일계약,318,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",삼성,2001-08-03,5분이내,5~10분이내,계단식,분양,"초등학교(금양, 원효, 남정) 중학교(선린중) 고등학교(선린인터넷, 성심여고, ) 대학교(숙명여대)",A14007002
0,개별난방,-,-,-,단일계약,47,"관리사무소, 노인정, 보육시설, 어린이놀이터",삼성물산,2001-08-03,5분이내,-,복도식,임대,-,A14007001
0,개별난방,효창공원,6호선,분무식,종합계약,58,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",이수건설(주),2011-07-05,5~10분이내,5~10분이내,계단식,분양,"초등학교(남정,금양) 중학교(성심여자) 고등학교(성심여자) 대학교(숙명여대)",A14083101
0,개별난방,서울지하철공사,"1호선, 4호선, 6호선","기구부착식,독이식",종합계약,106,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소",(주) KCC 건설,2015-03-27,5~10분이내,5~10분이내,계단식,분양,초등학교() 중학교(),A10027901
0,개별난방,"삼각지,효창공원","4호선, 6호선","도포식,분무식",종합계약,97,"관리사무소, 노인정, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",CJ건설,2007-07-02,5~10분이내,5~10분이내,복도식,분양,"초등학교(남정초,용산초) 중학교(선린중,신광여중) 고등학교(선린인터넷고,신광여고) 대학교(숙명여대)",A14010003
0,개별난방,-,"4호선, 6호선","도포식,분무식",종합계약,70,"관리사무소, 노인정, 보육시설, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",고려개발,2007-01-22,5분이내,5~10분이내,혼합식,분양,-,A14010001
0,개별난방,"삼각지,효창공원","1호선, 4호선, 6호선","도포식,분무식,독이식",종합계약,130,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",(주)대우자동차판매,2007-07-24,10~15분이내,5~10분이내,계단식,분양,"초등학교(남정초,용산초) 중학교(선린중,신광여중) 고등학교(선린인터넷고,신광여고) 대학교(숙명여대)",A14010002
0,중앙난방,용산,"1호선, 4호선, 6호선, 경의선",-,-,0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",대림산업,2011-04-01,5~10분이내,15~20분이내,계단식,임대+분양,"초등학교(남정,용산,신광,금양) 중학교(선린,신광여) 고등학교(용산공고,신광여,선린인터넷고) 대학교(숙명여대)",A14009001
0,개별난방,삼각지,"4호선, 6호선","도포식,분무식,기구부착식,독이식",종합계약,105,"관리사무소, 자전거보관소",(주)대우건설,2007-10-15,5분이내,5분이내,복도식,분양,초등학교(용산초등학교),A14001101
0,개별난방,삼각지역,"4호선, 6호선","분무식,독이식",종합계약,104,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",GS건설,2005-12-23,5분이내,5분이내,계단식,분양,"초등학교(남정, 용산) 중학교(선린) 고등학교(선린인터넷, 성심여고) 대학교(숙명여대)",A14075201
0,중앙난방,-,-,-,기타,746,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간",삼성물산,2017-05-31,5분이내,5분이내,혼합식,분양,-,A10026922
0,개별난방,서울메트로,"1호선, 4호선, 인천선, 경의선, 경춘선","도포식,분무식,독이식",종합계약,14.3,-,대우건설(주),2017-08-01,5분이내,5분이내,복도식,분양,-,A10026759
