월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2006-08,연면적별,용도별,공업용,1454966,1454966,1454966,0,0,0
2006-08,연면적별,용도별,교육및사회,650099,650099,650099,0,0,0
2006-08,연면적별,용도별,기타,973357,973357,973357,0,0,0
2006-09,동수별,합계,합계,14700,14700,14700,0,0,0
2006-09,동수별,구조별,철근및철골조,12371,12371,12371,0,0,0
2006-09,동수별,구조별,조적조,1752,1752,1752,0,0,0
2006-09,동수별,구조별,목조,515,515,515,0,0,0
2006-09,동수별,구조별,기타,62,62,62,0,0,0
2006-09,동수별,용도별,주거용,4983,4983,4983,0,0,0
2006-09,동수별,용도별,상업용,3749,3749,3749,0,0,0
2006-09,동수별,용도별,공업용,2225,2225,2225,0,0,0
2006-09,동수별,용도별,교육및사회,780,780,780,0,0,0
2006-09,동수별,용도별,기타,2963,2963,2963,0,0,0
2006-09,연면적별,합계,합계,6518969,6518969,6518969,0,0,0
2006-09,연면적별,구조별,철근및철골조,6335929,6335929,6335929,0,0,0
2006-09,연면적별,구조별,조적조,129886,129886,129886,0,0,0
2006-09,연면적별,구조별,목조,44130,44130,44130,0,0,0
2006-09,연면적별,구조별,기타,9024,9024,9024,0,0,0
2006-09,연면적별,용도별,주거용,1628142,1628142,1628142,0,0,0
2006-09,연면적별,용도별,상업용,1737490,1737490,1737490,0,0,0
2006-09,연면적별,용도별,공업용,1272008,1272008,1272008,0,0,0
2006-09,연면적별,용도별,교육및사회,820659,820659,820659,0,0,0
2006-09,연면적별,용도별,기타,1060670,1060670,1060670,0,0,0
2006-10,동수별,합계,합계,13128,13128,13128,0,0,0
2006-10,동수별,구조별,철근및철골조,11121,11121,11121,0,0,0
2006-10,동수별,구조별,조적조,1440,1440,1440,0,0,0
2006-10,동수별,구조별,목조,479,479,479,0,0,0
2006-10,동수별,구조별,기타,88,88,88,0,0,0
2006-10,동수별,용도별,주거용,4159,4159,4159,0,0,0
2006-10,동수별,용도별,상업용,3455,3455,3455,0,0,0
2006-10,동수별,용도별,공업용,1958,1958,1958,0,0,0
2006-10,동수별,용도별,교육및사회,700,700,700,0,0,0
2006-10,동수별,용도별,기타,2856,2856,2856,0,0,0
2006-10,연면적별,합계,합계,7122665,7122665,7122665,0,0,0
2006-10,연면적별,구조별,철근및철골조,6969764,6969764,6969764,0,0,0
2006-10,연면적별,구조별,조적조,101589,101589,101589,0,0,0
2006-10,연면적별,구조별,목조,36982,36982,36982,0,0,0
2006-10,연면적별,구조별,기타,14330,14330,14330,0,0,0
2006-10,연면적별,용도별,주거용,2504766,2504766,2504766,0,0,0
2006-10,연면적별,용도별,상업용,1798595,1798595,1798595,0,0,0
2006-10,연면적별,용도별,공업용,1217630,1217630,1217630,0,0,0
2006-10,연면적별,용도별,교육및사회,596243,596243,596243,0,0,0
