기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2010	중랑구	상봉1동	3,441	3,841	1,579	1,518	960	982	902	1,341
2010	중랑구	상봉2동	3,427	4,159	1,454	1,605	997	1,158	976	1,396
2010	중랑구	중화1동	3,467	3,851	1,449	1,433	1,184	1,137	834	1,281
2010	중랑구	중화2동	4,538	5,576	1,634	1,926	1,557	1,693	1,347	1,957
2010	중랑구	묵1동	5,128	5,488	1,505	1,497	2,256	2,171	1,367	1,820
2010	중랑구	묵2동	3,330	3,801	1,139	1,334	1,347	1,261	844	1,206
2010	중랑구	망우3동	3,280	3,863	1,669	1,813	782	824	829	1,226
2010	중랑구	신내1동	8,466	4,510	3,525	1,568	3,704	1,197	1,237	1,745
2010	중랑구	신내2동	3,320	4,093	1,236	1,506	1,186	1,271	898	1,316
2010	중랑구	면목본동	6,093	7,176	2,577	2,836	1,936	2,079	1,580	2,261
2010	중랑구	면목3.8동	5,023	5,701	2,220	2,381	1,527	1,673	1,276	1,647
2010	중랑구	망우본동	5,205	6,061	2,060	2,116	1,396	1,357	1,749	2,588
2010	성북구	소계	83,641	81,163	23,690	23,690	37,780	33,684	22,171	23,789
2010	성북구	돈암1동	2,501	3,613	776	1,549	1,119	1,225	606	839
2010	성북구	돈암2동	3,500	3,908	1,246	1,319	1,451	1,533	803	1,056
2010	성북구	안암동	3,673	4,091	718	948	1,407	1,779	1,548	1,364
2010	성북구	보문동	2,556	3,861	535	1,244	1,228	1,650	793	967
2010	성북구	정능1동	4,083	3,516	1,717	1,509	1,544	1,102	822	905
2010	성북구	정능2동	3,824	4,410	1,631	1,884	1,312	1,338	881	1,188
2010	성북구	정능3동	2,877	3,431	869	1,098	835	1,198	1,173	1,135
2010	성북구	정능4동	4,167	4,714	1,261	1,266	1,827	1,978	1,079	1,470
2010	성북구	길음1동	11,110	4,558	2,788	928	6,082	2,257	2,240	1,373
2010	성북구	길음2동	3,101	3,832	642	928	1,726	1,958	733	946
2010	성북구	월곡1동	5,247	4,291	1,282	1,171	2,753	1,879	1,212	1,241
