기간	자치구	동	세대	계	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	인구	남자	여자	인구	남자	여자	인구	남자	여자	세대당인구	65세이상고령자
2009.1/4	송파구	잠실7동	3,523	10,773	5,115	5,658	10,729	5,088	5,641	44	27	17	3.05	1,133
2009.1/4	송파구	잠실2동	11,681	33,175	16,013	17,162	33,119	15,984	17,135	56	29	27	2.84	1,770
2009.1/4	송파구	잠실3동	12,956	37,509	18,145	19,364	37,460	18,116	19,344	49	29	20	2.89	2,611
2009.1/4	강동구	소계	179,050	476,148	238,491	237,657	471,072	236,365	234,707	5,076	2,126	2,950	2.63	34,421
2009.1/4	강동구	강일동	476	1,263	647	616	1,250	641	609	13	6	7	2.63	135
2009.1/4	강동구	상일동	10,115	29,745	14,972	14,773	29,586	14,892	14,694	159	80	79	2.92	1,903
2009.1/4	강동구	명일1동	10,189	29,392	14,493	14,899	29,228	14,422	14,806	164	71	93	2.87	2,025
2009.1/4	강동구	명일2동	6,088	19,319	9,682	9,637	19,309	9,677	9,632	10	5	5	3.17	1,175
2009.1/4	강동구	고덕1동	7,309	21,259	10,692	10,567	21,063	10,625	10,438	196	67	129	2.88	1,468
2009.1/4	강동구	고덕2동	7,181	19,962	10,186	9,776	19,918	10,168	9,750	44	18	26	2.77	1,498
2009.1/4	강동구	암사2동	5,939	16,304	8,096	8,208	16,275	8,084	8,191	29	12	17	2.74	1,045
2009.1/4	강동구	암사3동	6,249	18,792	9,295	9,497	18,773	9,280	9,493	19	15	4	3	1,136
2009.1/4	강동구	천호1동	13,030	33,977	16,977	17,000	32,648	16,465	16,183	1,329	512	817	2.51	2,640
2009.1/4	강동구	천호3동	13,300	29,532	14,851	14,681	29,262	14,731	14,531	270	120	150	2.2	2,585
2009.1/4	강동구	성내1동	7,875	21,607	10,770	10,837	21,580	10,757	10,823	27	13	14	2.74	1,497
2009.1/4	강동구	성내2동	11,946	27,704	13,768	13,936	27,374	13,618	13,756	330	150	180	2.29	2,305
2009.1/4	강동구	성내3동	10,105	25,418	12,754	12,664	25,344	12,725	12,619	74	29	45	2.51	1,769
2009.1/4	강동구	둔촌1동	6,682	21,263	11,032	10,231	21,094	10,971	10,123	169	61	108	3.16	1,052
2009.1/4	강동구	둔촌2동	9,989	27,805	13,786	14,019	27,755	13,767	13,988	50	19	31	2.78	2,028
2009.1/4	강동구	암사1동	16,168	40,576	20,326	20,250	40,024	20,111	19,913	552	215	337	2.48	3,106
2009.1/4	강동구	천호2동	16,529	39,374	19,888	19,486	38,145	19,337	18,808	1,229	551	678	2.31	3,352
2009.1/4	강동구	길동	19,880	52,856	26,276	26,580	52,444	26,094	26,350	412	182	230	2.64	3,702
