기간	자치구	동	세대	계	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
2008.2/4	용산구	청파동	10,817	23,673	11,497	12,176	22,940	11,198	11,742	733	299	434	2.1	2,259
2008.2/4	용산구	한강로동	7,184	15,182	7,689	7,493	14,421	7,322	7,099	761	367	394	1.99	1,816
2008.2/4	용산구	한남동	11,379	24,776	12,223	12,553	22,052	10,777	11,275	2,724	1,446	1,278	1.92	2,407
2008.2/4	성동구	합계	133,759	336,190	168,565	167,625	327,370	164,281	163,089	8,820	4,284	4,536	2.42	29,795
2008.2/4	성동구	왕십리1동	4,587	11,473	5,875	5,598	10,804	5,530	5,274	669	345	324	2.34	1,054
2008.2/4	성동구	왕십리2동	7,399	18,990	9,407	9,583	18,813	9,334	9,479	177	73	104	2.52	1,665
2008.2/4	성동구	도선동	4,070	9,927	4,948	4,979	9,598	4,813	4,785	329	135	194	2.33	1,105
2008.2/4	성동구	마장동	10,052	26,499	13,340	13,159	25,970	13,081	12,889	529	259	270	2.56	2,395
2008.2/4	성동구	사근동	5,444	11,984	6,410	5,574	10,849	5,857	4,992	1,135	553	582	1.98	1,089
2008.2/4	성동구	행당1동	7,753	18,428	9,117	9,311	18,189	9,005	9,184	239	112	127	2.32	1,722
2008.2/4	성동구	행당2동	9,062	25,650	12,392	13,258	25,559	12,358	13,201	91	34	57	2.79	2,096
2008.2/4	성동구	응봉동	6,508	17,766	8,523	9,243	17,668	8,483	9,185	98	40	58	2.68	1,607
2008.2/4	성동구	금호1가동	7,176	18,761	9,170	9,591	18,570	9,093	9,477	191	77	114	2.56	1,755
2008.2/4	성동구	금호2가동	4,805	11,793	5,845	5,948	11,646	5,778	5,868	147	67	80	2.41	1,219
2008.2/4	성동구	금호3가동	6,257	15,730	7,590	8,140	15,538	7,502	8,036	192	88	104	2.46	1,591
2008.2/4	성동구	금호4가동	6,590	15,938	7,906	8,032	15,661	7,782	7,879	277	124	153	2.35	1,454
2008.2/4	성동구	옥수1동	4,791	11,748	6,027	5,721	11,148	5,737	5,411	600	290	310	2.31	1,297
2008.2/4	성동구	옥수2동	7,129	17,911	8,581	9,330	17,779	8,518	9,261	132	63	69	2.46	1,764
2008.2/4	성동구	성수1가1동	7,465	19,447	10,013	9,434	18,801	9,675	9,126	646	338	308	2.49	1,352
2008.2/4	성동구	성수1가2동	8,276	19,783	10,028	9,755	19,480	9,874	9,606	303	154	149	2.33	1,449
2008.2/4	성동구	성수2가1동	8,341	21,174	11,005	10,169	20,013	10,414	9,599	1,161	591	570	2.38	1,593
2008.2/4	성동구	성수2가3동	5,181	12,578	6,448	6,130	12,147	6,198	5,949	431	250	181	2.32	1,065
2008.2/4	성동구	송정동	5,436	12,464	6,577	5,887	11,989	6,355	5,634	475	222	253	2.19	960
2008.2/4	성동구	용답동	7,437	18,146	9,363	8,783	17,148	8,894	8,254	998	469	529	2.29	1,563
2008.2/4	광진구	합계	155,265	388,357	192,486	195,871	377,180	187,248	189,932	11,177	5,238	5,939	2.41	27,677
2008.2/4	광진구	화양동	11,868	23,388	11,592	11,796	21,465	10,669	10,796	1,923	923	1,000	1.8	1,573
2008.2/4	광진구	군자동	9,870	22,510	11,363	11,147	21,864	11,069	10,795	646	294	352	2.2	1,766
2008.2/4	광진구	중곡1동	7,399	17,733	8,789	8,944	17,025	8,482	8,543	708	307	401	2.28	1,306
2008.2/4	광진구	중곡2동	9,111	23,097	11,349	11,748	22,924	11,282	11,642	173	67	106	2.5	1,656
2008.2/4	광진구	중곡3동	8,272	20,272	10,142	10,130	20,117	10,074	10,043	155	68	87	2.41	1,495
2008.2/4	광진구	중곡4동	12,242	32,704	16,277	16,427	32,568	16,218	16,350	136	59	77	2.64	2,471
2008.2/4	광진구	능동	4,958	10,918	5,320	5,598	10,701	5,218	5,483	217	102	115	2.13	902
2008.2/4	광진구	구의1동	10,796	24,576	11,972	12,604	23,468	11,451	12,017	1,108	521	587	2.15	1,794
2008.2/4	광진구	구의2동	10,279	26,760	13,267	13,493	26,527	13,185	13,342	233	82	151	2.56	2,205
2008.2/4	광진구	구의3동	11,508	30,425	14,827	15,598	30,292	14,776	15,516	133	51	82	2.61	2,118
2008.2/4	광진구	광장동	12,224	36,576	17,884	18,692	36,221	17,715	18,506	355	169	186	2.94	2,291
2008.2/4	광진구	자양1동	10,968	26,256	13,003	13,253	24,740	12,299	12,441	1,516	704	812	2.23	1,943
2008.2/4	광진구	자양2동	11,415	29,686	14,904	14,782	29,532	14,832	14,700	154	72	82	2.56	1,999
2008.2/4	광진구	자양3동	11,403	32,314	16,049	16,265	31,784	15,786	15,998	530	263	267	2.76	1,847
2008.2/4	광진구	자양4동	12,952	31,142	15,748	15,394	27,952	14,192	13,760	3,190	1,556	1,634	2.14	2,311
2008.2/4	동대문구	합계	157,461	386,011	193,924	192,087	375,177	189,049	186,128	10,834	4,875	5,959	2.36	37,800
2008.2/4	동대문구	신설동	4,056	9,733	4,983	4,750	8,853	4,583	4,270	880	400	480	2.17	1,004
2008.2/4	동대문구	용두1동	4,309	9,204	4,777	4,427	8,739	4,560	4,179	465	217	248	2.02	1,280
2008.2/4	동대문구	용두2동	4,839	10,592	5,506	5,086	10,312	5,375	4,937	280	131	149	2.12	1,183
2008.2/4	동대문구	제기1동	6,002	14,260	7,205	7,055	13,400	6,826	6,574	860	379	481	2.21	1,807
2008.2/4	동대문구	제기2동	7,204	16,561	8,432	8,129	16,269	8,297	7,972	292	135	157	2.24	1,910
2008.2/4	동대문구	전농1동	6,211	15,229	7,679	7,550	14,644	7,430	7,214	585	249	336	2.34	1,663
2008.2/4	동대문구	전농2동	3,622	7,080	3,838	3,242	7,023	3,815	3,208	57	23	34	1.93	856
2008.2/4	동대문구	전농3동	7,110	19,630	9,704	9,926	19,539	9,665	9,874	91	39	52	2.73	1,979
2008.2/4	동대문구	전농4동	5,624	13,387	6,800	6,587	13,268	6,753	6,515	119	47	72	2.35	1,436
2008.2/4	동대문구	답십리1동	4,527	11,561	5,760	5,801	11,071	5,551	5,520	490	209	281	2.43	1,024
2008.2/4	동대문구	답십리2동	5,734	15,700	7,832	7,868	15,617	7,793	7,824	83	39	44	2.7	1,511
2008.2/4	동대문구	답십리3동	2,016	4,951	2,505	2,446	4,900	2,474	2,426	51	31	20	2.41	662
2008.2/4	동대문구	답십리4동	5,828	15,608	7,756	7,852	15,476	7,700	7,776	132	56	76	2.63	1,404
2008.2/4	동대문구	답십리5동	4,533	10,728	5,478	5,250	10,554	5,410	5,144	174	68	106	2.3	1,038
2008.2/4	동대문구	장안1동	7,742	19,145	9,692	9,453	18,320	9,356	8,964	825	336	489	2.35	1,626
2008.2/4	동대문구	장안2동	6,451	17,739	9,021	8,718	17,632	8,982	8,650	107	39	68	2.7	1,140
2008.2/4	동대문구	장안3동	6,455	18,158	9,055	9,103	18,058	9,015	9,043	100	40	60	2.77	1,355
2008.2/4	동대문구	장안4동	5,927	15,010	7,523	7,487	14,904	7,489	7,415	106	34	72	2.5	1,424
2008.2/4	동대문구	청량리1동	5,787	15,321	7,609	7,712	14,745	7,352	7,393	576	257	319	2.53	1,974
2008.2/4	동대문구	청량리2동	4,958	11,020	5,538	5,482	10,634	5,352	5,282	386	186	200	2.13	1,472
2008.2/4	동대문구	회기동	5,520	12,074	5,915	6,159	11,079	5,452	5,627	995	463	532	1.99	1,084
2008.2/4	동대문구	휘경1동	8,091	18,401	9,182	9,219	17,442	8,747	8,695	959	435	524	2.14	1,637
2008.2/4	동대문구	휘경2동	10,016	25,662	12,645	13,017	25,492	12,563	12,929	170	82	88	2.52	2,144
2008.2/4	동대문구	이문1동	6,593	15,532	7,730	7,802	14,191	7,066	7,125	1,341	664	677	2.13	1,363
2008.2/4	동대문구	이문2동	9,396	19,722	9,847	9,875	19,164	9,597	9,567	558	250	308	2.03	1,805
2008.2/4	동대문구	이문3동	8,910	24,003	11,912	12,091	23,851	11,846	12,005	152	66	86	2.64	2,019
2008.2/4	중랑구	합계	169,669	432,661	216,059	216,602	427,708	214,085	213,623	4,953	1,974	2,979	2.5	36,128
2008.2/4	중랑구	면목2동	11,713	28,827	14,561	14,266	28,615	14,476	14,139	212	85	127	2.42	2,327
2008.2/4	중랑구	면목4동	10,207	24,305	11,803	12,502	24,137	11,730	12,407	168	73	95	2.34	1,993
2008.2/4	중랑구	면목5동	6,174	15,038	7,664	7,374	14,906	7,620	7,286	132	44	88	2.39	1,323
2008.2/4	중랑구	면목7동	10,593	26,936	13,474	13,462	26,782	13,419	13,363	154	55	99	2.5	2,252
2008.2/4	중랑구	상봉1동	9,292	26,710	13,214	13,496	26,331	13,049	13,282	379	165	214	2.81	2,025
2008.2/4	중랑구	상봉2동	8,703	19,197	9,718	9,479	18,997	9,632	9,365	200	86	114	2.16	1,691
2008.2/4	중랑구	중화1동	8,144	22,756	11,333	11,423	22,202	11,113	11,089	554	220	334	2.7	1,685
2008.2/4	중랑구	중화2동	14,515	32,934	16,758	16,176	32,513	16,578	15,935	421	180	241	2.22	2,955
2008.2/4	중랑구	묵1동	12,595	35,008	17,294	17,714	34,699	17,172	17,527	309	122	187	2.73	2,973
2008.2/4	중랑구	묵2동	8,153	20,472	10,380	10,092	20,368	10,345	10,023	104	35	69	2.48	1,782
2008.2/4	중랑구	망우3동	8,178	20,364	10,261	10,103	20,244	10,219	10,025	120	42	78	2.46	1,704
2008.2/4	중랑구	신내1동	9,982	29,351	14,600	14,751	29,072	14,468	14,604	279	132	147	2.89	2,414
2008.2/4	중랑구	신내2동	9,401	26,408	12,938	13,470	26,365	12,921	13,444	43	17	26	2.77	2,063
2008.2/4	중랑구	면목본동	15,554	38,620	19,107	19,513	37,405	18,647	18,758	1,215	460	755	2.39	3,123
2008.2/4	중랑구	면목3.8동	12,684	30,964	15,551	15,413	30,769	15,470	15,299	195	81	114	2.41	2,701
2008.2/4	중랑구	망우본동	13,781	34,771	17,403	17,368	34,303	17,226	17,077	468	177	291	2.47	3,117
2008.2/4	성북구	합계	189,155	480,301	237,893	242,408	472,496	234,443	238,053	7,805	3,450	4,355	2.47	45,879
2008.2/4	성북구	돈암1동	6,633	18,006	8,758	9,248	17,956	8,739	9,217	50	19	31	2.68	1,713
2008.2/4	성북구	돈암2동	8,653	24,714	12,058	12,656	24,669	12,042	12,627	45	16	29	2.82	2,165
2008.2/4	성북구	안암동	8,575	18,782	9,569	9,213	17,462	8,945	8,517	1,320	624	696	2.02	1,587
2008.2/4	성북구	보문동	7,615	17,870	8,878	8,992	17,518	8,737	8,781	352	141	211	2.28	1,774
2008.2/4	성북구	정능1동	6,672	18,838	8,990	9,848	18,178	8,706	9,472	660	284	376	2.7	1,904
2008.2/4	성북구	정능2동	9,296	24,428	12,201	12,227	24,338	12,158	12,180	90	43	47	2.59	2,478
2008.2/4	성북구	정능3동	8,154	19,343	9,642	9,701	19,166	9,574	9,592	177	68	109	2.33	2,193
2008.2/4	성북구	정능4동	10,688	28,360	14,043	14,317	28,197	13,964	14,233	163	79	84	2.61	2,665
2008.2/4	성북구	길음1동	10,186	28,973	14,064	14,909	28,726	13,959	14,767	247	105	142	2.78	2,118
2008.2/4	성북구	길음2동	8,968	21,167	10,351	10,816	21,075	10,310	10,765	92	41	51	2.33	2,118
2008.2/4	성북구	월곡1동	10,248	27,657	13,783	13,874	27,148	13,576	13,572	509	207	302	2.62	2,410
2008.2/4	성북구	월곡2동	8,273	21,860	10,849	11,011	21,629	10,754	10,875	231	95	136	2.59	2,112
2008.2/4	성북구	장위1동	10,757	28,215	14,085	14,130	27,639	13,825	13,814	576	260	316	2.55	2,497
2008.2/4	성북구	장위2동	9,876	24,716	12,513	12,203	24,593	12,464	12,129	123	49	74	2.47	2,435
2008.2/4	성북구	장위3동	7,912	19,156	9,857	9,299	18,962	9,762	9,200	194	95	99	2.38	2,021
2008.2/4	성북구	성북동	8,225	19,913	9,640	10,273	19,186	9,320	9,866	727	320	407	2.31	2,410
2008.2/4	성북구	삼선동	11,613	27,869	13,645	14,224	27,079	13,282	13,797	790	363	427	2.31	2,761
2008.2/4	성북구	동선동	7,289	15,544	7,213	8,331	15,250	7,092	8,158	294	121	173	2.08	1,605
2008.2/4	성북구	종암동	14,481	36,897	18,623	18,274	36,439	18,415	18,024	458	208	250	2.49	3,413
2008.2/4	성북구	석관동	15,041	37,993	19,131	18,862	37,286	18,819	18,467	707	312	395	2.46	3,500
2008.2/4	강북구	합계	135,640	346,477	171,635	174,842	343,043	170,322	172,721	3,434	1,313	2,121	2.51	35,692
2008.2/4	강북구	번1동	8,574	20,431	10,048	10,383	20,083	9,916	10,167	348	132	216	2.33	1,998
2008.2/4	강북구	번2동	8,221	21,407	10,576	10,831	21,311	10,548	10,763	96	28	68	2.57	2,157
2008.2/4	강북구	번3동	7,786	22,436	10,893	11,543	22,375	10,873	11,502	61	20	41	2.85	2,497
2008.2/4	강북구	수유1동	9,433	23,796	11,958	11,838	23,247	11,749	11,498	549	209	340	2.45	2,462
2008.2/4	강북구	수유2동	9,089	23,813	11,735	12,078	23,712	11,703	12,009	101	32	69	2.59	2,744
2008.2/4	강북구	수유3동	10,410	24,351	12,080	12,271	24,136	11,987	12,149	215	93	122	2.3	2,669
2008.2/4	강북구	삼양동	13,260	33,890	16,931	16,959	33,052	16,619	16,433	838	312	526	2.47	3,194
2008.2/4	강북구	미아동	10,186	24,979	12,484	12,495	24,727	12,381	12,346	252	103	149	2.41	2,375
2008.2/4	강북구	송중동	14,260	36,707	18,025	18,682	36,412	17,908	18,504	295	117	178	2.53	3,583
2008.2/4	강북구	송천동	13,744	33,343	16,595	16,748	33,082	16,488	16,594	261	107	154	2.39	3,574
2008.2/4	강북구	삼각산동	8,546	24,880	12,348	12,532	24,807	12,318	12,489	73	30	43	2.87	1,898
2008.2/4	강북구	우이동	8,638	22,016	11,045	10,971	21,865	10,985	10,880	151	60	91	2.51	2,662
2008.2/4	강북구	인수동	13,493	34,428	16,917	17,511	34,234	16,847	17,387	194	70	124	2.52	3,879
2008.2/4	도봉구	합계	139,292	378,275	187,425	190,850	375,532	186,303	189,229	2,743	1,122	1,621	2.67	33,800
2008.2/4	도봉구	쌍문1동	8,965	23,972	11,885	12,087	23,548	11,718	11,830	424	167	257	2.61	2,483
2008.2/4	도봉구	쌍문2동	8,276	21,934	10,841	11,093	21,830	10,805	11,025	104	36	68	2.62	1,992
2008.2/4	도봉구	쌍문3동	7,421	19,228	9,410	9,818	19,124	9,365	9,759	104	45	59	2.55	1,798
2008.2/4	도봉구	쌍문4동	7,496	22,232	10,824	11,408	22,200	10,814	11,386	32	10	22	2.94	1,718
2008.2/4	도봉구	방학1동	11,956	33,607	16,759	16,848	33,140	16,566	16,574	467	193	274	2.75	2,671
2008.2/4	도봉구	방학2동	9,694	24,956	12,620	12,336	24,805	12,561	12,244	151	59	92	2.54	2,296
2008.2/4	도봉구	방학3동	10,980	33,157	16,403	16,754	33,104	16,380	16,724	53	23	30	2.99	2,732
2008.2/4	도봉구	창1동	11,009	30,019	14,685	15,334	29,472	14,444	15,028	547	241	306	2.65	2,602
2008.2/4	도봉구	창2동	12,271	32,145	15,907	16,238	31,945	15,808	16,137	200	99	101	2.58	2,593
2008.2/4	도봉구	창3동	6,630	16,897	8,503	8,394	16,827	8,481	8,346	70	22	48	2.52	1,495
2008.2/4	도봉구	창4동	11,373	31,531	15,374	16,157	31,477	15,349	16,128	54	25	29	2.74	2,490
2008.2/4	도봉구	창5동	10,262	28,970	14,268	14,702	28,876	14,229	14,647	94	39	55	2.79	2,325
2008.2/4	도봉구	도봉1동	10,717	26,419	13,371	13,048	26,058	13,231	12,827	361	140	221	2.42	3,093
2008.2/4	도봉구	도봉2동	12,242	33,208	16,575	16,633	33,126	16,552	16,574	82	23	59	2.68	3,512
2008.2/4	노원구	합계	223,648	620,608	304,242	316,366	615,901	302,196	313,705	4,707	2,046	2,661	2.73	51,728
2008.2/4	노원구	월계1동	6,943	19,573	9,738	9,835	18,706	9,340	9,366	867	398	469	2.66	1,659
2008.2/4	노원구	월계2동	10,622	28,153	13,741	14,412	28,048	13,701	14,347	105	40	65	2.61	2,756
2008.2/4	노원구	월계3동	9,701	27,702	13,728	13,974	27,664	13,714	13,950	38	14	24	2.81	2,162
2008.2/4	노원구	월계4동	8,799	20,797	10,427	10,370	20,616	10,352	10,264	181	75	106	2.32	2,372
2008.2/4	노원구	공릉2동	16,511	47,314	23,479	23,835	46,900	23,296	23,604	414	183	231	2.81	3,165
2008.2/4	노원구	하계1동	11,459	31,808	15,415	16,393	31,602	15,307	16,295	206	108	98	2.75	2,887
2008.2/4	노원구	하계2동	8,880	26,864	13,118	13,746	26,825	13,102	13,723	39	16	23	3	2,043
2008.2/4	노원구	중계본동	10,116	31,339	15,491	15,848	30,810	15,241	15,569	529	250	279	3.03	2,100
2008.2/4	노원구	중계1동	9,899	31,687	15,564	16,123	31,628	15,545	16,083	59	19	40	3.18	1,800
2008.2/4	노원구	중계2동	6,537	18,807	9,022	9,785	18,794	9,018	9,776	13	4	9	2.84	1,641
2008.2/4	노원구	중계3동	9,013	24,554	11,583	12,971	24,457	11,538	12,919	97	45	52	2.69	3,057
2008.2/4	노원구	중계4동	8,547	24,625	11,984	12,641	23,949	11,714	12,235	676	270	406	2.78	2,235
2008.2/4	노원구	상계1동	14,254	41,244	20,442	20,802	41,117	20,387	20,730	127	55	72	2.86	3,485
2008.2/4	노원구	상계2동	8,384	22,976	11,403	11,573	22,884	11,366	11,518	92	37	55	2.71	1,856
2008.2/4	노원구	상계5동	9,267	25,139	12,358	12,781	25,027	12,315	12,712	112	43	69	2.68	2,291
2008.2/4	노원구	상계8동	9,510	27,718	13,487	14,231	27,690	13,480	14,210	28	7	21	2.87	1,850
2008.2/4	노원구	상계9동	9,223	25,863	12,641	13,222	25,823	12,632	13,191	40	9	31	2.77	1,905
2008.2/4	노원구	상계10동	8,110	21,451	10,237	11,214	21,425	10,230	11,195	26	7	19	2.61	1,596
2008.2/4	노원구	공릉1.3동	16,316	42,220	20,757	21,463	41,438	20,393	21,045	782	364	418	2.51	3,277
2008.2/4	노원구	상계3.4동	16,792	42,392	21,338	21,054	42,220	21,283	20,937	172	55	117	2.49	4,695
2008.2/4	노원구	상계6.7동	14,765	38,382	18,289	20,093	38,278	18,242	20,036	104	47	57	2.56	2,896
2008.2/4	은평구	합계	180,014	457,464	226,026	231,438	452,727	224,052	228,675	4,737	1,974	2,763	2.49	44,217
2008.2/4	은평구	녹번동	15,481	36,771	17,963	18,808	36,271	17,743	18,528	500	220	280	2.32	3,692
2008.2/4	은평구	불광1동	14,307	35,062	17,145	17,917	34,657	16,971	17,686	405	174	231	2.4	3,700
2008.2/4	은평구	불광2동	13,479	33,026	16,379	16,647	32,787	16,285	16,502	239	94	145	2.42	3,386
2008.2/4	은평구	갈현1동	10,712	27,500	13,593	13,907	27,128	13,444	13,684	372	149	223	2.52	2,498
2008.2/4	은평구	갈현2동	10,618	28,149	13,656	14,493	27,937	13,564	14,373	212	92	120	2.61	2,508
2008.2/4	은평구	구산동	11,233	33,195	17,141	16,054	33,044	17,088	15,956	151	53	98	2.92	3,204
2008.2/4	은평구	대조동	13,237	32,003	15,454	16,549	31,618	15,282	16,336	385	172	213	2.37	3,270
2008.2/4	은평구	응암1동	13,620	33,879	16,584	17,295	33,137	16,280	16,857	742	304	438	2.41	3,114
2008.2/4	은평구	응암2동	10,019	23,529	11,763	11,766	23,433	11,725	11,708	96	38	58	2.32	2,482
2008.2/4	은평구	응암3동	11,471	28,111	13,991	14,120	27,885	13,911	13,974	226	80	146	2.41	3,018
2008.2/4	은평구	신사1동	10,246	27,757	13,658	14,099	27,322	13,451	13,871	435	207	228	2.64	2,388
2008.2/4	은평구	신사2동	9,366	24,795	12,629	12,166	24,714	12,594	12,120	81	35	46	2.62	2,074
2008.2/4	은평구	증산동	8,544	22,229	11,112	11,117	22,040	11,047	10,993	189	65	124	2.55	2,066
2008.2/4	은평구	수색동	8,478	21,343	10,590	10,753	21,077	10,481	10,596	266	109	157	2.46	2,363
2008.2/4	은평구	진관동	1,420	3,708	1,861	1,847	3,647	1,836	1,811	61	25	36	2.54	463
2008.2/4	은평구	역촌동	17,783	46,407	22,507	23,900	46,030	22,350	23,680	377	157	220	2.56	3,991
2008.2/4	서대문구	합계	142,356	351,386	171,695	179,691	342,325	167,523	174,802	9,061	4,172	4,889	2.38	36,421
2008.2/4	서대문구	천연동	7,904	19,407	9,510	9,897	19,176	9,415	9,761	231	95	136	2.4	2,211
2008.2/4	서대문구	홍제1동	11,518	29,426	14,203	15,223	28,816	13,922	14,894	610	281	329	2.48	3,110
2008.2/4	서대문구	홍제2동	6,036	20,965	10,240	10,725	20,879	10,208	10,671	86	32	54	2.69	2,438
2008.2/4	서대문구	홍제3동	8,328	16,481	7,977	8,504	16,339	7,918	8,421	142	59	83	2.49	1,633
2008.2/4	서대문구	홍은1동	11,199	29,745	14,732	15,013	29,113	14,435	14,678	632	297	335	2.58	3,271
2008.2/4	서대문구	홍은2동	11,365	29,630	14,590	15,040	29,295	14,416	14,879	335	174	161	2.56	2,982
2008.2/4	서대문구	남가좌1동	6,689	15,662	7,758	7,904	15,105	7,511	7,594	557	247	310	2.24	1,856
2008.2/4	서대문구	남가좌2동	12,364	31,212	15,368	15,844	30,995	15,272	15,723	217	96	121	2.49	3,086
2008.2/4	서대문구	북가좌1동	6,381	16,239	8,149	8,090	15,912	8,015	7,897	327	134	193	2.47	1,621
2008.2/4	서대문구	북가좌2동	12,800	33,619	16,614	17,005	33,506	16,571	16,935	113	43	70	2.59	3,219
2008.2/4	서대문구	충현동	10,441	23,775	11,778	11,997	23,515	11,652	11,863	260	126	134	2.24	2,656
