기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.4/4	관악구	낙성대동	10,502	17,780	8,796	8,984	16,958	8,444	8,514	822	352	470	1.61	1,902
2018.4/4	관악구	중앙동	8,981	15,716	7,530	8,186	15,284	7,338	7,946	432	192	240	1.7	2,255
2018.4/4	관악구	인헌동	13,868	27,293	13,320	13,973	26,899	13,154	13,745	394	166	228	1.94	3,601
2018.4/4	관악구	남현동	9,174	18,998	9,133	9,865	18,782	9,026	9,756	216	107	109	2.05	2,467
2018.4/4	관악구	서원동	13,284	23,933	12,182	11,751	23,077	11,797	11,280	856	385	471	1.74	3,028
2018.4/4	관악구	신원동	10,307	20,119	10,068	10,051	18,780	9,364	9,416	1,339	704	635	1.82	3,036
2018.4/4	관악구	서림동	14,173	24,881	13,642	11,239	24,239	13,411	10,828	642	231	411	1.71	3,210
2018.4/4	관악구	신사동	12,944	26,442	13,332	13,110	23,108	11,606	11,502	3,334	1,726	1,608	1.79	3,241
2018.4/4	관악구	신림동	16,126	22,256	11,194	11,062	21,363	10,789	10,574	893	405	488	1.32	1,834
2018.4/4	관악구	난향동	6,477	16,693	8,284	8,409	16,568	8,220	8,348	125	64	61	2.56	2,520
2018.4/4	관악구	조원동	10,011	19,824	10,122	9,702	17,606	8,907	8,699	2,218	1,215	1,003	1.76	2,521
2018.4/4	관악구	대학동	15,657	24,823	14,695	10,128	23,824	14,326	9,498	999	369	630	1.52	2,584
2018.4/4	관악구	은천동	15,593	35,797	17,685	18,112	35,080	17,357	17,723	717	328	389	2.25	5,294
2018.4/4	관악구	성현동	13,003	33,033	16,030	17,003	32,810	15,924	16,886	223	106	117	2.52	5,247
2018.4/4	관악구	청룡동	18,357	30,242	14,610	15,632	28,789	13,963	14,826	1,453	647	806	1.57	3,652
2018.4/4	관악구	난곡동	12,743	29,484	14,870	14,614	28,870	14,569	14,301	614	301	313	2.27	4,840
2018.4/4	관악구	삼성동	11,504	26,068	13,092	12,976	25,878	13,018	12,860	190	74	116	2.25	5,346
2018.4/4	관악구	미성동	14,078	33,295	16,323	16,972	32,552	15,951	16,601	743	372	371	2.31	5,088
2018.4/4	서초구	소계	172,918	438,163	209,977	228,186	433,951	207,868	226,083	4,212	2,109	2,103	2.51	54,751
2018.4/4	서초구	서초1동	9,232	21,574	10,435	11,139	21,327	10,309	11,018	247	126	121	2.31	2,713
2018.4/4	서초구	서초2동	8,088	18,506	8,867	9,639	18,178	8,676	9,502	328	191	137	2.25	2,022
2018.4/4	서초구	서초3동	13,053	30,754	15,087	15,667	30,455	14,947	15,508	299	140	159	2.33	4,259
2018.4/4	서초구	서초4동	10,922	31,817	15,423	16,394	31,534	15,258	16,276	283	165	118	2.89	3,714
2018.4/4	서초구	잠원동	13,990	34,962	16,639	18,323	34,740	16,536	18,204	222	103	119	2.48	3,634
2018.4/4	서초구	반포본동	4,223	12,583	5,954	6,629	12,528	5,926	6,602	55	28	27	2.97	1,830
2018.4/4	서초구	반포1동	14,085	32,109	15,445	16,664	31,761	15,293	16,468	348	152	196	2.25	3,068
2018.4/4	서초구	반포2동	5,295	16,761	8,017	8,744	16,594	7,942	8,652	167	75	92	3.13	1,802
2018.4/4	서초구	반포3동	7,041	20,434	9,680	10,754	20,380	9,648	10,732	54	32	22	2.89	2,345
2018.4/4	서초구	반포4동	7,418	20,600	9,777	10,823	20,040	9,476	10,564	560	301	259	2.7	2,547
2018.4/4	서초구	방배본동	7,918	21,746	10,109	11,637	21,549	10,010	11,539	197	99	98	2.72	2,801
2018.4/4	서초구	방배1동	7,578	17,683	8,303	9,380	17,576	8,254	9,322	107	49	58	2.32	2,574
2018.4/4	서초구	방배2동	9,350	22,491	10,663	11,828	22,340	10,590	11,750	151	73	78	2.39	3,433
2018.4/4	서초구	방배3동	8,415	22,268	10,728	11,540	22,137	10,668	11,469	131	60	71	2.63	3,412
2018.4/4	서초구	방배4동	9,737	24,442	11,275	13,167	24,107	11,119	12,988	335	156	179	2.48	3,164
2018.4/4	서초구	양재1동	18,319	46,713	22,368	24,345	46,332	22,182	24,150	381	186	195	2.53	5,970
2018.4/4	서초구	양재2동	11,036	24,032	12,073	11,959	23,757	11,931	11,826	275	142	133	2.15	2,633
2018.4/4	서초구	내곡동	7,218	18,688	9,134	9,554	18,616	9,103	9,513	72	31	41	2.58	2,830
2018.4/4	강남구	소계	228,775	547,453	262,203	285,250	542,364	259,611	282,753	5,089	2,592	2,497	2.37	67,085
2018.4/4	강남구	신사동	7,532	17,813	8,310	9,503	17,564	8,172	9,392	249	138	111	2.33	2,831
2018.4/4	강남구	논현1동	14,168	24,061	11,131	12,930	23,460	10,854	12,606	601	277	324	1.66	2,731
