계정항목코드별,"M2(평잔,원계열)",양도성예금증서,매출어음,CMA,수익증권,건축,선행종합지수(2015=100),소비자물가등락률(%),제조업 재고율지수(2015=100%),상품수지(백만달러),경상수지(백만달러),연체율_기업대출,연체율_가계대출,주택담보대출 대출금리,잔액기준금리_가계대출_고정금리대출
2018. 06,2622268.3,26025.4,326.3,45279.9,189630.9,7925391,113,1.5,106.3,"9,413.50","7,980.10",0.8,0.3,3.65,30.7
2018. 07,2637421.8,28330.5,343.1,44421.1,193726.2,7057122,113.2,1.1,106.4,"10,685.30","8,874.40",0.9,0.3,3.73,30.2
2018. 08,2651503.4,27211.9,343.7,44116.7,193691.2,7023070,113.1,1.4,105.4,"10,927.60","8,581.20",0.9,0.3,3.74,30
2018. 09,2652829.5,25476.8,342.9,43725.4,197427.4,6810957,113.3,2.1,104.3,"13,105.20","11,235.50",0.9,0.3,3.75,29.8
2018. 10,2674506.5,25668.4,338.5,42663.6,200131.2,6971066,113.4,2,105.9,"10,522.20","9,473.60",0.9,0.3,3.77,29.8
2018. 11,2692974.8,27671.1,335.4,42278.7,202010.4,6961976,113.4,2,111.4,"7,504.90","5,130.60",0.9,0.3,3.77,29.9
2018. 12,2699882.3,27827,340.3,42168.8,207182.9,7900893,113.5,1.3,114.6,"6,627.90","4,914.40",0.6,0.3,3.84,29.9
2019. 01,2716722,26963.9,362.3,42370.4,209120.4,6158349,113.6,0.8,111.5,"5,752.90","3,296.40",0.7,0.3,3.89,30.5
2019. 02,2730481.9,26210.8,372.3,42483.5,211185.8,5614968,113.8,0.5,115.5,"5,424.40","3,850.30",0.7,0.3,3.84,31
2019. 03,2752723.9,26754.5,359.8,42137.5,210656.1,6691500,114.1,0.4,111.3,"8,338.70","5,039.60",0.7,0.3,3.81,31.4
2019. 04,2763058,25859,330.4,43500.6,211903.3,6680185,114.5,0.6,116.1,"5,608.90",-393.2,0.7,0.3,3.82,31.7
2019. 05,2771633,24823.3,312.7,43457.7,211484.3,6695570,114.6,0.7,117.9,"5,503.10","5,175.50",0.7,0.3,3.82,31.8
2019. 06,2799248,23562.8,313,42126,215311.6,7381960,114.7,0.7,115.7,"6,269.30","5,665.30",0.6,0.3,3.8,32.3
2019. 07,2811543.7,21367.3,312.9,42429.9,218082,6319377,114.7,0.6,115.4,"6,182.40","6,584.60",0.7,0.3,3.66,32.9
2019. 08,2832566.1,19524.9,299.6,42117,216662,6221326,114.9,0,112.9,"4,630.90","4,860.70",0.7,0.3,3.68,33.4
2019. 09,2853272,19549.7,293.8,42171.5,222503.4,5942118,115.4,-0.4,113.2,"8,698.70","7,759.10",0.6,0.3,3.6,33.9
2019. 10,2874176.1,18654.2,288,40914,222908.9,6391704,116.1,0,115.1,"8,028.20","7,827.20",0.7,0.3,3.42,34.2
2019. 11,2901465.4,17885.9,273.8,41141.6,223880.3,6279056,116.9,0.2,115.7,"7,390.90","5,974.80",,,3.28,34.3
2019. 12,,,,,,7370450,117.7,0.7,107.8,"5,027.60","4,330.90",,,,34.2
2020. 01,,,,,,,,1.5,,,,,,,
