계정항목코드별,"M2(평잔,원계열)",양도성예금증서,매출어음,CMA,수익증권,건축,선행종합지수(2015=100),소비자물가등락률(%),미분양주택현황(호),제조업 재고율지수(2015=100%),상품수지(백만달러),경상수지(백만달러),행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],행정구역(시군구)별,총전입[명],총전출[명],순이동[명],연체율_기업대출,연체율_가계대출,주택담보대출 대출금리,잔액기준금리_가계대출_고정금리대출
2014. 09,2037600.8,17402.1,1391.4,39331.3,151766.1,4562819,96.1,1.1,"39,168",98.052,"8,012.60","7,418.70",전국,566855,566855,0,서울특별시,117715,123841,-6126,부산광역시,35922,36321,-399,대구광역시,25071,31165,-6094,인천광역시,33970,33505,465,광주광역시,18114,17659,455,대전광역시,17901,19048,-1147,울산광역시,12263,12114,149,세종특별자치시,5536,2099,3437,경기도,138030,134452,3578,강원도,17072,16760,312,충청북도,15801,15332,469,충청남도,20804,20872,-68,전라북도,19972,20298,-326,전라남도,17871,18676,-805,경상북도,30101,24329,5772,경상남도,34731,35217,-486,1.2,0.6,4.38,27.2
2014. 10,2051149.8,16626.3,1407.6,38944.7,156118.7,4702756,96.5,1.1,"40,092",99.281,"7,730.60","8,604.50",전국,669986,669986,0,서울특별시,142279,151401,-9122,부산광역시,47271,42703,4568,대구광역시,33552,32533,1019,인천광역시,42403,41566,837,광주광역시,19725,20000,-275,대전광역시,19537,21022,-1485,울산광역시,14072,14067,5,세종특별자치시,6921,2399,4522,경기도,165840,163552,2288,강원도,19944,19248,696,충청북도,18326,18128,198,충청남도,24082,23615,467,전라북도,22694,23051,-357,전라남도,19026,18930,96,경상북도,26552,30405,-3853,경상남도,40811,41366,-555,1.2,0.6,4.34,27.4
2014. 11,2083253.5,15311.5,1404.1,39495,160175.7,4721773,96.9,1,"39,703",96.177,"9,364.20","10,582.70",전국,613783,613783,0,서울특별시,124299,133467,-9168,부산광역시,39753,43431,-3678,대구광역시,29528,29179,349,인천광역시,38901,37986,915,광주광역시,18465,18367,98,대전광역시,18492,20051,-1559,울산광역시,15767,13785,1982,세종특별자치시,8039,2654,5385,경기도,152382,151336,1046,강원도,18596,18103,493,충청북도,16568,16639,-71,충청남도,23961,23129,832,전라북도,21394,21410,-16,전라남도,18248,17601,647,경상북도,24397,25080,-683,경상남도,37792,35513,2279,1.2,0.6,4.33,28.2
2014. 12,2088729.8,15287.3,1410.2,40041,161834.9,5354129,97.2,0.8,"40,379",93.918,"7,328.50","6,805.40",전국,697806,697806,0,서울특별시,132953,145501,-12548,부산광역시,47574,51198,-3624,대구광역시,31867,32963,-1096,인천광역시,39395,38920,475,광주광역시,19642,22396,-2754,대전광역시,20890,23711,-2821,울산광역시,16539,16913,-374,세종특별자치시,11365,3438,7927,경기도,173289,168551,4738,강원도,22941,21015,1926,충청북도,19913,20221,-308,충청남도,25993,24972,1021,전라북도,25929,26058,-129,전라남도,25430,22361,3069,경상북도,32464,31477,987,경상남도,42992,40637,2355,0.9,0.5,4.35,28.4
2015. 01,2092223.5,15825.5,1398.7,40942.8,161560.8,3965879,97.8,1,"36,985",96.7,"6,718.70","7,076.00",전국,615130,615130,0,서울특별시,116958,120013,-3055,부산광역시,42779,44777,-1998,대구광역시,27783,29003,-1220,인천광역시,32456,31147,1309,광주광역시,20383,19891,492,대전광역시,19703,20806,-1103,울산광역시,13757,13484,273,세종특별자치시,8109,2590,5519,경기도,143982,140535,3447,강원도,19038,19840,-802,충청북도,18060,18712,-652,충청남도,27236,26747,489,전라북도,22448,22976,-528,전라남도,21817,23283,-1466,경상북도,29208,30848,-1640,경상남도,40249,40066,183,1,0.5,4.27,28.5
2015. 02,2109892.3,16457.3,1335.6,41669,159831.6,3961229,98.2,0.6,"33,813",96.4,"6,870.50","6,136.40",전국,663366,663366,0,서울특별시,134168,138304,-4136,부산광역시,41778,42461,-683,대구광역시,32344,32999,-655,인천광역시,34172,33805,367,광주광역시,21520,21599,-79,대전광역시,21423,23922,-2499,울산광역시,12995,13423,-428,세종특별자치시,10916,2975,7941,경기도,163198,158963,4235,강원도,19540,20284,-744,충청북도,18098,18742,-644,충청남도,25672,26228,-556,전라북도,24021,24467,-446,전라남도,21225,22226,-1001,경상북도,31184,32243,-1059,경상남도,39669,40368,-699,1,0.6,4.19,28.7
2015. 03,2127887.8,16920.6,1264.9,41917.8,161938.1,4596035,98.7,0.5,"28,897",97.9,"10,495.90","9,761.50",전국,771122,771122,0,서울특별시,160393,169767,-9374,부산광역시,45511,48181,-2670,대구광역시,35197,36576,-1379,인천광역시,43579,42936,643,광주광역시,24853,25119,-266,대전광역시,22529,24608,-2079,울산광역시,16683,16119,564,세종특별자치시,8272,3215,5057,경기도,195143,186340,8803,강원도,23654,23369,285,충청북도,22178,21946,232,충청남도,29196,28378,818,전라북도,26708,27521,-813,전라남도,25307,25997,-690,경상북도,35808,37122,-1314,경상남도,46278,45291,987,1,0.5,4.08,30
2015. 04,2148114.7,16729.8,1142.3,42465.2,163043.3,4600605,99.2,0.4,"28,093",98.9,"11,734.50","7,221.60",전국,649452,649452,0,서울특별시,137743,148860,-11117,부산광역시,40628,41680,-1052,대구광역시,29935,30925,-990,인천광역시,41033,40321,712,광주광역시,20384,20763,-379,대전광역시,17893,19298,-1405,울산광역시,15102,14962,140,세종특별자치시,6084,2467,3617,경기도,165605,158683,6922,강원도,18197,17568,629,충청북도,17890,17641,249,충청남도,23551,22558,993,전라북도,21987,22045,-58,전라남도,19356,19303,53,경상북도,28237,28861,-624,경상남도,38367,37323,1044,1.1,0.5,4.00,34.2
2015. 05,2166741.1,16771.9,1115.2,43543,164157,4773761,99.7,0.6,"28,142",100.6,"8,584.80","7,958.80",전국,605725,605725,0,서울특별시,132359,144035,-11676,부산광역시,40734,41168,-434,대구광역시,29981,30379,-398,인천광역시,37958,37419,539,광주광역시,16647,17547,-900,대전광역시,15955,17387,-1432,울산광역시,14180,14577,-397,세종특별자치시,5442,2227,3215,경기도,156564,149045,7519,강원도,17295,15933,1362,충청북도,15353,14872,481,충청남도,21088,20165,923,전라북도,18601,18725,-124,전라남도,16484,16350,134,경상북도,24957,25449,-492,경상남도,35672,35091,581,1.2,0.5,3.92,33.3
2015. 06,2179561.1,18269.4,1121.2,42836.2,164007.9,5393932,99.9,0.7,"34,068",101.9,"12,773.40","11,546.20",전국,650399,650399,0,서울특별시,135400,149778,-14378,부산광역시,45563,44395,1168,대구광역시,30472,31860,-1388,인천광역시,43446,42430,1016,광주광역시,17225,17925,-700,대전광역시,17100,18597,-1497,울산광역시,15927,16391,-464,세종특별자치시,5252,2235,3017,경기도,164830,157694,7136,강원도,19296,17419,1877,충청북도,19698,17932,1766,충청남도,22171,21263,908,전라북도,19608,20064,-456,전라남도,19390,19065,325,경상북도,30216,29273,943,경상남도,38018,38441,-423,0.9,0.4,3.86,30.6
