기간	자치구	동	성별	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2005	동대문구	이문제3동	소계	3,893	4,591	791	719	2,078	2,498	1,024	1,374
2005	중랑구	계	계	73,971	82,408	28,655	28,655	26,004	27,580	19,312	26,173
2005	중랑구	면목제1동	소계	4,310	4,432	1,678	1,809	1,516	1,254	1,116	1,369
2005	중랑구	면목제2동	소계	4,726	5,395	1,695	1,828	1,716	1,813	1,315	1,754
2005	중랑구	면목제3동	소계	3,094	3,860	1,240	1,492	1,051	1,261	803	1,107
2005	중랑구	면목제4동	소계	3,945	4,804	856	1,078	1,929	2,224	1,160	1,502
2005	중랑구	면목제5동	소계	2,618	2,789	1,051	987	929	998	638	804
2005	중랑구	면목제6동	소계	2,700	3,217	1,296	1,372	780	933	624	912
2005	중랑구	면목제7동	소계	4,570	5,083	1,511	1,482	1,998	2,073	1,061	1,528
2005	중랑구	면목제8동	소계	2,591	2,607	1,173	1,022	819	755	599	830
2005	중랑구	상봉제1동	소계	4,048	4,361	1,820	1,736	1,272	1,302	956	1,323
2005	중랑구	상봉제2동	소계	3,751	4,241	1,463	1,539	1,146	1,335	1,142	1,367
2005	중랑구	중화제1동	소계	3,800	4,115	1,615	1,486	1,301	1,400	884	1,229
2005	중랑구	중화제2동	소계	3,089	3,929	1,161	1,399	991	1,278	937	1,252
2005	중랑구	중화제3동	소계	2,875	3,030	1,247	1,184	890	1,039	738	807
2005	중랑구	묵제1동	소계	6,116	5,956	1,927	1,364	2,716	2,579	1,473	2,013
2005	중랑구	묵제2동	소계	3,577	4,302	1,168	1,376	1,431	1,663	978	1,263
2005	중랑구	망우제1동	소계	3,386	4,114	1,299	1,406	860	952	1,227	1,756
2005	중랑구	망우제2동	소계	1,857	2,163	925	1,000	427	478	505	685
2005	중랑구	망우제3동	소계	3,314	3,844	1,546	1,694	917	965	851	1,185
2005	중랑구	신내제1동	소계	5,360	5,156	2,404	1,799	1,725	1,527	1,231	1,830
2005	중랑구	신내제2동	소계	4,244	5,010	1,580	1,602	1,590	1,751	1,074	1,657
2005	성북구	계	계	101,077	91,055	31,796	31,796	46,158	36,115	23,123	23,144
2005	성북구	성북제1동	소계	1,556	1,655	537	599	665	652	354	404
2005	성북구	성북제2동	소계	1,252	1,494	348	460	569	622	335	412
2005	성북구	동소문동	소계	2,681	3,096	1,158	1,378	1,010	1,096	513	622
2005	성북구	삼선제1동	소계	2,089	2,195	609	665	875	910	605	620
2005	성북구	삼선제2동	소계	2,298	2,668	897	1,072	745	936	656	660
2005	성북구	동선제1동	소계	1,922	2,061	630	747	641	739	651	575
2005	성북구	동선제2동	소계	1,946	2,053	805	978	691	618	450	457
2005	성북구	돈암제1동	소계	3,677	3,617	1,328	1,483	1,531	1,228	818	906
2005	성북구	돈암제2동	소계	7,457	2,637	3,088	1,107	3,328	963	1,041	567
2005	성북구	안암동	소계	4,963	3,998	1,089	1,008	2,233	1,779	1,641	1,211
2005	성북구	보문동	소계	3,322	3,376	651	940	1,851	1,566	820	870
2005	성북구	정릉제1동	소계	4,201	5,477	1,585	2,891	1,718	1,526	898	1,060
2005	성북구	정릉제2동	소계	5,163	4,382	2,258	2,113	1,939	1,328	966	941
2005	성북구	정릉제3동	소계	3,117	3,721	1,041	1,269	959	1,349	1,117	1,103
2005	성북구	정릉제4동	소계	4,526	4,929	1,301	1,807	2,082	1,827	1,143	1,295
2005	성북구	길음제1동	소계	1,741	2,231	462	940	848	795	431	496
2005	성북구	길음제2동	소계	13,096	1,318	2,948	363	8,346	634	1,802	321
2005	성북구	길음제3동	소계	3,434	3,824	699	1,077	1,931	1,879	804	868
2005	성북구	종암제1동	소계	4,887	3,226	1,167	969	2,530	1,337	1,190	920
2005	성북구	종암제2동	소계	2,716	3,446	865	1,109	1,163	1,485	688	852
2005	성북구	월곡제1동	소계	2,285	2,655	784	748	923	1,128	578	779
2005	성북구	월곡제2동	소계	1,406	2,069	523	788	493	783	390	498
2005	성북구	월곡제3동	소계	30	960	7	489	16	374	7	97
2005	성북구	월곡제4동	소계	1,653	1,911	501	601	814	826	338	484
2005	성북구	상월곡동	소계	1,866	2,097	807	799	607	768	452	530
