기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2016	강북구	삼양동	3,964	4,359	1,702	1,711	1,435	1,404	827	1,244
2016	강북구	미아동	3,817	3,971	1,448	1,569	1,440	1,350	929	1,052
2016	강북구	송중동	3,415	5,187	934	1,793	1,635	2,091	846	1,303
2016	강북구	송천동	4,513	4,436	1,601	1,624	2,024	1,521	888	1,291
2016	강북구	삼각산동	3,544	4,056	881	714	1,826	1,902	837	1,440
2016	강북구	우이동	3,135	3,077	1,113	840	1,354	1,331	668	906
2016	강북구	인수동	4,300	4,592	1,828	1,707	1,585	1,515	887	1,370
2016	도봉구	소계	44,836	48,607	15,745	15,745	18,310	16,231	10,781	16,631
2016	도봉구	쌍문1동	3,006	3,092	740	742	1,631	1,358	635	992
2016	도봉구	쌍문2동	3,025	3,238	1,345	1,446	1,053	889	627	903
2016	도봉구	쌍문3동	2,496	2,805	785	1,046	1,093	947	618	812
2016	도봉구	쌍문4동	2,387	2,770	1,228	1,210	706	754	453	806
2016	도봉구	방학1동	4,391	4,695	1,846	1,672	1,521	1,366	1,024	1,657
2016	도봉구	방학2동	3,065	3,343	1,304	1,421	1,049	851	712	1,071
2016	도봉구	방학3동	3,105	3,631	1,384	1,272	1,014	1,059	707	1,300
2016	도봉구	창1동	3,441	3,702	1,187	1,135	1,382	1,300	872	1,267
2016	도봉구	창2동	4,192	3,959	1,314	1,228	2,106	1,439	772	1,292
2016	도봉구	창3동	2,023	2,290	530	688	1,094	938	399	664
2016	도봉구	창4동	3,210	3,773	810	663	1,468	1,625	932	1,485
2016	도봉구	창5동	3,365	3,730	1,221	1,089	1,288	1,361	856	1,280
2016	도봉구	도봉1동	3,431	3,281	1,086	990	1,355	893	990	1,398
2016	도봉구	도봉2동	3,699	4,298	965	1,143	1,550	1,451	1,184	1,704
2016	노원구	소계	72,249	81,176	26,140	26,140	25,665	24,363	20,444	30,673
2016	노원구	월계1동	4,676	3,309	1,163	527	2,124	1,410	1,389	1,372
2016	노원구	월계2동	2,457	4,229	399	1,152	1,485	1,704	573	1,373
2016	노원구	월계3동	3,639	4,486	863	1,109	1,849	1,521	927	1,856
2016	노원구	공릉2동	5,556	6,567	1,248	1,438	1,885	1,766	2,423	3,363
2016	노원구	하계1동	4,227	3,969	1,356	1,175	1,226	1,289	1,645	1,505
2016	노원구	하계2동	2,688	3,065	1,203	1,199	941	948	544	918
2016	노원구	중계본동	3,196	3,704	1,337	1,256	994	1,173	865	1,275
2016	노원구	중계1동	3,565	3,949	1,469	1,662	1,253	1,222	843	1,065
2016	노원구	중계4동	2,855	3,217	1,476	1,338	738	803	641	1,076
2016	노원구	상계1동	4,552	5,177	1,508	1,153	1,625	1,633	1,419	2,391
2016	노원구	상계2동	3,461	3,559	1,966	1,584	697	856	798	1,119
2016	노원구	상계5동	3,768	4,120	2,012	1,760	892	1,033	864	1,327
2016	노원구	상계8동	3,455	4,302	1,186	1,429	1,334	1,100	935	1,773
2016	노원구	상계9동	2,795	3,474	1,356	1,392	779	796	660	1,286
2016	노원구	상계10동	2,767	3,455	1,072	1,366	973	914	722	1,175
2016	노원구	상계3.4동	2,990	4,718	1,166	1,817	949	1,256	875	1,645
2016	노원구	상계6.7동	5,697	5,201	2,202	1,635	2,245	1,625	1,250	1,941
2016	노원구	중계2.3동	3,758	4,781	1,367	1,675	1,385	1,402	1,006	1,704
2016	노원구	공릉1동	6,147	5,894	1,791	1,473	2,291	1,912	2,065	2,509
2016	은평구	소계	74,864	82,925	33,453	33,453	23,255	20,740	18,156	28,732
2016	은평구	녹번동	5,841	5,271	2,888	2,054	1,734	1,402	1,219	1,815
2016	은평구	불광1동	6,197	6,332	2,474	2,182	2,070	1,741	1,653	2,409
