날짜,현재가,변동 %,,,
2016년 04월 03일,"1,972.05",-0.08%,,,
2016년 03월 27일,"1,973.57",-0.52%,,,
2016년 03월 20일,"1,983.81",-0.42%,,,
2016년 03월 13일,"1,992.12",1.05%,,,
2016년 03월 06일,"1,971.41",0.81%,,,
2016년 02월 28일,"1,955.63",1.85%,,,
2016년 02월 21일,"1,920.16",0.20%,,,
2016년 02월 14일,"1,916.24",4.41%,,,
2016년 02월 07일,"1,835.28",-4.30%,,,
2016년 01월 31일,"1,917.79",0.30%,,,
2016년 01월 24일,"1,912.06",1.74%,,,
2016년 01월 17일,"1,879.43",0.03%,,,
2016년 01월 10일,"1,878.87",-2.02%,,,
2016년 01월 03일,"1,917.62",-2.23%,,,
2015년 12월 27일,"1,961.31",-1.47%,,,
2015년 12월 20일,"1,990.65",0.78%,,,
2015년 12월 13일,"1,975.32",1.37%,,,
2015년 12월 06일,"1,948.62",-1.31%,,,
2015년 11월 29일,"1,974.40",-2.69%,,,
2015년 11월 22일,"2,028.99",1.97%,,,
2015년 11월 15일,"1,989.86",0.84%,,,
2015년 11월 08일,"1,973.29",-3.32%,,,
2015년 11월 01일,"2,041.07",0.57%,,,
2015년 10월 25일,"2,029.47",-0.54%,,,
2015년 10월 18일,"2,040.40",0.50%,,,
2015년 10월 11일,"2,030.26",0.53%,,,
2015년 10월 04일,"2,019.53",2.53%,,,
2015년 09월 27일,"1,969.68",1.38%,,,
2015년 09월 20일,"1,942.85",-2.66%,,,
2015년 09월 13일,"1,995.95",2.81%,,,
2015년 09월 06일,"1,941.37",2.93%,,,
2015년 08월 30일,"1,886.04",-2.66%,,,
2015년 08월 23일,"1,937.67",3.28%,,,
2015년 08월 16일,"1,876.07",-5.41%,,,
2015년 08월 09일,"1,983.46",-1.33%,,,
2015년 08월 02일,"2,010.23",-0.98%,,,
2015년 07월 26일,"2,030.16",-0.77%,,,
2015년 07월 19일,"2,045.96",-1.48%,,,
2015년 07월 12일,"2,076.79",2.25%,,,
2015년 07월 05일,"2,031.17",-3.48%,,,
2015년 06월 28일,"2,104.41",0.68%,,,
2015년 06월 21일,"2,090.26",2.12%,,,
2015년 06월 14일,"2,046.96",-0.25%,,,
2015년 06월 07일,"2,052.17",-0.77%,,,
2015년 05월 31일,"2,068.10",-2.21%,,,
2015년 05월 24일,"2,114.80",-1.46%,,,
2015년 05월 17일,"2,146.10",1.88%,,,
2015년 05월 10일,"2,106.50",1.01%,,,
2015년 05월 03일,"2,085.52",-1.96%,,,
2015년 04월 26일,"2,127.17",-1.51%,,,
2015년 04월 19일,"2,159.80",0.76%,,,
2015년 04월 12일,"2,143.50",2.67%,,,
2015년 04월 05일,"2,087.76",2.07%,,,
2015년 03월 29일,"2,045.42",1.27%,,,
2015년 03월 22일,"2,019.80",-0.86%,,,
2015년 03월 15일,"2,037.24",2.59%,,,
2015년 03월 08일,"1,985.79",-1.35%,,,
2015년 03월 01일,"2,012.94",1.37%,,,
2015년 02월 22일,"1,985.80",1.24%,,,
2015년 02월 15일,"1,961.45",0.20%,,,
2015년 02월 08일,"1,957.50",0.10%,,,
2015년 02월 01일,"1,955.52",0.32%,,,
2015년 01월 25일,"1,949.26",0.68%,,,
2015년 01월 18일,"1,936.09",2.54%,,,
2015년 01월 11일,"1,888.13",-1.90%,,,
2015년 01월 04일,"1,924.70",-0.09%,,,
2014년 12월 28일,"1,926.44",-1.11%,,,
2014년 12월 21일,"1,948.16",0.94%,,,
2014년 12월 14일,"1,929.98",0.43%,,,
2014년 12월 07일,"1,921.71",-3.27%,,,
2014년 11월 30일,"1,986.62",0.29%,,,
2014년 11월 23일,"1,980.78",0.81%,,,
