기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1973	서울특별시	3월	합계	173,101	147,551	114,018	…	…	…	59,083	33,533	25,550
1973	서울특별시	3월	남자	91,045	77,571	58,939	…	…	…	32,106	18,632	13,474
1973	서울특별시	3월	여자	82,056	69,980	55,079	…	…	…	26,977	14,901	12,076
1973	서울특별시	4월	합계	170,484	152,122	120,869	…	…	…	49,615	31,253	18,362
1973	서울특별시	4월	남자	90,558	80,435	62,991	…	…	…	27,567	17,444	10,123
1973	서울특별시	4월	여자	79,926	71,687	57,878	…	…	…	22,048	13,809	8,239
1973	서울특별시	5월	합계	185,912	168,027	138,930	…	…	…	46,982	29,097	17,885
1973	서울특별시	5월	남자	97,100	88,436	72,173	…	…	…	24,927	16,263	8,664
1973	서울특별시	5월	여자	88,812	79,591	66,757	…	…	…	22,055	12,834	9,221
1973	서울특별시	6월	합계	147,372	136,992	112,521	…	…	…	34,851	24,471	10,380
1973	서울특별시	6월	남자	76,131	70,802	57,359	…	…	…	18,772	13,443	5,329
1973	서울특별시	6월	여자	71,241	66,190	55,162	…	…	…	16,079	11,028	5,051
1973	서울특별시	7월	합계	137,554	125,996	106,151	…	…	…	31,403	19,845	11,558
1973	서울특별시	7월	남자	70,819	64,969	53,877	…	…	…	16,942	11,092	5,850
1973	서울특별시	7월	여자	66,735	61,027	52,274	…	…	…	14,461	8,753	5,708
1973	서울특별시	8월	합계	144,873	126,413	103,156	…	…	…	41,717	23,257	18,460
1973	서울특별시	8월	남자	74,500	65,361	52,767	…	…	…	21,733	12,594	9,139
1973	서울특별시	8월	여자	70,373	61,052	50,389	…	…	…	19,984	10,663	9,321
1973	서울특별시	9월	합계	140,438	128,286	104,986	…	…	…	35,452	23,300	12,152
1973	서울특별시	9월	남자	72,112	66,054	53,582	…	…	…	18,530	12,472	6,058
1973	서울특별시	9월	여자	68,326	62,232	51,404	…	…	…	16,922	10,828	6,094
1973	서울특별시	10월	합계	149,765	138,553	116,261	…	…	…	33,504	22,292	11,212
1973	서울특별시	10월	남자	76,834	71,814	59,344	…	…	…	17,490	12,470	5,020
1973	서울특별시	10월	여자	72,931	66,739	56,917	…	…	…	16,014	9,822	6,192
1973	서울특별시	11월	합계	144,789	132,515	111,272	…	…	…	33,517	21,243	12,274
1973	서울특별시	11월	남자	74,346	68,215	56,493	…	…	…	17,853	11,722	6,131
1973	서울특별시	11월	여자	70,443	64,300	54,779	…	…	…	15,664	9,521	6,143
1973	서울특별시	12월	합계	130,148	117,378	98,129	…	…	…	32,019	19,249	12,770
1973	서울특별시	12월	남자	66,915	60,605	49,871	…	…	…	17,044	10,734	6,310
1973	서울특별시	12월	여자	63,233	56,773	48,258	…	…	…	14,975	8,515	6,460
