,,
지역,시점,매매가격 대비 전세가격(전세지가)
지방,2016. 03 월,74.14017762
지방,2016. 04 월,74.25027507
지방,2016. 05 월,74.3509745
지방,2016. 06 월,74.46336515
지방,2016. 07 월,74.56713007
지방,2016. 08 월,74.62398386
지방,2016. 09 월,74.60598151
지방,2016. 10 월,74.65390202
지방,2016. 11 월,74.70758198
지방,2016. 12 월,74.78317264
지방,2017. 01 월,74.81334733
지방,2017. 02 월,74.8593736
지방,2017. 03 월,74.92093636
지방,2017. 04 월,74.94889376
지방,2017. 05 월,74.94416473
지방,2017. 06 월,74.92484157
지방,2017. 07 월,74.88098418
지방,2017. 08 월,74.83640691
지방,2017. 09 월,74.84536013
지방,2017. 10 월,74.87151171
지방,2017. 11 월,74.91215551
지방,2017. 12 월,75.17484599
지방,2018. 01 월,75.22542564
지방,2018. 02 월,75.24462125
지방,2018. 03 월,75.22497035
지방,2018. 04 월,75.19907616
지방,2018. 05 월,75.16454598
지방,2018. 06 월,75.13358037
지방,2018. 07 월,75.10935186
지방,2018. 08 월,75.13300515
지방,2018. 09 월,75.12208944
지방,2018. 10 월,75.09427904
지방,2018. 11 월,75.11248177
지방,2018. 12 월,75.13695775
지방,2019. 01 월,74.72713293
지방,2019. 02 월,74.75088863
지방,2019. 03 월,74.78738316
지방,2019. 04 월,74.82655208
지방,2019. 05 월,74.84411469
지방,2019. 06 월,74.84060674
지방,2019. 07 월,74.86241589
지방,2019. 08 월,74.87280237
지방,2019. 09 월,74.91013029
지방,2019. 10 월,74.93621602
지방,2019. 11 월,74.96436317
지방,2019. 12 월,74.9447452
6대광역시,2012. 01 월,67.79635684
6대광역시,2012. 02 월,67.79732866
6대광역시,2012. 03 월,67.92816938
6대광역시,2012. 04 월,68.08739412
6대광역시,2012. 05 월,68.27835554
6대광역시,2012. 06 월,68.34077485
6대광역시,2012. 07 월,68.40718582
6대광역시,2012. 08 월,68.55873216
6대광역시,2012. 09 월,68.7987044
6대광역시,2012. 10 월,69.02783657
6대광역시,2012. 11 월,69.36451828
6대광역시,2012. 12 월,68.78935906
6대광역시,2013. 01 월,69.04565586
6대광역시,2013. 02 월,69.32943209
6대광역시,2013. 03 월,69.63870869
6대광역시,2013. 04 월,69.92548418
6대광역시,2013. 05 월,70.0824228
6대광역시,2013. 06 월,70.22442781
6대광역시,2013. 07 월,70.39865151
6대광역시,2013. 08 월,70.70356796
6대광역시,2013. 09 월,70.95167859
6대광역시,2013. 10 월,71.14427473
6대광역시,2013. 11 월,71.31613741
6대광역시,2013. 12 월,71.46748743
6대광역시,2014. 01 월,71.60995351
6대광역시,2014. 02 월,71.7834335
6대광역시,2014. 03 월,71.9901836
6대광역시,2014. 04 월,72.03944368
6대광역시,2014. 05 월,72.06154598
6대광역시,2014. 06 월,72.09613361
6대광역시,2014. 07 월,72.11234869
6대광역시,2014. 08 월,72.12954405
6대광역시,2014. 09 월,72.15223534
6대광역시,2014. 10 월,72.18252603
6대광역시,2014. 11 월,72.2063629
6대광역시,2014. 12 월,72.22335815
6대광역시,2015. 01 월,72.13999397
6대광역시,2015. 02 월,72.16666669
6대광역시,2015. 03 월,72.23243778
6대광역시,2015. 04 월,72.3184741
6대광역시,2015. 05 월,72.35622537
6대광역시,2015. 06 월,72.38379972
6대광역시,2015. 07 월,73.45791754
