"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"서울특별시","2008. 01 월","159479","157137","2342","44897","59290","59290","55292","52950",
"서울특별시","2008. 02 월","193293","191049","2244","53904","74311","74311","65078","62834",
"서울특별시","2008. 03 월","192051","197108","-5057","60620","73427","73427","58004","63061",
"서울특별시","2008. 04 월","188578","195556","-6978","63982","72489","72489","52107","59085",
"서울특별시","2008. 05 월","185086","193623","-8537","63666","72091","72091","49329","57866",
"서울특별시","2008. 06 월","169842","179485","-9643","57661","67079","67079","45102","54745",
"서울특별시","2008. 07 월","165423","172767","-7344","51957","66471","66471","46995","54339",
"서울특별시","2008. 08 월","159850","165306","-5456","48063","63972","63972","47815","53271",
"서울특별시","2008. 09 월","151528","156744","-5216","46281","60538","60538","44709","49925",
"서울특별시","2008. 10 월","174800","179447","-4647","57324","69346","69346","48130","52777",
"서울특별시","2008. 11 월","141163","146542","-5379","44906","56932","56932","39325","44704",
"서울특별시","2008. 12 월","144265","148588","-4323","40176","56830","56830","47259","51582",
"서울특별시","2009. 01 월","121521","118091","3430","30280","46584","46584","44657","41227",
"서울특별시","2009. 02 월","184736","177073","7663","46490","71806","71806","66440","58777",
"서울특별시","2009. 03 월","191695","194061","-2366","57544","73717","73717","60434","62800",
"서울특별시","2009. 04 월","161899","166009","-4110","52229","62929","62929","46741","50851",
"서울특별시","2009. 05 월","153001","155342","-2341","46780","59502","59502","46719","49060",
"서울특별시","2009. 06 월","155661","157737","-2076","47696","59881","59881","48084","50160",
"서울특별시","2009. 07 월","150837","154211","-3374","45591","58639","58639","46607","49981",
"서울특별시","2009. 08 월","156384","160959","-4575","46443","60730","60730","49211","53786",
"서울특별시","2009. 09 월","152937","160673","-7736","48363","58991","58991","45583","53319",
"서울특별시","2009. 10 월","159980","169572","-9592","52855","61161","61161","45964","55556",
"서울특별시","2009. 11 월","141442","154968","-13526","46230","55446","55446","39766","53292",
"서울특별시","2009. 12 월","143095","156756","-13661","40363","56605","56605","46127","59788",
"서울특별시","2010. 01 월","121063","125187","-4124","29888","47135","47135","44040","48164",
"서울특별시","2010. 02 월","159643","164964","-5321","39905","62541","62541","57197","62518",
"서울특별시","2010. 03 월","190443","202749","-12306","57717","73442","73442","59284","71590",
"서울특별시","2010. 04 월","156519","168186","-11667","51725","59491","59491","45303","56970",
"서울특별시","2010. 05 월","145051","156874","-11823","47355","56024","56024","41672","53495",
"서울특별시","2010. 06 월","135487","144543","-9056","42508","52669","52669","40310","49366",
"서울특별시","2010. 07 월","128872","136818","-7946","38310","51150","51150","39412","47358",
"서울특별시","2010. 08 월","141136","148726","-7590","39800","56259","56259","45077","52667",
"서울특별시","2010. 09 월","120210","128763","-8553","36623","47713","47713","35874","44427",
"서울특별시","2010. 10 월","146446","156914","-10468","47360","57736","57736","41350","51818",
"서울특별시","2010. 11 월","144395","158592","-14197","46631","57965","57965","39799","53996",
"서울특별시","2010. 12 월","143750","155722","-11972","42523","57238","57238","43989","55961",
"서울특별시","2011. 01 월","124125","128449","-4324","33165","48063","48063","42897","47221",
"서울특별시","2011. 02 월","166687","170284","-3597","44865","65748","65748","56074","59671",
"서울특별시","2011. 03 월","182847","193708","-10861","58625","71265","71265","52957","63818",
"서울특별시","2011. 04 월","148582","158638","-10056","51057","57090","57090","40435","50491",
"서울특별시","2011. 05 월","149942","160262","-10320","51377","57933","57933","40632","50952",
"서울특별시","2011. 06 월","130326","140667","-10341","42276","51217","51217","36833","47174",
"서울특별시","2011. 07 월","123680","132400","-8720","39410","48537","48537","35733","44453",
"서울특별시","2011. 08 월","155031","164866","-9835","48526","60560","60560","45945","55780",
"서울특별시","2011. 09 월","128148","138099","-9951","41599","49495","49495","37054","47005",
"서울특별시","2011. 10 월","144601","154442","-9841","48646","56559","56559","39396","49237",
"서울특별시","2011. 11 월","136035","148919","-12884","44642","53629","53629","37764","50648",
"서울특별시","2011. 12 월","131744","144072","-12328","39619","51219","51219","40906","53234",
"서울특별시","2012. 01 월","111997","115378","-3381","28795","43023","43023","40179","43560",
"서울특별시","2012. 02 월","168586","171439","-2853","43070","64766","64766","60750","63603",
"서울특별시","2012. 03 월","153149","162181","-9032","46747","57874","57874","48528","57560",
"서울특별시","2012. 04 월","135660","144355","-8695","44838","51147","51147","39675","48370",
"서울특별시","2012. 05 월","133247","141626","-8379","44401","49987","49987","38859","47238",
"서울특별시","2012. 06 월","112473","120307","-7834","36233","42569","42569","33671","41505",
"서울특별시","2012. 07 월","115200","123953","-8753","35978","43994","43994","35228","43981",
"서울특별시","2012. 08 월","119234","128460","-9226","35488","45463","45463","38283","47509",
"서울특별시","2012. 09 월","105895","114085","-8190","33678","40353","40353","31864","40054",
"서울특별시","2012. 10 월","139686","151035","-11349","44970","54770","54770","39946","51295",
"서울특별시","2012. 11 월","134791","145921","-11130","42464","52409","52409","39918","51048",
"서울특별시","2012. 12 월","125363","140188","-14825","36796","49487","49487","39080","53905",
"서울특별시","2013. 01 월","118477","123006","-4529","30191","45643","45643","42643","47172",
"서울특별시","2013. 02 월","150805","155528","-4723","37426","59876","59876","53503","58226",
"서울특별시","2013. 03 월","138507","146220","-7713","40993","52790","52790","44724","52437",
"서울특별시","2013. 04 월","134581","144586","-10005","44771","51396","51396","38414","48419",
"서울특별시","2013. 05 월","130619","138830","-8211","43403","50136","50136","37080","45291",
"서울특별시","2013. 06 월","115773","124523","-8750","38365","44101","44101","33307","42057",
"서울특별시","2013. 07 월","118420","127308","-8888","37104","45735","45735","35581","44469",
"서울특별시","2013. 08 월","119171","126101","-6930","36697","45324","45324","37150","44080",
"서울특별시","2013. 09 월","103009","109528","-6519","32569","39416","39416","31024","37543",
"서울특별시","2013. 10 월","133368","142141","-8773","44556","50923","50923","37889","46662",
"서울특별시","2013. 11 월","119741","131098","-11357","40284","45100","45100","34357","45714",
"서울특별시","2013. 12 월","137619","151771","-14152","42035","54174","54174","41410","55562",
"서울특별시","2014. 01 월","111094","115366","-4272","29855","41756","41756","39483","43755",
"서울특별시","2014. 02 월","155429","158261","-2832","39773","59275","59275","56381","59213",
"서울특별시","2014. 03 월","148117","154260","-6143","45372","55072","55072","47673","53816",
"서울특별시","2014. 04 월","136230","144686","-8456","45379","51724","51724","39127","47583",
"서울특별시","2014. 05 월","129645","137232","-7587","44055","48763","48763","36827","44414",
"서울특별시","2014. 06 월","122547","130942","-8395","41631","47046","47046","33870","42265",
"서울특별시","2014. 07 월","128364","135883","-7519","41510","50339","50339","36515","44034",
"서울특별시","2014. 08 월","124922","130585","-5663","38872","48566","48566","37484","43147",
"서울특별시","2014. 09 월","117715","123841","-6126","37909","45134","45134","34672","40798",
"서울특별시","2014. 10 월","142279","151401","-9122","48474","55605","55605","38200","47322",
"서울특별시","2014. 11 월","124299","133467","-9168","41763","48332","48332","34204","43372",
"서울특별시","2014. 12 월","132953","145501","-12548","40808","51010","51010","41135","53683",
"서울특별시","2015. 01 월","116958","120013","-3055","31048","42995","42995","42915","45970",
"서울특별시","2015. 02 월","134168","138304","-4136","35815","50625","50625","47728","51864",
"서울특별시","2015. 03 월","160393","169767","-9374","51170","59601","59601","49622","58996",
"서울특별시","2015. 04 월","137743","148860","-11117","47930","52721","52721","37092","48209",
"서울특별시","2015. 05 월","132359","144035","-11676","47947","51068","51068","33344","45020",
"서울특별시","2015. 06 월","135400","149778","-14378","48000","52428","52428","34972","49350",
"서울특별시","2015. 07 월","130033","141756","-11723","44175","50127","50127","35731","47454",
"서울특별시","2015. 08 월","128717","141628","-12911","42484","49328","49328","36905","49816",
"서울특별시","2015. 09 월","112803","125689","-12886","38797","42986","42986","31020","43906",
"서울특별시","2015. 10 월","135505","150502","-14997","47786","51773","51773","35946","50943",
"서울특별시","2015. 11 월","132012","145622","-13610","46372","50385","50385","35255","48865",
"서울특별시","2015. 12 월","133340","150733","-17393","42743","51225","51225","39372","56765",
"서울특별시","2016. 01 월","113095","119949","-6854","31903","41674","41674","39518","46372",
"서울특별시","2016. 02 월","145256","153467","-8211","39614","54295","54295","51347","59558",
"서울특별시","2016. 03 월","140880","149700","-8820","42822","51518","51518","46540","55360",
"서울특별시","2016. 04 월","117029","127687","-10658","39716","43565","43565","33748","44406",
"서울특별시","2016. 05 월","123743","135701","-11958","43795","46114","46114","33834","45792",
"서울특별시","2016. 06 월","119398","131462","-12064","39891","45649","45649","33858","45922",
"서울특별시","2016. 07 월","110156","123001","-12845","36219","41759","41759","32178","45023",
"서울특별시","2016. 08 월","132319","146990","-14671","41768","50642","50642","39909","54580",
"서울특별시","2016. 09 월","117840","128750","-10910","39165","45495","45495","33180","44090",
"서울특별시","2016. 10 월","133610","146868","-13258","46315","51582","51582","35713","48971",
"서울특별시","2016. 11 월","130166","144748","-14582","44637","50777","50777","34752","49334",
"서울특별시","2016. 12 월","132110","147536","-15426","41877","51123","51123","39110","54536",
"서울특별시","2017. 01 월","114655","117173","-2518","31151","42425","42425","41079","43597",
"서울특별시","2017. 02 월","161130","162678","-1548","42329","61317","61317","57484","59032",
"서울특별시","2017. 03 월","143477","148176","-4699","41907","53564","53564","48006","52705",
"서울특별시","2017. 04 월","112932","119307","-6375","35605","43502","43502","33825","40200",
"서울특별시","2017. 05 월","124132","130722","-6590","40853","47407","47407","35872","42462",
"서울특별시","2017. 06 월","115236","121281","-6045","37233","43703","43703","34300","40345",
"서울특별시","2017. 07 월","113098","121341","-8243","36411","43168","43168","33519","41762",
"서울특별시","2017. 08 월","132940","141931","-8991","41200","51657","51657","40083","49074",
"서울특별시","2017. 09 월","120252","133583","-13331","39381","47045","47045","33826","47157",
"서울특별시","2017. 10 월","109323","120064","-10741","37469","42714","42714","29140","39881",
"서울특별시","2017. 11 월","114057","128744","-14687","37895","44228","44228","31934","46621",
"서울특별시","2017. 12 월","111705","126423","-14718","33102","43541","43541","35062","49780",
"서울특별시","2018. 01 월","119120","126275","-7155","30349","44471","44471","44300","51455",
"서울특별시","2018. 02 월","135440","142674","-7234","33802","52357","52357","49281","56515",
"서울특별시","2018. 03 월","144160","152138","-7978","41784","53995","53995","48381","56359",
"서울특별시","2018. 04 월","117443","127510","-10067","37251","44104","44104","36088","46155",
"서울특별시","2018. 05 월","117278","128576","-11298","37789","44965","44965","34524","45822",
"서울특별시","2018. 06 월","109139","117661","-8522","34913","41629","41629","32597","41119",
"서울특별시","2018. 07 월","112580","121981","-9401","34265","43135","43135","35180","44581",
"서울특별시","2018. 08 월","117300","126268","-8968","34430","44057","44057","38813","47781",
"서울특별시","2018. 09 월","92262","100223","-7961","28048","34843","34843","29371","37332",
"서울특별시","2018. 10 월","132111","142818","-10707","43557","50831","50831","37723","48430",
"서울특별시","2018. 11 월","125350","136685","-11335","40774","49008","49008","35568","46903",
"서울특별시","2018. 12 월","117524","127128","-9604","33818","45401","45401","38305","47909",
"서울특별시","2019. 01 월","128937","129031","-94","32640","47867","47867","48430","48524",
"서울특별시","2019. 02 월","146401","143367","3034","35473","55117","55117","55811","52777",
