기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2015.3/4	동작구	171,377	415,598	203,736	211,862	403,345	197,952	205,393	12,253	5,784	6,469	-	-	2.35	53,444
2015.3/4	관악구	249,449	531,145	268,013	263,132	511,583	258,593	252,990	19,562	9,420	10,142	-	-	2.05	64,543
2015.3/4	서초구	173,335	452,488	217,786	234,702	447,924	215,443	232,481	4,564	2,343	2,221	-	-	2.58	49,051
2015.3/4	강남구	237,659	582,109	279,485	302,624	576,756	276,656	300,100	5,353	2,829	2,524	-	-	2.43	59,587
2015.3/4	송파구	257,395	670,489	327,589	342,900	663,247	324,066	339,181	7,242	3,523	3,719	-	-	2.58	67,709
2015.3/4	강동구	181,329	466,838	232,525	234,313	462,103	230,345	231,758	4,735	2,180	2,555	-	-	2.55	51,569
2015.4/4	합계	4,189,948	10,297,138	5,063,550	5,233,588	10,022,181	4,930,943	5,091,238	274,957	132,607	142,350	-	-	2.39	1,267,563
2015.4/4	종로구	72,645	163,822	80,531	83,291	154,986	76,548	78,438	8,836	3,983	4,853	-	-	2.13	24,892
2015.4/4	중구	59,321	134,329	66,755	67,574	125,733	62,687	63,046	8,596	4,068	4,528	-	-	2.12	20,302
2015.4/4	용산구	107,512	247,909	121,027	126,882	233,342	113,177	120,165	14,567	7,850	6,717	-	-	2.17	35,715
2015.4/4	성동구	126,714	305,065	151,459	153,606	297,003	147,570	149,433	8,062	3,889	4,173	-	-	2.34	38,164
2015.4/4	광진구	158,353	375,180	183,436	191,744	360,369	176,884	183,485	14,811	6,552	8,259	-	-	2.28	40,368
2015.4/4	동대문구	159,941	373,824	185,827	187,997	360,153	180,485	179,668	13,671	5,342	8,329	-	-	2.25	52,490
2015.4/4	중랑구	176,390	418,620	208,393	210,227	413,909	206,505	207,404	4,711	1,888	2,823	-	-	2.35	54,095
2015.4/4	성북구	190,973	469,560	229,183	240,377	459,275	224,980	234,295	10,285	4,203	6,082	-	-	2.4	63,281
2015.4/4	강북구	141,088	334,426	164,337	170,089	330,873	162,967	167,906	3,553	1,370	2,183	-	-	2.35	52,598
2015.4/4	도봉구	136,903	353,241	173,804	179,437	351,242	173,029	178,213	1,999	775	1,224	-	-	2.57	48,590
2015.4/4	노원구	219,768	578,221	281,538	296,683	574,583	279,987	294,596	3,638	1,551	2,087	-	-	2.61	68,909
2015.4/4	은평구	203,410	502,578	244,964	257,614	497,920	242,975	254,945	4,658	1,989	2,669	-	-	2.45	69,753
2015.4/4	서대문구	135,770	323,105	156,130	166,975	312,141	152,008	160,133	10,964	4,122	6,842	-	-	2.3	46,758
2015.4/4	마포구	171,480	398,351	190,957	207,394	387,643	186,495	201,148	10,708	4,462	6,246	-	-	2.26	48,598
2015.4/4	양천구	179,512	489,010	242,074	246,936	484,532	239,995	244,537	4,478	2,079	2,399	-	-	2.7	50,398
2015.4/4	강서구	238,952	595,691	291,216	304,475	589,074	287,947	301,127	6,617	3,269	3,348	-	-	2.47	67,950
2015.4/4	구로구	172,321	454,604	228,201	226,403	422,092	210,440	211,652	32,512	17,761	14,751	-	-	2.45	53,719
2015.4/4	금천구	103,847	256,167	131,346	124,821	236,284	120,604	115,680	19,883	10,742	9,141	-	-	2.28	31,070
2015.4/4	영등포구	167,863	417,811	210,388	207,423	378,504	189,394	189,110	39,307	20,994	18,313	-	-	2.25	51,481
2015.4/4	동작구	170,495	412,774	202,165	210,609	400,641	196,463	204,178	12,133	5,702	6,431	-	-	2.35	53,610
2015.4/4	관악구	249,191	529,031	266,773	262,258	509,663	257,491	252,172	19,368	9,282	10,086	-	-	2.05	64,985
2015.4/4	서초구	173,007	451,258	217,036	234,222	446,764	214,737	232,027	4,494	2,299	2,195	-	-	2.58	49,280
2015.4/4	강남구	237,373	581,760	279,209	302,551	576,495	276,425	300,070	5,265	2,784	2,481	-	-	2.43	60,330
2015.4/4	송파구	256,611	667,480	325,950	341,530	660,302	322,441	337,861	7,178	3,509	3,669	-	-	2.57	68,292
2015.4/4	강동구	180,508	463,321	230,851	232,470	458,658	228,709	229,949	4,663	2,142	2,521	-	-	2.54	51,935
2016.1/4	합계	4,194,485	10,282,821	5,053,675	5,229,146	10,009,588	4,922,103	5,087,485	273,233	131,572	141,661	-	-	2.39	1,280,268
2016.1/4	종로구	73,146	163,993	80,548	83,445	155,142	76,593	78,549	8,851	3,955	4,896	-	-	2.12	24,999
2016.1/4	중구	59,339	134,436	66,747	67,689	125,765	62,653	63,112	8,671	4,094	4,577	-	-	2.12	20,431
2016.1/4	용산구	107,342	247,297	120,607	126,690	232,684	112,719	119,965	14,613	7,888	6,725	-	-	2.17	35,912
2016.1/4	성동구	126,666	304,565	151,019	153,546	296,575	147,198	149,377	7,990	3,821	4,169	-	-	2.34	38,559
2016.1/4	광진구	158,593	374,798	182,951	191,847	360,083	176,451	183,632	14,715	6,500	8,215	-	-	2.27	40,764
2016.1/4	동대문구	160,378	373,657	185,627	188,030	359,864	180,230	179,634	13,793	5,397	8,396	-	-	2.24	52,965
2016.1/4	중랑구	176,721	418,341	208,235	210,106	413,605	206,344	207,261	4,736	1,891	2,845	-	-	2.34	54,687
2016.1/4	성북구	190,957	468,699	228,530	240,169	458,450	224,361	234,089	10,249	4,169	6,080	-	-	2.4	63,782
2016.1/4	강북구	141,053	333,615	163,819	169,796	330,058	162,445	167,613	3,557	1,374	2,183	-	-	2.34	53,023
2016.1/4	도봉구	136,687	352,521	173,342	179,179	350,526	172,571	177,955	1,995	771	1,224	-	-	2.56	49,161
2016.1/4	노원구	220,588	577,805	281,431	296,374	574,064	279,821	294,243	3,741	1,610	2,131	-	-	2.6	69,578
2016.1/4	은평구	203,140	501,242	244,103	257,139	496,659	242,160	254,499	4,583	1,943	2,640	-	-	2.44	70,311
2016.1/4	서대문구	137,303	326,746	157,763	168,983	315,778	153,651	162,127	10,968	4,112	6,856	-	-	2.3	47,319
2016.1/4	마포구	171,489	397,575	190,413	207,162	386,944	185,997	200,947	10,631	4,416	6,215	-	-	2.26	48,908
2016.1/4	양천구	179,008	487,368	241,190	246,178	482,945	239,159	243,786	4,423	2,031	2,392	-	-	2.7	50,905
2016.1/4	강서구	240,337	597,473	291,883	305,590	590,849	288,609	302,240	6,624	3,274	3,350	-	-	2.46	68,935
2016.1/4	구로구	172,837	454,252	227,913	226,339	421,912	210,236	211,676	32,340	17,677	14,663	-	-	2.44	54,405
2016.1/4	금천구	103,988	255,274	130,794	124,480	235,734	120,200	115,534	19,540	10,594	8,946	-	-	2.27	31,449
2016.1/4	영등포구	168,222	417,209	209,941	207,268	378,445	189,275	189,170	38,764	20,666	18,098	-	-	2.25	52,030
2016.1/4	동작구	171,466	413,282	202,397	210,885	401,250	196,713	204,537	12,032	5,684	6,348	-	-	2.34	54,222
2016.1/4	관악구	251,124	530,072	267,390	262,682	510,987	258,237	252,750	19,085	9,153	9,932	-	-	2.03	65,772
2016.1/4	서초구	172,636	450,085	216,403	233,682	445,606	214,122	231,484	4,479	2,281	2,198	-	-	2.58	49,805
2016.1/4	강남구	236,280	578,862	277,575	301,287	573,644	274,839	298,805	5,218	2,736	2,482	-	-	2.43	60,958
2016.1/4	송파구	255,601	663,904	324,076	339,828	656,830	320,641	336,189	7,074	3,435	3,639	-	-	2.57	68,987
2016.1/4	강동구	179,584	459,750	228,978	230,772	455,189	226,878	228,311	4,561	2,100	2,461	-	-	2.53	52,401
2016.2/4	합계	4,193,712	10,260,972	5,040,526	5,220,446	9,989,795	4,910,202	5,079,593	271,177	130,324	140,853	-	-	2.38	1,286,288
2016.2/4	종로구	72,820	163,235	80,127	83,108	154,365	76,126	78,239	8,870	4,001	4,869	-	-	2.12	25,009
2016.2/4	중구	59,315	134,175	66,582	67,593	125,457	62,458	62,999	8,718	4,124	4,594	-	-	2.12	20,434
