"순번","서소코드","서소이름","위도","경도"
"242","88250","마천119안전센터","37.4997892","127.1425858"
"243","90280","중랑119구조대","37.6155626","127.0948244"
"244","77251","돈암119안전센터","37.5909651","127.0145016"
"245","72254","신당119안전센터","37.5528805","127.0096761"
"246","89252","목동119안전센터","37.5429141","126.8835366"
"247","93236","강북소방서","37.6333573","127.0377476"
"248","KK119","일산-주엽119","37.6702241","126.7591769"
"249","IC119","부평-부평119","37.492201","126.7233849"
"250","71253","종로119안전센터","37.5712432","126.9922444"
"251","78280","은평119구조대","37.6287393","126.9201532"
"252","83251","염리119안전센터","37.5416337","126.9455415"
"253","79236","강남소방서","37.5102861","127.0667838"
"254","KK119","남양주-와부119","37.5858187","127.2161681"
"255","KK119","의왕-오전119","37.3563412","126.9685337"
"256","82236","강동소방서","37.5292599","127.1249687"
"257","82252","고덕119안전센터","37.5572211","127.1520738"
"258","90253","중화119안전센터","37.6004758","127.0793189"
"201","88254","운동장119안전센터","37.5138968","127.0711488"
"211","KK119","양주-백석119","37.7958862","126.989491"
"220","77236","성북소방서","37.6023618","127.0316666"
"229","85253","구로119안전센터","37.4942236","126.8825749"
"238","81251","화곡119안전센터","37.5436469","126.8452536"
