"자치단체코드","상호","휴폐업구분","업태","허가일자"
"3080000","트레지오","휴업","쇼핑센터","20070517"
"3080000","수유프라자","휴업","그밖의 대규모점포","19981012"
"0000000","수유프라자","휴업","그밖의 대규모점포","20031209"
"3080000","강북종합시장","휴업","그밖의 대규모점포","20030805"
"3240000","천호시장","휴업","그밖의 대규모점포","20050927"
"3070000","동소문스카이프라자","영업중","그밖의 대규모점포","19951116"
"3070000","삼선시장","폐업","시장","19740510"
"3070000","돈암시장","폐업","시장","19991207"
"3070000","보문시장","영업중","그밖의 대규모점포","19611204"
"3070000","정릉시장","폐업","시장","19700227"
"3070000","길음시장","영업중","그밖의 대규모점포","19880811"
"3070000","신세계이마트미아점","영업중","대형마트","20080529"
"3070000","신세계백화점 미아점","휴업","백화점","19880514"
"3070000","길음시장","휴업","그밖의 대규모점포","20030210"
"3070000","종암시장","폐업","시장","19611224"
"3070000","미아시장","영업중","그밖의 대규모점포","19990225"
"3070000","월곡시장","폐업","시장","19690219"
"3070000","장위시장","영업중","그밖의 대규모점포","19720704"
"3070000","번동시장","영업중","그밖의 대규모점포","19720930"
"0000000","코코마트","휴업","그밖의 대규모점포","19980522"
"3070000","코코마트","폐업","시장","20031224"
"3070000","장석시장","폐업","시장","19680814"
"3070000","코코마트","휴업","그밖의 대규모점포","19940429"
"3070000","석관시장","영업중","그밖의 대규모점포","19990121"
"3070000","새석관시장","영업중","그밖의 대규모점포","19710522"
"3070000","삼익아파트상가","영업중","그밖의 대규모점포","20080620"
"3090000","롯데슈퍼 쌍문점","영업중","구분없음","20120315"
"3210000","롯데쇼핑(주)롯데슈퍼 방배점","영업중","전문점","20120518"
"3230000","롯데쇼핑(주)롯데마트 송파점","영업중","대형마트","20000713"
"3210000","(주)뉴코아아울렛","영업중","그밖의 대규모점포","19880409"
"3210000","뉴코아시장","영업중","그밖의 대규모점포","19801104"
"3100000","롯데백화점 노원점","영업중","백화점","20050826"
"3180000","(주)신영사러가","영업중","그밖의 대규모점포","19671226"
"3050000","롯데백화점 청량리플라자","영업중","백화점","19790913"
"3130000","롯데슈퍼 대흥점","영업중","구분없음","20080812"
"3030000","마장축산물시장","영업중","시장","20060320"
"3130000","롯데슈퍼 신촌점","영업중","구분없음","20090618"
"3200000","라붐아울렛","영업중","복합쇼핑몰","20060825"
"3200000","(주)천성세이브마트","영업중","그밖의 대규모점포","19991207"
"3200000","관악현대상가","영업중","그밖의 대규모점포","19920826"
"3010000","현대시티타워","영업중","쇼핑센터","19960831"
"3060000","동원","영업중","시장","19711210"
"3220000","청담제일시장","휴업","그밖의 대규모점포","19780526"
"3220000","진솔물산","영업중","그밖의 대규모점포","19970630"
"3220000","(주)신세계마트 이마트 역삼점","휴업","대형마트","19990714"
"3220000","서울상록회관","폐업","대형마트","19911230"
"3220000","미씨-860","폐업","그밖의 대규모점포","19970524"
"3140000","(주)신세계이마트 목동점","폐업","대형마트","20100405"
"3140000","신세계 이마트 목동점","폐업","대형마트","20090323"
"3140000","(주)이랜드리테일","폐업","쇼핑센터","20061101"
"3200000","롯데쇼핑(주)롯데슈퍼 남현2점","영업중","구분없음","20120521"
"3220000","남서울종합상가","휴업","그밖의 대규모점포","20030128"
"3070000","이마트 하월곡점","영업중","대형마트","20100630"
"3220000","금강상가","휴업","그밖의 대규모점포","19790410"
"3210000","이수마트","휴업","그밖의 대규모점포","20040812"
"3210000","킴스클럽","영업중","대형마트","19950601"
"3010000","대림상가","영업중","그밖의 대규모점포","19720918"
"3150000","홈플러스(주) 가양점","영업중","대형마트","20081031"
"3240000","지에스 더프레시(GS THE FRESH) 고덕그라시움점","","구분없음","20190604"
"3150000","화곡중앙시장","영업중","시장","19871030"
"3210000","뉴코아백화점","휴업","그밖의 대규모점포","20001206"
"3150000","테크노스카이시티","영업중","그밖의 대규모점포","20030403"
"3210000","킴스클럽","휴업","그밖의 대규모점포","19950601"
"3180000","영등포유통관리(주)","영업중","그밖의 대규모점포","19990531"
"3180000","현대백화점 여의도점","","백화점","20200102"
"3230000","농협하나로마트방이역점","영업중","구분없음","20120405"
"3230000","홈플러스(주)익스프레스 삼전점","영업중","구분없음","20111102"
"3200000","포도몰","영업중","복합쇼핑몰","20090204"
"3190000","신대방우성상가","휴업","그밖의 대규모점포","19891201"
"3130000","마포시장","영업중","시장","19770715"
"3130000","염리시장","영업중","시장","19760116"
"3130000","마포농수산물시장","휴업","그밖의 대규모점포","20050224"
"3130000","스타피카소 아울렛","영업중","전문점","20080331"
"3130000","합정시장","영업중","시장","19700729"
"3130000","영진시장","영업중","시장","19720622"
"3130000","서교시장","영업중","시장","19720719"
"3130000","동진시장","영업중","시장","19740605"
"3130000","마포종합시장","영업중","그밖의 대규모점포","20070507"
"3130000","성산시장","영업중","시장","19740528"
"3130000","성산프라자","영업중","그밖의 대규모점포","20091112"
"3120000","신촌 밀리오레","영업중","그밖의 대규모점포","20060919"
"3120000","모래내시장(주)","영업중","시장","19871024"
"3120000","예스에이피엠","영업중","그밖의 대규모점포","20070809"
"3210000","방림종합시장","영업중","그밖의 대규모점포","19800524"
"3050000","답십리중앙시장","폐업","그밖의 대규모점포","19720901"
"3050000","동부시장","영업중","그밖의 대규모점포","19710311"
"3050000","대규모점포 개설등록","영업중","그밖의 대규모점포","20090320"
"3050000","답십리시장","폐업","그밖의 대규모점포","19611023"
"3050000","장안시장","폐업","그밖의 대규모점포","19710313"
"3050000","쉐르빌쇼핑타운","폐업","그밖의 대규모점포","20021022"
"3050000","전곡시장","영업중","그밖의 대규모점포","19750905"
"3050000","휘경시장","영업중","그밖의 대규모점포","19740710"
"3050000","이경시장","영업중","그밖의 대규모점포","19740711"
"3050000","휘경시장","폐업","그밖의 대규모점포","20040908"
"3050000","이문종합상가","폐업","그밖의 대규모점포","19620312"
"3050000","주-이문종합상가","폐업","그밖의 대규모점포","20041122"
"3050000","주-이문종합상가","폐업","그밖의 대규모점포","20041122"
"3050000","기타대규모점포","휴업","그밖의 대규모점포","20040209"
"3190000","대림쇼핑타운","영업중","시장","19931130"
"3190000","서울노량진종합시장","휴업","그밖의 대규모점포","20041218"
"3190000","서울노량진종합시장","휴업","그밖의 대규모점포","20050119"
"3050000","건강백화점 동의보감","영업재개","전문점","20060424"
"3010000","디자이너크럽","영업중","그밖의 대규모점포","19940831"
"3050000","(주)이마트에브리데이 답십리점","영업중","구분없음","20110926"
"3100000","(주)이마트에브리데이 공릉동점","영업중","구분없음","20111229"
"3040000","(주)이마트에브리데이 중곡동점","영업중","그밖의 대규모점포","20110922"
"3240000","(주)이마트에브리데이 명일동점","영업중","구분없음","20110927"
"3050000","용두시장","영업중","그밖의 대규모점포","19771226"
"3090000","(주)이마트에브리데이 창동점","영업중","쇼핑센터","20120326"
"3100000","와우패션클럽","영업중","그밖의 대규모점포","20051202"
"3070000","장위전통시장","영업중","시장","20130114"
"3200000","(주)이마트에브리데이 봉천동점","영업중","구분없음","20111026"
"3130000","(주)이마트 마포점","영업중","대형마트","20101223"
"3060000","(주)이마트에브리데이 면목동점","영업중","구분없음","20120106"
"3050000","동서시장","영업중","그밖의 대규모점포","19721012"
"3050000","미도파마트","폐업","대형마트","19990126"
"3050000","경동시장","영업중","그밖의 대규모점포","19600629"
"3150000","(주)이마트에브리데이 화곡동점","영업중","그밖의 대규모점포","20120312"
"3050000","(주)미도파마트","폐업","대형마트","20021112"
"3050000","롯데청량리점","영업중","백화점","19790913"
"3050000","롯데백화점 청량리점","영업중","백화점","20040809"
"3050000","롯데백화점 청량리점","영업중","백화점","20040809"
"3170000","시흥중앙시장","","그밖의 대규모점포","19730912"
"3170000","현대시장","휴업","그밖의 대규모점포","20070501"
"3170000","대명합동시장","영업중","그밖의 대규모점포","19771210"
"3170000","(주)이랜드리테일 홈에버 시흥점","휴업","대형마트","20020618"
"3170000","시흥산업용재유통센타","영업중","그밖의 대규모점포","19870626"
"3170000","럭키남서울상가","영업중","그밖의 대규모점포","19820114"
"3170000","푸른터시장","영업중","그밖의 대규모점포","20070719"
"3100000","신세계 이마트 월계덤","휴업","그밖의 대규모점포","20050329"
"3100000","신세계 이마트 월계점","휴업","대형마트","20050329"
"3100000","세이브존","휴업","대형마트","20021114"
"3100000","세이브존","휴업","대형마트","20050527"
"3100000","상계중앙시장","휴업","그밖의 대규모점포","19721207"
"3100000","롯데백화점 상계점","휴업","백화점","19991229"
