,종가,거래량,거래대금,변동 %
2013년 03월 20일,"1,959.41",332.90M,652287.589K,-0.97%
2013년 03월 19일,"1,978.56",326.79M,646573.6224K,0.53%
2013년 03월 18일,"1,968.18",304.27M,598858.1286K,-0.92%
2013년 03월 15일,"1,986.50",307.40M,610650.1K,-0.78%
2013년 03월 14일,"2,002.13",330.92M,662544.8596K,0.12%
2013년 03월 13일,"1,999.73",353.04M,705984.6792K,0.32%
2013년 03월 12일,"1,993.34",390.22M,777841.1348K,-0.50%
2013년 03월 11일,"2,003.35",398.28M,797894.238K,-0.13%
2013년 03월 08일,"2,006.01",312.06M,625995.4806K,0.08%
2013년 03월 07일,"2,004.40",386.48M,774660.512K,-0.81%
2013년 03월 06일,"2,020.74",395.37M,798939.9738K,0.20%
2013년 03월 05일,"2,016.61",491.94M,992051.1234K,0.17%
2013년 03월 04일,"2,013.15",357.44M,719580.336K,-0.66%
2013년 02월 28일,"2,026.49",421.96M,855097.7204K,1.12%
2013년 02월 27일,"2,004.04",417.07M,835824.9628K,0.20%
2013년 02월 26일,"2,000.01",433.41M,866824.3341K,-0.47%
2013년 02월 25일,"2,009.52",338.23M,679679.9496K,-0.46%
2013년 02월 22일,"2,018.89",409.12M,825968.2768K,0.18%
2013년 02월 21일,"2,015.22",391.19M,788333.9118K,-0.47%
2013년 02월 20일,"2,024.64",407.73M,825506.4672K,1.95%
2013년 02월 19일,"1,985.83",344.26M,683641.8358K,0.20%
2013년 02월 18일,"1,981.91",420.69M,833769.7179K,0.04%
2013년 02월 15일,"1,981.18",598.84M,1186409.831K,0.08%
2013년 02월 14일,"1,979.61",336.03M,665208.3483K,0.18%
2013년 02월 13일,"1,976.07",331.01M,654098.9307K,1.56%
2013년 02월 12일,"1,945.79",307.48M,598291.5092K,-0.26%
2013년 02월 08일,"1,950.90",291.21M,568121.589K,0.99%
2013년 02월 07일,"1,931.77",412.16M,796198.3232K,-0.23%
2013년 02월 06일,"1,936.19",349.22M,676156.2718K,-0.10%
2013년 02월 05일,"1,938.18",366.69M,710711.2242K,-0.77%
2013년 02월 04일,"1,953.21",345.36M,674560.6056K,-0.23%
2013년 02월 01일,"1,957.79",385.89M,755491.5831K,-0.21%
2013년 01월 31일,"1,961.94",399.58M,783951.9852K,-0.13%
2013년 01월 30일,"1,964.43",523.26M,1027907.642K,0.43%
2013년 01월 29일,"1,955.96",465.01M,909540.9596K,0.84%
2013년 01월 28일,"1,939.71",349.47M,677870.4537K,-0.36%
2013년 01월 25일,"1,946.69",401.83M,782238.4427K,-0.91%
2013년 01월 24일,"1,964.48",558.39M,1096945.987K,-0.80%
2013년 01월 23일,"1,980.41",491.36M,973094.2576K,-0.81%
2013년 01월 22일,"1,996.52",553.44M,1104954.029K,0.49%
2013년 01월 21일,"1,986.86",446.60M,887331.676K,-0.05%
2013년 01월 18일,"1,987.85",583.33M,1159572.541K,0.69%
2013년 01월 17일,"1,974.27",828.73M,1636136.777K,-0.16%
2013년 01월 16일,"1,977.45",457.62M,904920.669K,-0.32%
2013년 01월 15일,"1,983.74",546.22M,1083558.463K,-1.16%
2013년 01월 14일,"2,007.04",454.75M,912701.44K,0.52%
2013년 01월 11일,"1,996.67",472.56M,943546.3752K,-0.50%
2013년 01월 10일,"2,006.80",500.78M,1004965.304K,0.75%
2013년 01월 09일,"1,991.81",607.58M,1210183.92K,-0.31%
2013년 01월 08일,"1,997.94",493.73M,986442.9162K,-0.66%
2013년 01월 07일,"2,011.25",536.22M,1078472.475K,-0.03%
2013년 01월 04일,"2,011.94",378.86M,762243.5884K,-0.37%
2013년 01월 03일,"2,019.41",491.01M,991550.5041K,-0.58%
2013년 01월 02일,"2,031.10",364.08M,739482.888K,1.71%
2012년 12월 28일,"1,997.05",302.93M,604966.3565K,0.49%
2012년 12월 27일,"1,987.35",376.07M,747382.7145K,0.26%
2012년 12월 26일,"1,982.25",457.99M,907850.6775K,0.02%
2012년 12월 24일,"1,981.82",348.17M,690010.2694K,0.07%
2012년 12월 21일,"1,980.42",553.67M,1096499.141K,-0.95%
2012년 12월 20일,"1,999.50",421.93M,843649.035K,0.32%
2012년 12월 18일,"1,993.09",454.27M,905400.9943K,0.51%
2012년 12월 17일,"1,983.07",366.68M,727152.1076K,-0.60%
2012년 12월 14일,"1,995.04",350.50M,699261.52K,-0.39%
2012년 12월 13일,"2,002.77",421.46M,844087.4442K,1.38%
2012년 12월 12일,"1,975.44",459.72M,908149.2768K,0.55%
2012년 12월 11일,"1,964.62",404.83M,795337.1146K,0.37%
2012년 12월 10일,"1,957.42",367.57M,719488.8694K,0.00%
2012년 12월 07일,"1,957.45",413.45M,809307.7025K,0.40%
2012년 12월 06일,"1,949.62",345.32M,673242.7784K,0.13%
2012년 12월 05일,"1,947.04",492.58M,959072.9632K,0.61%
2012년 12월 04일,"1,935.18",294.80M,570491.064K,-0.25%
2012년 12월 03일,"1,940.02",314.89M,610892.8978K,0.37%
2012년 11월 30일,"1,932.90",337.27M,651909.183K,-0.10%
2012년 11월 29일,"1,934.85",388.79M,752250.3315K,1.15%
2012년 11월 28일,"1,912.78",408.91M,782154.8698K,-0.65%
2012년 11월 27일,"1,925.20",588.28M,1132556.656K,0.87%
2012년 11월 26일,"1,908.51",276.75M,528180.1425K,-0.15%
2012년 11월 23일,"1,911.33",329.95M,630643.3335K,0.62%
2012년 11월 22일,"1,899.50",412.82M,784151.59K,0.82%
2012년 11월 21일,"1,884.04",380.80M,717442.432K,-0.32%
2012년 11월 20일,"1,890.18",372.35M,703808.523K,0.64%
2012년 11월 19일,"1,878.10",349.36M,656133.016K,0.93%
2012년 11월 16일,"1,860.83",465.05M,865378.9915K,-0.53%
2012년 11월 15일,"1,870.72",450.85M,843414.112K,-1.23%
2012년 11월 14일,"1,894.04",533.94M,1011303.718K,0.23%
2012년 11월 13일,"1,889.70",494.88M,935174.736K,-0.59%
2012년 11월 12일,"1,900.87",473.26M,899605.7362K,-0.19%
2012년 11월 09일,"1,904.41",636.23M,1211642.774K,-0.52%
2012년 11월 08일,"1,914.41",659.65M,1262840.557K,-1.19%
2012년 11월 07일,"1,937.55",556.72M,1078672.836K,0.49%
2012년 11월 06일,"1,928.17",545.83M,1052453.031K,1.05%
2012년 11월 05일,"1,908.22",343.43M,655339.9946K,-0.55%
2012년 11월 02일,"1,918.72",441.21M,846558.4512K,1.07%
2012년 11월 01일,"1,898.44",402.38M,763894.2872K,-0.71%
2012년 10월 31일,"1,912.06",397.25M,759565.835K,0.66%
2012년 10월 30일,"1,899.58",334.13M,634706.6654K,0.43%
2012년 10월 29일,"1,891.52",371.72M,703115.8144K,0.00%
2012년 10월 26일,"1,891.43",437.52M,827538.4536K,-1.72%
2012년 10월 25일,"1,924.50",438.07M,843065.715K,0.55%
2012년 10월 24일,"1,913.96",564.64M,1080698.374K,-0.67%
2012년 10월 23일,"1,926.81",538.99M,1038531.322K,-0.76%
2012년 10월 22일,"1,941.59",458.10M,889442.379K,-0.12%
2012년 10월 19일,"1,943.84",383.23M,744937.8032K,-0.78%
2012년 10월 18일,"1,959.12",494.96M,969686.0352K,0.20%
2012년 10월 17일,"1,955.15",499.78M,977144.867K,0.70%
2012년 10월 16일,"1,941.54",538.40M,1045325.136K,0.83%
2012년 10월 15일,"1,925.59",567.91M,1093561.817K,-0.40%
2012년 10월 12일,"1,933.26",398.79M,770964.7554K,0.01%
2012년 10월 11일,"1,933.09",464.11M,897166.3999K,-0.78%
2012년 10월 10일,"1,948.22",449.39M,875510.5858K,-1.56%
2012년 10월 09일,"1,979.04",516.87M,1022906.405K,-0.14%
2012년 10월 08일,"1,981.89",508.31M,1007414.506K,-0.67%
2012년 10월 05일,"1,995.17",681.22M,1359149.707K,0.12%
2012년 10월 04일,"1,992.68",596.93M,1189490.472K,-0.17%
2012년 10월 02일,"1,996.03",496.28M,990589.7684K,-0.01%
2012년 09월 28일,"1,996.21",678.17M,1353769.736K,0.38%
2012년 09월 27일,"1,988.70",693.72M,1379600.964K,0.42%
2012년 09월 26일,"1,980.44",1.21B,#VALUE!,-0.55%
2012년 09월 25일,"1,991.41",528.99M,1053435.976K,-0.60%
2012년 09월 24일,"2,003.44",482.97M,967601.4168K,0.05%
2012년 09월 21일,"2,002.37",649.20M,1299938.604K,0.60%
2012년 09월 20일,"1,990.33",618.39M,1230800.169K,-0.87%
2012년 09월 19일,"2,007.88",959.92M,1927404.17K,0.15%
2012년 09월 18일,"2,004.96",855.27M,1714782.139K,0.13%
2012년 09월 17일,"2,002.35",881.69M,1765451.972K,-0.26%
2012년 09월 14일,"2,007.58",1.02B,#VALUE!,2.92%
2012년 09월 13일,"1,950.69",983.08M,1917684.325K,0.03%
2012년 09월 12일,"1,950.03",708.40M,1381401.252K,1.56%
2012년 09월 11일,"1,920.00",718.73M,1379961.6K,-0.24%
2012년 09월 10일,"1,924.70",620.84M,1194930.748K,-0.25%
2012년 09월 07일,"1,929.58",597.68M,1153271.374K,2.57%
2012년 09월 06일,"1,881.24",752.89M,1416366.784K,0.38%
2012년 09월 05일,"1,874.03",624.14M,1169657.084K,-1.74%
2012년 09월 04일,"1,907.13",881.54M,1681211.38K,-0.29%
2012년 09월 03일,"1,912.71",597.14M,1142155.649K,0.40%
2012년 08월 31일,"1,905.12",659.11M,1255683.643K,-0.07%
2012년 08월 30일,"1,906.38",747.76M,1425514.709K,-1.15%
2012년 08월 29일,"1,928.54",592.39M,1142447.811K,0.64%
2012년 08월 28일,"1,916.33",611.92M,1172640.654K,-0.08%
2012년 08월 27일,"1,917.87",572.93M,1098805.259K,-0.10%
2012년 08월 24일,"1,919.81",631.35M,1212072.044K,-1.17%
2012년 08월 23일,"1,942.54",604.39M,1174051.751K,0.38%
2012년 08월 22일,"1,935.19",422.80M,818198.332K,-0.41%
2012년 08월 21일,"1,943.22",407.53M,791920.4466K,-0.16%
2012년 08월 20일,"1,946.31",357.94M,696662.2014K,-0.01%
2012년 08월 17일,"1,946.54",372.45M,724988.823K,-0.58%
2012년 08월 16일,"1,957.91",430.51M,842899.8341K,0.05%
2012년 08월 14일,"1,956.96",341.11M,667538.6256K,1.27%
2012년 08월 13일,"1,932.44",352.65M,681474.966K,-0.72%
2012년 08월 10일,"1,946.40",326.53M,635557.992K,0.30%
2012년 08월 09일,"1,940.59",495.27M,961116.0093K,1.96%
2012년 08월 08일,"1,903.23",485.57M,924151.3911K,0.87%
2012년 08월 07일,"1,886.80",325.27M,613719.436K,0.05%
2012년 08월 06일,"1,885.88",245.57M,463115.5516K,2.01%
2012년 08월 03일,"1,848.68",257.94M,476848.5192K,-1.11%
2012년 08월 02일,"1,869.40",270.46M,505597.924K,-0.56%
2012년 08월 01일,"1,879.93",291.30M,547623.609K,-0.11%
2012년 07월 31일,"1,881.99",359.15M,675916.7085K,2.07%
2012년 07월 30일,"1,843.79",337.20M,621725.988K,0.80%
2012년 07월 27일,"1,829.16",397.61M,727292.3076K,2.62%
2012년 07월 26일,"1,782.47",409.56M,730028.4132K,0.74%
2012년 07월 25일,"1,769.31",468.02M,828072.4662K,-1.37%
2012년 07월 24일,"1,793.93",490.62M,880137.9366K,0.25%
2012년 07월 23일,"1,789.44",502.13M,898531.5072K,-1.84%
2012년 07월 20일,"1,822.93",412.10M,751229.453K,0.00%
2012년 07월 19일,"1,822.96",488.68M,890844.0928K,1.56%
2012년 07월 18일,"1,794.91",454.66M,816073.7806K,-1.48%
2012년 07월 17일,"1,821.96",412.61M,751758.9156K,0.23%
2012년 07월 16일,"1,817.79",268.35M,487803.9465K,0.27%
2012년 07월 13일,"1,812.89",348.54M,631864.6806K,1.54%
2012년 07월 12일,"1,785.39",320.83M,572806.6737K,-2.24%
2012년 07월 11일,"1,826.39",336.69M,614927.2491K,-0.17%
2012년 07월 10일,"1,829.45",368.86M,674810.927K,-0.36%
2012년 07월 09일,"1,836.13",282.04M,517862.1052K,-1.19%
2012년 07월 06일,"1,858.20",340.65M,632995.83K,-0.92%
2012년 07월 05일,"1,875.49",324.18M,607996.3482K,0.06%
2012년 07월 04일,"1,874.45",336.14M,630077.623K,0.35%
2012년 07월 03일,"1,867.82",348.20M,650374.924K,0.87%
2012년 07월 02일,"1,851.65",273.63M,506666.9895K,-0.13%
2012년 06월 29일,"1,854.01",320.63M,594451.2263K,1.91%
2012년 06월 28일,"1,819.18",309.66M,563327.2788K,0.08%
2012년 06월 27일,"1,817.65",319.48M,580702.822K,-0.01%
2012년 06월 26일,"1,817.81",313.27M,569465.3387K,-0.41%
2012년 06월 25일,"1,825.38",291.24M,531623.6712K,-1.19%
2012년 06월 22일,"1,847.39",300.71M,555528.6469K,-2.21%
2012년 06월 21일,"1,889.15",390.17M,737089.6555K,-0.79%
2012년 06월 20일,"1,904.12",367.74M,700221.0888K,0.65%
2012년 06월 19일,"1,891.77",380.91M,720594.1107K,0.00%
2012년 06월 18일,"1,891.71",376.28M,711812.6388K,1.81%
2012년 06월 15일,"1,858.16",452.51M,840835.9816K,-0.71%
2012년 06월 14일,"1,871.48",426.64M,798448.2272K,0.65%
2012년 06월 13일,"1,859.32",558.26M,1037983.983K,0.25%
2012년 06월 12일,"1,854.74",421.37M,781531.7938K,-0.66%
2012년 06월 11일,"1,867.04",382.22M,713620.0288K,1.71%
2012년 06월 08일,"1,835.64",379.83M,697231.1412K,-0.67%
2012년 06월 07일,"1,847.95",403.44M,745536.948K,2.56%
2012년 06월 05일,"1,801.85",338.83M,610520.8355K,1.05%
2012년 06월 04일,"1,783.13",395.06M,704443.3378K,-2.80%
2012년 06월 01일,"1,834.51",334.42M,613496.8342K,-0.49%
2012년 05월 31일,"1,843.47",447.95M,825782.3865K,-0.08%
2012년 05월 30일,"1,844.86",417.04M,769380.4144K,-0.27%
2012년 05월 29일,"1,849.91",328.00M,606770.48K,1.41%
2012년 05월 25일,"1,824.17",386.49M,705023.4633K,0.53%
2012년 05월 24일,"1,814.47",407.90M,740122.313K,0.32%
2012년 05월 23일,"1,808.62",447.56M,809465.9672K,-1.10%
2012년 05월 22일,"1,828.69",428.37M,783355.9353K,1.64%
2012년 05월 21일,"1,799.13",414.13M,745073.7069K,0.94%
2012년 05월 18일,"1,782.46",547.77M,976378.1142K,-3.40%
2012년 05월 17일,"1,845.24",444.29M,819821.6796K,0.26%
2012년 05월 16일,"1,840.53",426.18M,784397.0754K,-3.08%
2012년 05월 15일,"1,898.96",524.60M,996194.416K,-0.77%
2012년 05월 14일,"1,913.73",399.00M,763578.27K,-0.18%
2012년 05월 11일,"1,917.13",535.93M,1027447.481K,-1.43%
2012년 05월 10일,"1,944.93",425.06M,826711.9458K,-0.27%
2012년 05월 09일,"1,950.29",468.02M,912774.7258K,-0.85%
2012년 05월 08일,"1,967.01",492.69M,969126.1569K,0.54%
2012년 05월 07일,"1,956.44",533.66M,1044073.77K,-1.64%
2012년 05월 04일,"1,989.15",608.82M,1211034.303K,-0.30%
2012년 05월 03일,"1,995.11",685.81M,1368266.389K,-0.20%
2012년 05월 02일,"1,999.07",653.04M,1305472.673K,0.86%
2012년 04월 30일,"1,981.99",837.87M,1660649.961K,0.34%
2012년 04월 27일,"1,975.35",484.70M,957452.145K,0.58%
2012년 04월 26일,"1,964.04",607.42M,1192997.177K,0.10%
2012년 04월 25일,"1,961.98",681.75M,1337579.865K,-0.07%
2012년 04월 24일,"1,963.42",630.80M,1238525.336K,-0.47%
2012년 04월 23일,"1,972.63",585.16M,1154304.171K,-0.10%
2012년 04월 20일,"1,974.65",518.73M,1024310.195K,-1.26%
2012년 04월 19일,"1,999.86",412.12M,824182.3032K,-0.23%
2012년 04월 18일,"2,004.53",382.94M,767614.7182K,0.97%
2012년 04월 17일,"1,985.30",445.68M,884808.504K,-0.37%
2012년 04월 16일,"1,992.63",452.52M,901704.9276K,-0.81%
2012년 04월 13일,"2,008.91",495.29M,994993.0339K,1.12%
2012년 04월 12일,"1,986.63",391.51M,777785.5113K,-0.39%
2012년 04월 10일,"1,994.41",543.74M,1084440.493K,-0.13%
2012년 04월 09일,"1,997.08",466.75M,932137.09K,-1.57%
2012년 04월 06일,"2,029.03",536.31M,1088189.079K,0.01%
2012년 04월 05일,"2,028.77",549.31M,1114423.649K,0.50%
2012년 04월 04일,"2,018.61",621.54M,1254646.859K,-1.50%
2012년 04월 03일,"2,049.28",593.28M,1215796.838K,0.99%
2012년 04월 02일,"2,029.29",409.92M,831846.5568K,0.76%
2012년 03월 30일,"2,014.04",449.87M,906056.1748K,-0.02%
2012년 03월 29일,"2,014.41",470.32M,947417.3112K,-0.85%
2012년 03월 28일,"2,031.74",533.80M,1084542.812K,-0.39%
2012년 03월 27일,"2,039.76",606.41M,1236930.862K,1.02%
2012년 03월 26일,"2,019.19",436.98M,882345.6462K,-0.38%
2012년 03월 23일,"2,026.83",506.77M,1027136.639K,0.04%
2012년 03월 22일,"2,026.12",541.73M,1097609.988K,-0.05%
2012년 03월 21일,"2,027.23",517.07M,1048219.816K,-0.73%
2012년 03월 20일,"2,042.15",540.34M,1103455.331K,-0.24%
2012년 03월 19일,"2,047.00",555.80M,1137722.6K,0.62%
2012년 03월 16일,"2,034.44",464.24M,944468.4256K,-0.46%
2012년 03월 15일,"2,043.76",476.10M,973034.136K,-0.06%
2012년 03월 14일,"2,045.08",541.11M,1106613.239K,0.99%
2012년 03월 13일,"2,025.04",448.92M,909080.9568K,1.13%
2012년 03월 12일,"2,002.50",375.48M,751898.7K,-0.78%
2012년 03월 09일,"2,018.30",416.40M,840420.12K,0.88%
2012년 03월 08일,"2,000.76",456.09M,912526.6284K,0.94%
2012년 03월 07일,"1,982.15",511.29M,1013453.474K,-0.91%
2012년 03월 06일,"2,000.36",554.73M,1109659.703K,-0.78%
2012년 03월 05일,"2,016.06",548.01M,1104821.041K,-0.91%
2012년 03월 02일,"2,034.63",483.19M,983112.8697K,0.22%
2012년 02월 29일,"2,030.25",562.64M,1142299.86K,1.33%
2012년 02월 28일,"2,003.69",607.93M,1218103.262K,0.63%
2012년 02월 27일,"1,991.16",636.01M,1266397.672K,-1.42%
2012년 02월 24일,"2,019.89",717.91M,1450099.23K,0.60%
2012년 02월 23일,"2,007.80",690.12M,1385622.936K,-1.03%
2012년 02월 22일,"2,028.65",883.74M,1792799.151K,0.22%
2012년 02월 21일,"2,024.24",709.02M,1435226.645K,-0.03%
2012년 02월 20일,"2,024.90",733.92M,1486114.608K,0.07%
2012년 02월 17일,"2,023.47",731.09M,1479338.682K,1.30%
2012년 02월 16일,"1,997.45",696.69M,1391603.441K,-1.38%
2012년 02월 15일,"2,025.32",681.47M,1380194.82K,1.13%
2012년 02월 14일,"2,002.64",515.88M,1033121.923K,-0.15%
2012년 02월 13일,"2,005.74",452.79M,908179.0146K,0.60%
2012년 02월 10일,"1,993.71",696.74M,1389097.505K,-1.04%
2012년 02월 09일,"2,014.62",557.64M,1123432.697K,0.54%
2012년 02월 08일,"2,003.73",587.91M,1178012.904K,1.12%
2012년 02월 07일,"1,981.59",539.41M,1068889.462K,0.43%
2012년 02월 06일,"1,973.13",523.22M,1032381.079K,0.04%
2012년 02월 03일,"1,972.34",535.88M,1056937.559K,-0.60%
2012년 02월 02일,"1,984.30",641.05M,1272035.515K,1.28%
2012년 02월 01일,"1,959.24",501.06M,981696.7944K,0.18%
2012년 01월 31일,"1,955.79",469.19M,917637.1101K,0.79%
2012년 01월 30일,"1,940.55",411.70M,798924.435K,-1.24%
2012년 01월 27일,"1,964.83",448.92M,882051.4836K,0.39%
2012년 01월 26일,"1,957.18",408.02M,798568.5836K,0.25%
2012년 01월 25일,"1,952.23",375.93M,733901.8239K,0.12%
2012년 01월 20일,"1,949.89",404.78M,789276.4742K,1.82%
2012년 01월 19일,"1,914.97",374.37M,716907.3189K,1.19%
2012년 01월 18일,"1,892.39",428.00M,809942.92K,-0.02%
2012년 01월 17일,"1,892.74",431.99M,817644.7526K,1.80%
2012년 01월 16일,"1,859.27",391.92M,728685.0984K,-0.87%
2012년 01월 13일,"1,875.68",475.03M,891004.2704K,0.60%
2012년 01월 12일,"1,864.57",476.34M,888169.2738K,1.03%
2012년 01월 11일,"1,845.55",447.96M,826732.578K,-0.41%
2012년 01월 10일,"1,853.22",388.64M,720235.4208K,1.46%
2012년 01월 09일,"1,826.49",395.51M,722395.0599K,-0.90%
2012년 01월 06일,"1,843.14",472.68M,871215.4152K,-1.11%
2012년 01월 05일,"1,863.74",533.77M,994808.4998K,-0.13%
2012년 01월 04일,"1,866.22",494.50M,922845.79K,-0.49%
2012년 01월 03일,"1,875.41",443.47M,831688.0727K,2.69%
2012년 01월 02일,"1,826.37",323.36M,590575.0032K,0.03%
2011년 12월 29일,"1,825.74",344.65M,629241.291K,0.03%
2011년 12월 28일,"1,825.12",378.66M,691099.9392K,-0.92%
2011년 12월 27일,"1,842.02",529.92M,976123.2384K,-0.79%
2011년 12월 26일,"1,856.70",434.74M,807181.758K,-0.56%
2011년 12월 23일,"1,867.22",466.33M,870740.7026K,1.07%
2011년 12월 22일,"1,847.49",406.42M,750856.8858K,-0.05%
2011년 12월 21일,"1,848.41",516.91M,955461.6131K,3.09%
2011년 12월 20일,"1,793.06",389.77M,698880.9962K,0.91%
2011년 12월 19일,"1,776.93",684.31M,1215970.968K,-3.43%
2011년 12월 16일,"1,839.96",489.95M,901488.402K,1.15%
2011년 12월 15일,"1,819.11",409.62M,745143.8382K,-2.08%
2011년 12월 14일,"1,857.75",401.93M,746685.4575K,-0.34%
2011년 12월 13일,"1,864.06",450.08M,838976.1248K,-1.88%
2011년 12월 12일,"1,899.76",409.62M,778179.6912K,1.33%
2011년 12월 09일,"1,874.75",372.81M,698925.5475K,-1.97%
2011년 12월 08일,"1,912.39",426.92M,816437.5388K,-0.37%
2011년 12월 07일,"1,919.42",402.80M,773142.376K,0.87%
2011년 12월 06일,"1,902.82",383.43M,729598.2726K,-1.04%
2011년 12월 05일,"1,922.90",330.24M,635018.496K,0.36%
2011년 12월 02일,"1,916.04",389.33M,745971.8532K,-0.01%
2011년 12월 01일,"1,916.18",500.46M,958971.4428K,3.72%
2011년 11월 30일,"1,847.51",334.55M,618084.4705K,-0.49%
2011년 11월 29일,"1,856.52",329.52M,611760.4704K,2.27%
2011년 11월 28일,"1,815.28",277.68M,504066.9504K,2.19%
2011년 11월 25일,"1,776.40",306.41M,544306.724K,-1.04%
2011년 11월 24일,"1,795.06",280.37M,503280.9722K,0.67%
2011년 11월 23일,"1,783.10",411.24M,733282.044K,-2.36%
2011년 11월 22일,"1,826.28",271.10M,495104.508K,0.34%
2011년 11월 21일,"1,820.03",299.74M,545535.7922K,-1.04%
2011년 11월 18일,"1,839.17",337.05M,619892.2485K,-2.00%
2011년 11월 17일,"1,876.67",353.14M,662727.2438K,1.11%
2011년 11월 16일,"1,856.07",407.76M,756831.1032K,-1.59%
2011년 11월 15일,"1,886.12",361.43M,681700.3516K,-0.88%
2011년 11월 14일,"1,902.81",327.27M,622732.6287K,2.11%
2011년 11월 11일,"1,863.45",296.91M,553276.9395K,2.77%
2011년 11월 10일,"1,813.25",401.93M,728799.5725K,-4.94%
2011년 11월 09일,"1,907.53",434.62M,829050.6886K,0.23%
2011년 11월 08일,"1,903.14",403.21M,767365.0794K,-0.83%
2011년 11월 07일,"1,919.10",349.70M,671109.27K,-0.48%
2011년 11월 04일,"1,928.41",466.60M,899796.106K,3.13%
2011년 11월 03일,"1,869.96",436.42M,816087.9432K,-1.48%
2011년 11월 02일,"1,898.01",389.59M,739445.7159K,-0.61%
2011년 11월 01일,"1,909.63",353.63M,675302.4569K,0.03%
2011년 10월 31일,"1,909.03",393.70M,751585.111K,-1.06%
2011년 10월 28일,"1,929.48",508.76M,981642.2448K,0.39%
2011년 10월 27일,"1,922.04",418.28M,803950.8912K,1.46%
2011년 10월 26일,"1,894.31",384.79M,728911.5449K,0.30%
2011년 10월 25일,"1,888.65",354.77M,670036.3605K,-0.51%
2011년 10월 24일,"1,898.32",373.90M,709781.848K,3.26%
2011년 10월 21일,"1,838.38",355.18M,652955.8084K,1.84%
2011년 10월 20일,"1,805.09",349.12M,630193.0208K,-2.74%
2011년 10월 19일,"1,855.92",340.01M,631031.3592K,0.93%
2011년 10월 18일,"1,838.90",323.46M,594810.594K,-1.41%
2011년 10월 17일,"1,865.18",367.74M,685901.2932K,1.62%
2011년 10월 14일,"1,835.40",349.01M,640572.954K,0.67%
2011년 10월 13일,"1,823.10",431.55M,786758.805K,0.75%
2011년 10월 12일,"1,809.50",355.35M,643005.825K,0.81%
2011년 10월 11일,"1,795.02",399.98M,717972.0996K,1.62%
2011년 10월 10일,"1,766.44",274.64M,485135.0816K,0.38%
2011년 10월 07일,"1,759.77",334.73M,589047.8121K,2.89%
2011년 10월 06일,"1,710.32",352.62M,603093.0384K,2.63%
2011년 10월 05일,"1,666.52",336.30M,560450.676K,-2.33%
2011년 10월 04일,"1,706.19",301.54M,514484.5326K,-3.59%
2011년 09월 30일,"1,769.65",354.16M,626739.244K,0.02%
2011년 09월 29일,"1,769.29",373.92M,661572.9168K,2.68%
2011년 09월 28일,"1,723.09",344.43M,593483.8887K,-0.73%
2011년 09월 27일,"1,735.71",339.82M,589828.9722K,5.02%
2011년 09월 26일,"1,652.71",424.26M,701178.7446K,-2.64%
2011년 09월 23일,"1,697.44",411.84M,699073.6896K,-5.73%
2011년 09월 22일,"1,800.55",295.39M,531864.4645K,-2.90%
2011년 09월 21일,"1,854.28",297.58M,551796.6424K,0.89%
2011년 09월 20일,"1,837.97",321.24M,590429.4828K,0.94%
2011년 09월 19일,"1,820.94",335.58M,611071.0452K,-1.04%
2011년 09월 16일,"1,840.10",430.07M,791371.807K,3.72%
2011년 09월 15일,"1,774.08",392.10M,695616.768K,1.42%
2011년 09월 14일,"1,749.16",339.70M,594189.652K,-3.52%
2011년 09월 09일,"1,812.93",331.92M,601747.7256K,-1.83%
2011년 09월 08일,"1,846.64",416.66M,769421.0224K,0.72%
2011년 09월 07일,"1,833.46",417.89M,766184.5994K,3.78%
2011년 09월 06일,"1,766.71",505.30M,892718.563K,-1.07%
2011년 09월 05일,"1,785.83",414.04M,739405.0532K,-4.39%
2011년 09월 02일,"1,867.75",442.56M,826591.44K,-0.69%
2011년 09월 01일,"1,880.70",500.40M,941102.28K,0.03%
2011년 08월 31일,"1,880.11",410.35M,771503.1385K,1.97%
2011년 08월 30일,"1,843.82",493.17M,909316.7094K,0.78%
2011년 08월 29일,"1,829.50",339.10M,620383.45K,2.84%
2011년 08월 26일,"1,778.95",310.99M,553235.6605K,0.81%
2011년 08월 25일,"1,764.58",398.18M,702620.4644K,0.56%
2011년 08월 24일,"1,754.78",412.56M,723952.0368K,-1.23%
2011년 08월 23일,"1,776.68",428.46M,761236.3128K,3.86%
2011년 08월 22일,"1,710.70",420.27M,718955.889K,-1.96%
2011년 08월 19일,"1,744.88",503.84M,879140.3392K,-6.22%
2011년 08월 18일,"1,860.58",503.35M,936522.943K,-1.70%
2011년 08월 17일,"1,892.67",430.98M,815702.9166K,0.68%
2011년 08월 16일,"1,879.87",423.45M,796030.9515K,4.83%
2011년 08월 12일,"1,793.31",468.85M,840793.3935K,-1.33%
2011년 08월 11일,"1,817.44",438.90M,797674.416K,0.62%
2011년 08월 10일,"1,806.24",486.31M,878392.5744K,0.27%
2011년 08월 09일,"1,801.35",684.99M,1233906.737K,-3.64%
2011년 08월 08일,"1,869.45",571.11M,1067661.59K,-3.82%
2011년 08월 05일,"1,943.75",480.97M,934885.4375K,-3.70%
2011년 08월 04일,"2,018.47",356.39M,719362.5233K,-2.31%
2011년 08월 03일,"2,066.26",434.48M,897748.6448K,-2.59%
2011년 08월 02일,"2,121.27",350.31M,743102.0937K,-2.35%
2011년 08월 01일,"2,172.31",262.85M,570991.6835K,1.83%
