,종가,거래량,거래대금,변동 %
2019년 07월 03일,"2,096.02",522.71M,1095610.614K,-1.23%
2019년 07월 02일,"2,122.02",460.83M,977890.4766K,-0.36%
2019년 07월 01일,"2,129.74",412.29M,878070.5046K,-0.04%
2019년 06월 28일,"2,130.62",537.27M,1144718.207K,-0.17%
2019년 06월 27일,"2,134.32",644.90M,1376422.968K,0.59%
2019년 06월 26일,"2,121.85",736.85M,1563485.173K,0.01%
2019년 06월 25일,"2,121.64",643.00M,1364214.52K,-0.22%
2019년 06월 24일,"2,126.33",669.64M,1423875.621K,0.03%
2019년 06월 21일,"2,125.62",692.03M,1470992.809K,-0.27%
2019년 06월 20일,"2,131.29",1.01B,#VALUE!,0.31%
2019년 06월 19일,"2,124.78",862.98M,1833642.644K,1.24%
2019년 06월 18일,"2,098.71",600.96M,1261240.762K,0.38%
2019년 06월 17일,"2,090.73",561.55M,1174049.432K,-0.22%
2019년 06월 14일,"2,095.41",473.37M,991904.2317K,-0.37%
2019년 06월 13일,"2,103.15",553.39M,1163862.179K,-0.27%
2019년 06월 12일,"2,108.75",693.51M,1462439.213K,-0.14%
2019년 06월 11일,"2,111.81",550.74M,1163058.239K,0.59%
2019년 06월 10일,"2,099.49",457.64M,960810.6036K,1.31%
2019년 06월 07일,"2,072.33",368.39M,763425.6487K,0.16%
2019년 06월 05일,"2,069.11",380.16M,786592.8576K,0.10%
2019년 06월 04일,"2,066.97",435.99M,901178.2503K,-0.04%
2019년 06월 03일,"2,067.85",387.14M,800547.449K,1.28%
2019년 05월 31일,"2,041.74",439.18M,896691.3732K,0.14%
2019년 05월 30일,"2,038.80",461.85M,941619.78K,0.77%
2019년 05월 29일,"2,023.32",380.89M,770662.3548K,-1.25%
2019년 05월 28일,"2,048.83",494.48M,1013105.458K,0.23%
2019년 05월 27일,"2,044.21",351.62M,718785.1202K,-0.05%
2019년 05월 24일,"2,045.31",480.65M,983078.2515K,-0.69%
2019년 05월 23일,"2,059.59",509.27M,1048887.399K,-0.26%
2019년 05월 22일,"2,064.86",509.97M,1053016.654K,0.18%
2019년 05월 21일,"2,061.25",526.86M,1085990.175K,0.27%
2019년 05월 20일,"2,055.71",640.20M,1316065.542K,0.00%
2019년 05월 17일,"2,055.80",537.38M,1104745.804K,-0.58%
2019년 05월 16일,"2,067.69",745.16M,1540759.88K,-1.20%
2019년 05월 15일,"2,092.78",577.79M,1209187.356K,0.53%
2019년 05월 14일,"2,081.84",696.20M,1449377.008K,0.14%
2019년 05월 13일,"2,079.01",505.75M,1051459.308K,-1.38%
2019년 05월 10일,"2,108.04",714.77M,1506763.751K,0.29%
2019년 05월 09일,"2,102.01",743.51M,1562865.455K,-3.04%
2019년 05월 08일,"2,168.01",456.33M,989328.0033K,-0.41%
2019년 05월 07일,"2,176.99",484.10M,1053880.859K,-0.88%
2019년 05월 03일,"2,196.32",617.88M,1357062.202K,-0.74%
2019년 05월 02일,"2,212.75",369.06M,816637.515K,0.42%
2019년 04월 30일,"2,203.59",381.41M,840471.2619K,-0.58%
2019년 04월 29일,"2,216.43",380.82M,844060.8726K,1.70%
2019년 04월 26일,"2,179.31",570.17M,1242577.183K,-0.51%
2019년 04월 25일,"2,190.50",441.14M,966317.17K,-0.48%
