기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.1/4	종로구	숭인1동	2,991	6,658	3,271	3,387	6,321	3,119	3,202	337	152	185	2.11	1,157
2019.1/4	종로구	숭인2동	5,744	10,070	5,074	4,996	9,597	4,899	4,698	473	175	298	1.67	1,607
2019.1/4	종로구	청운효자동	5,405	13,225	6,214	7,011	12,979	6,069	6,910	246	145	101	2.4	2,188
2019.1/4	종로구	혜화동	9,257	20,322	9,314	11,008	17,068	8,215	8,853	3,254	1,099	2,155	1.84	2,553
2019.1/4	중구	소계	61,800	135,836	66,720	69,116	125,942	61,992	63,950	9,894	4,728	5,166	2.04	22,421
2019.1/4	중구	소공동	1,107	2,994	1,530	1,464	2,069	1,004	1,065	925	526	399	1.87	276
2019.1/4	중구	회현동	3,263	5,973	3,263	2,710	5,363	2,931	2,432	610	332	278	1.64	1,414
2019.1/4	중구	명동	1,400	3,412	1,507	1,905	2,794	1,172	1,622	618	335	283	2	709
2019.1/4	중구	필동	2,318	5,022	2,540	2,482	4,053	2,114	1,939	969	426	543	1.75	806
2019.1/4	중구	장충동	2,678	5,628	2,765	2,863	4,730	2,407	2,323	898	358	540	1.77	792
2019.1/4	중구	광희동	2,919	6,148	3,219	2,929	4,939	2,623	2,316	1,209	596	613	1.69	1,145
2019.1/4	중구	을지로동	1,292	1,932	1,175	757	1,756	1,081	675	176	94	82	1.36	458
2019.1/4	중구	신당5동	4,526	9,710	4,822	4,888	9,377	4,672	4,705	333	150	183	2.07	1,542
2019.1/4	중구	황학동	6,649	13,547	6,564	6,983	12,544	6,104	6,440	1,003	460	543	1.89	1,841
2019.1/4	중구	중림동	5,853	13,079	6,548	6,531	12,762	6,376	6,386	317	172	145	2.18	1,950
2019.1/4	중구	신당동	4,423	9,395	4,621	4,774	7,673	3,845	3,828	1,722	776	946	1.73	1,328
2019.1/4	중구	다산동	6,947	15,135	7,316	7,819	14,608	7,101	7,507	527	215	312	2.1	2,474
2019.1/4	중구	약수동	7,794	17,904	8,440	9,464	17,693	8,331	9,362	211	109	102	2.27	3,456
2019.1/4	중구	청구동	6,433	14,743	7,013	7,730	14,543	6,915	7,628	200	98	102	2.26	2,521
