기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1992	서울특별시	7월	여자	91,482	94,141	68,935	…	…	…	22,547	25,206	-2,659
1992	서울특별시	8월	합계	150,778	161,154	108,206	…	…	…	42,572	52,948	-10,376
1992	서울특별시	8월	남자	75,384	80,894	53,877	…	…	…	21,507	27,017	-5,510
1992	서울특별시	8월	여자	75,394	80,260	54,329	…	…	…	21,065	25,931	-4,866
1992	서울특별시	9월	합계	160,872	175,319	117,663	…	…	…	43,209	57,656	-14,447
1992	서울특별시	9월	남자	80,951	88,472	58,961	…	…	…	21,990	29,511	-7,521
1992	서울특별시	9월	여자	79,921	86,847	58,702	…	…	…	21,219	28,145	-6,926
1992	서울특별시	10월	합계	221,304	242,464	168,930	…	…	…	52,374	73,534	-21,160
1992	서울특별시	10월	남자	111,757	122,394	84,665	…	…	…	27,092	37,729	-10,637
1992	서울특별시	10월	여자	109,547	120,070	84,265	…	…	…	25,282	35,805	-10,523
1992	서울특별시	11월	합계	280,849	300,962	219,250	…	…	…	61,599	81,712	-20,113
1992	서울특별시	11월	남자	140,829	151,646	109,862	…	…	…	30,967	41,784	-10,817
1992	서울특별시	11월	여자	140,020	149,316	109,388	…	…	…	30,632	39,928	-9,296
1992	서울특별시	12월	합계	178,909	184,722	131,020	…	…	…	47,889	53,702	-5,813
1992	서울특별시	12월	남자	87,036	90,723	63,939	…	…	…	23,097	26,784	-3,687
1992	서울특별시	12월	여자	91,873	93,999	67,081	…	…	…	24,792	26,918	-2,126
1993	서울특별시	합계	합계	2,259,333	2,441,965	1,648,211	…	…	…	611,122	793,754	-182,632
1993	서울특별시	합계	남자	1,138,264	1,232,608	828,642	…	…	…	309,622	403,966	-94,344
1993	서울특별시	합계	여자	1,121,069	1,209,357	819,569	…	…	…	301,500	389,788	-88,288
1993	서울특별시	1월	합계	129,614	135,097	90,215	…	…	…	39,399	44,882	-5,483
1993	서울특별시	1월	남자	64,789	68,004	45,098	…	…	…	19,691	22,906	-3,215
1993	서울특별시	1월	여자	64,825	67,093	45,117	…	…	…	19,708	21,976	-2,268
1993	서울특별시	2월	합계	175,991	183,588	119,047	…	…	…	56,944	64,541	-7,597
1993	서울특별시	2월	남자	88,462	92,243	59,448	…	…	…	29,014	32,795	-3,781
1993	서울특별시	2월	여자	87,529	91,345	59,599	…	…	…	27,930	31,746	-3,816
1993	서울특별시	3월	합계	251,797	280,734	187,124	…	…	…	64,673	93,610	-28,937
1993	서울특별시	3월	남자	127,289	142,259	94,355	…	…	…	32,934	47,904	-14,970
1993	서울특별시	3월	여자	124,508	138,475	92,769	…	…	…	31,739	45,706	-13,967
1993	서울특별시	4월	합계	243,935	268,539	183,774	…	…	…	60,161	84,765	-24,604
1993	서울특별시	4월	남자	124,167	136,096	92,991	…	…	…	31,176	43,105	-11,929
1993	서울특별시	4월	여자	119,768	132,443	90,783	…	…	…	28,985	41,660	-12,675
1993	서울특별시	5월	합계	214,766	229,954	160,397	…	…	…	54,369	69,557	-15,188
1993	서울특별시	5월	남자	108,383	115,984	80,632	…	…	…	27,751	35,352	-7,601
1993	서울특별시	5월	여자	106,383	113,970	79,765	…	…	…	26,618	34,205	-7,587
1993	서울특별시	6월	합계	200,539	215,843	148,070	…	…	…	52,469	67,773	-15,304
1993	서울특별시	6월	남자	100,606	108,721	74,324	…	…	…	26,282	34,397	-8,115
1993	서울특별시	6월	여자	99,933	107,122	73,746	…	…	…	26,187	33,376	-7,189
1993	서울특별시	7월	합계	168,868	184,024	122,875	…	…	…	45,993	61,149	-15,156
1993	서울특별시	7월	남자	85,142	93,050	61,857	…	…	…	23,285	31,193	-7,908
1993	서울특별시	7월	여자	83,726	90,974	61,018	…	…	…	22,708	29,956	-7,248
1993	서울특별시	8월	합계	156,211	170,230	110,306	…	…	…	45,905	59,924	-14,019
1993	서울특별시	8월	남자	78,269	85,734	55,214	…	…	…	23,055	30,520	-7,465
1993	서울특별시	8월	여자	77,942	84,496	55,092	…	…	…	22,850	29,404	-6,554
1993	서울특별시	9월	합계	167,237	183,760	123,003	…	…	…	44,234	60,757	-16,523
1993	서울특별시	9월	남자	84,101	92,649	61,923	…	…	…	22,178	30,726	-8,548
1993	서울특별시	9월	여자	83,136	91,111	61,080	…	…	…	22,056	30,031	-7,975
1993	서울특별시	10월	합계	175,724	186,514	128,739	…	…	…	46,985	57,775	-10,790
1993	서울특별시	10월	남자	89,353	94,768	65,125	…	…	…	24,228	29,643	-5,415
1993	서울특별시	10월	여자	86,371	91,746	63,614	…	…	…	22,757	28,132	-5,375
1993	서울특별시	11월	합계	203,333	218,365	151,279	…	…	…	52,054	67,086	-15,032
