기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2005	중구	합계	합계	24,481	26,563	16,963	4,531	12,432	14,641	7,518	7,391	-2,082
2005	중구	합계	남자	12,592	13,522	8,701	2,310	6,391	7,371	3,891	3,841	-930
2005	중구	합계	여자	11,889	13,041	8,262	2,221	6,041	7,270	3,627	3,550	-1,152
2005	중구	1월	합계	1,610	1,665	1,029	219	810	948	581	498	-55
2005	중구	1월	남자	835	839	543	118	425	462	292	259	-4
2005	중구	1월	여자	775	826	486	101	385	486	289	239	-51
2005	중구	2월	합계	1,972	2,078	1,228	262	966	1,175	744	641	-106
2005	중구	2월	남자	1,029	1,071	647	155	492	570	382	346	-42
2005	중구	2월	여자	943	1,007	581	107	474	605	362	295	-64
2005	중구	3월	합계	2,487	2,655	1,697	486	1,211	1,430	790	739	-168
2005	중구	3월	남자	1,289	1,366	882	245	637	715	407	406	-77
2005	중구	3월	여자	1,198	1,289	815	241	574	715	383	333	-91
2005	중구	4월	합계	2,207	2,310	1,542	404	1,138	1,272	665	634	-103
2005	중구	4월	남자	1,172	1,170	803	203	600	638	369	329	2
2005	중구	4월	여자	1,035	1,140	739	201	538	634	296	305	-105
2005	중구	5월	합계	2,050	2,419	1,478	418	1,060	1,403	572	598	-369
2005	중구	5월	남자	1,064	1,248	776	218	558	720	288	310	-184
2005	중구	5월	여자	986	1,171	702	200	502	683	284	288	-185
2005	중구	6월	합계	2,015	2,228	1,483	394	1,089	1,270	532	564	-213
2005	중구	6월	남자	1,030	1,110	752	201	551	619	278	290	-80
2005	중구	6월	여자	985	1,118	731	193	538	651	254	274	-133
2005	중구	7월	합계	1,848	2,065	1,307	342	965	1,174	541	549	-217
2005	중구	7월	남자	942	1,065	653	169	484	608	289	288	-123
2005	중구	7월	여자	906	1,000	654	173	481	566	252	261	-94
2005	중구	8월	합계	2,133	2,315	1,447	406	1,041	1,252	686	657	-182
2005	중구	8월	남자	1,096	1,185	736	215	521	641	360	329	-89
2005	중구	8월	여자	1,037	1,130	711	191	520	611	326	328	-93
2005	중구	9월	합계	1,907	2,068	1,252	347	905	1,131	655	590	-161
2005	중구	9월	남자	990	1,038	639	171	468	572	351	295	-48
2005	중구	9월	여자	917	1,030	613	176	437	559	304	295	-113
2005	중구	10월	합계	2,132	2,164	1,548	387	1,161	1,227	584	550	-32
2005	중구	10월	남자	1,064	1,129	772	179	593	649	292	301	-65
2005	중구	10월	여자	1,068	1,035	776	208	568	578	292	249	33
2005	중구	11월	합계	2,061	2,357	1,453	430	1,023	1,272	608	655	-296
2005	중구	11월	남자	1,063	1,193	758	220	538	639	305	334	-130
2005	중구	11월	여자	998	1,164	695	210	485	633	303	321	-166
2005	중구	12월	합계	2,059	2,239	1,499	436	1,063	1,087	560	716	-180
2005	중구	12월	남자	1,018	1,108	740	216	524	538	278	354	-90
2005	중구	12월	여자	1,041	1,131	759	220	539	549	282	362	-90
2005	용산구	합계	합계	44,988	45,420	30,947	10,664	20,283	20,669	14,041	14,087	-432
2005	용산구	합계	남자	22,473	22,981	15,455	5,329	10,126	10,445	7,018	7,207	-508
2005	용산구	합계	여자	22,515	22,439	15,492	5,335	10,157	10,224	7,023	6,880	76
2005	용산구	1월	합계	2,775	2,791	1,694	513	1,181	1,265	1,081	1,013	-16
2005	용산구	1월	남자	1,405	1,422	868	260	608	639	537	523	-17
2005	용산구	1월	여자	1,370	1,369	826	253	573	626	544	490	1
2005	용산구	2월	합계	3,313	3,536	2,086	692	1,394	1,677	1,227	1,167	-223
2005	용산구	2월	남자	1,610	1,766	1,012	330	682	836	598	600	-156
2005	용산구	2월	여자	1,703	1,770	1,074	362	712	841	629	567	-67
2005	용산구	3월	합계	4,179	4,442	2,748	1,014	1,734	2,082	1,431	1,346	-263
2005	용산구	3월	남자	2,091	2,259	1,366	501	865	1,063	725	695	-168
2005	용산구	3월	여자	2,088	2,183	1,382	513	869	1,019	706	651	-95
2005	용산구	4월	합계	4,084	4,116	2,845	1,086	1,759	1,767	1,239	1,263	-32
2005	용산구	4월	남자	2,074	2,160	1,446	568	878	914	628	678	-86
