연번,시도,시군구,읍면동,우편번호,주    소
148,경상남도,밀양시,내일동행정복지센터,50431,경상남도 밀양시 중앙로 346
149,경상남도,밀양시,내이동행정복지센터,50423,경상남도 밀양시 중앙로 425-4
150,경상남도,밀양시,교동행정복지센터,50420,경상남도 밀양시 교동로 189
151,경상남도,밀양시,삼문동행정복지센터,50440,경상남도 밀양시 밀양대로 1764
152,경상남도,밀양시,가곡동행정복지센터,50442,경상남도 밀양시 가곡14길 4
153,경상남도,거제시,일운면사무소,53328,경상남도 거제시 일운면 지세포4길 7
154,경상남도,거제시,동부면사무소,53331,경상남도 거제시 동부면 동부로 16
155,경상남도,거제시,남부면사무소,53333,경상남도 거제시 남부면 남부해안로 30
156,경상남도,거제시,거제면사무소,53286,경상남도 거제시 거제면 서상길 1
157,경상남도,거제시,둔덕면사무소,53281,경상남도 거제시 둔덕면 거제남서로 4620
158,경상남도,거제시,사등면사무소,53276,경상남도 거제시 사등면 성포로 104
159,경상남도,거제시,연초면사무소,53212,경상남도 거제시 연초면 죽토로 11
160,경상남도,거제시,하청면사무소,53204,경상남도 거제시 하청면 하청로 12-7
161,경상남도,거제시,장목면사무소,53201,경상남도 거제시 장목면 장동1길 46-1
162,경상남도,거제시,장승포동주민센터,53320,경상남도 거제시 장승로 146-25
163,경상남도,거제시,능포동주민센터,53313,경상남도 거제시 능포로 182
164,경상남도,거제시,아주동주민센터,53304,경상남도 거제시 아주로3길 7
165,경상남도,거제시,옥포1동주민센터,53229,경상남도 거제시 옥포로2길 7
166,경상남도,거제시,옥포2동주민센터,53224,경상남도 거제시 옥포로25길 20
167,경상남도,거제시,장평동주민센터,53268,경상남도 거제시 장평3로 10
168,경상남도,거제시,고현동주민센터,53256,경상남도 거제시 거제중앙로13길 24
169,경상남도,거제시,상문동주민센터,53294,경상남도 거제시 거제중앙로 1641
170,경상남도,거제시,수양동주민센터,53241,경상남도 거제시 제산로5길 26
171,경상남도,양산시,물금읍행정복지센터,50656,경상남도 양산시 물금읍 황산로 384
172,경상남도,양산시,동면행정복지센터,50644,경상남도 양산시 동면 내송로 37
173,경상남도,양산시,원동면행정복지센터,50587,경상남도 양산시 원동면 원동마을길 36
174,경상남도,양산시,상북면행정복지센터,50558,경상남도 양산시 상북면 상북중앙로 398
175,경상남도,양산시,하북면행정복지센터,50503,경상남도 양산시 하북면 신평강변5길 12
176,경상남도,양산시,중앙동행정복지센터,50618,경상남도 양산시 북안남5길 21(북부동)
177,경상남도,양산시,양주동행정복지센터,50626,경상남도 양산시 양주로 130(중부동)
178,경상남도,양산시,삼성동행정복지센터,50574,경상남도 양산시 신기서길 27(신기동)
179,경상남도,양산시,강서동행정복지센터,50593,경상남도 양산시 교동1길 18(교동)
180,경상남도,양산시,서창동행정복지센터,50527,경상남도 양산시 서창로 194(삼호동)
181,경상남도,양산시,소주동행정복지센터,50514,경상남도 양산시 소주회야1길 5-26(소주동)
182,경상남도,양산시,평산동행정복지센터,50541,경상남도 양산시 평산로 71(평산동)
183,경상남도,양산시,덕계동행정복지센터,50554,경상남도 양산시 번영로 35(덕계동)
184,경상남도,의령군,의령읍행정복지센터,52140,경상남도 의령군 의령읍 의병로19길 15
185,경상남도,의령군,가례면사무소,52137,경상남도 의령군 가례면 새가례로 40
186,경상남도,의령군,칠곡면행정복지센터,52134,경상남도 의령군 칠곡면 칠곡로 33
187,경상남도,의령군,대의면사무소,52135,경상남도 의령군 대의면 대의로 42
188,경상남도,의령군,화정면사무소,52157,경상남도 의령군 화정면 화정로 294
189,경상남도,의령군,용덕면사무소,52127,경상남도 의령군 용덕면 용암로1길 4
190,경상남도,의령군,정곡면행정복지센터,52125,경상남도 의령군 정곡면 법정로 932-7
191,경상남도,의령군,지정면사무소,52117,경상남도 의령군 지정면 함의로5길 8
192,경상남도,의령군,낙서면사무소,52108,경상남도 의령군 낙서면 낙서로 509-3
193,경상남도,의령군,부림면행정복지센터,52104,경상남도 의령군 부림면 대한로 1761
194,경상남도,의령군,봉수면사무소,52111,경상남도 의령군 봉수면 대한로 1188
195,경상남도,의령군,궁류면사무소,52112,경상남도 의령군 궁류면 궁류로 124
196,경상남도,의령군,유곡면사무소,52113,경상남도 의령군 유곡면 마장로 10
197,경상남도,함안군,가야읍행정복지센터,52043,경상남도 함안군 가야읍 함안대로 505
198,경상남도,함안군,칠원읍사무소,52017,경상남도 함안군 칠원읍 원서로 4
199,경상남도,함안군,함안면사무소,52051,경상남도 함안군 함안면 성산로 15
200,경상남도,함안군,군북면사무소,52065,경상남도 함안군 군북면 지두2길 15
201,경상남도,함안군,법수면사무소,52056,경상남도 함안군 법수면 우거북길 16-3
202,경상남도,함안군,대산면사무소,52011,경상남도 함안군 대산면 대산중앙로 176
203,경상남도,함안군,칠서면사무소,52014,경상남도 함안군 칠서면 청계2길 35
204,경상남도,함안군,칠북면사무소,52006,경상남도 함안군 칠북면 칠북로 32
205,경상남도,함안군,산인면사무소,52049,경상남도 함안군 산인면 가야로 211
206,경상남도,함안군,여항면사무소,52073,경상남도 함안군 여항면 여항로 50
