,종가,오픈,고가,저가,거래량,변동 %,거래대금
2012년 08월 10일,"1,946.40","1,937.89","1,948.05","1,933.93",326.53M,0.30%,635557.992K
2012년 08월 09일,"1,940.59","1,907.13","1,947.08","1,907.13",495.27M,1.96%,961116.0093K
2012년 08월 08일,"1,903.23","1,896.58","1,919.61","1,896.56",485.57M,0.87%,924151.3911K
2012년 08월 07일,"1,886.80","1,883.82","1,891.60","1,881.66",325.27M,0.05%,613719.436K
2012년 08월 06일,"1,885.88","1,883.62","1,894.92","1,881.86",245.57M,2.01%,463115.5516K
2012년 08월 03일,"1,848.68","1,846.58","1,864.13","1,843.87",257.94M,-1.11%,476848.5192K
2012년 08월 02일,"1,869.40","1,883.68","1,885.89","1,864.86",270.46M,-0.56%,505597.924K
2012년 08월 01일,"1,879.93","1,870.58","1,886.32","1,867.28",291.30M,-0.11%,547623.609K
2012년 07월 31일,"1,881.99","1,845.46","1,896.83","1,842.51",359.15M,2.07%,675916.7085K
2012년 07월 30일,"1,843.79","1,847.01","1,850.27","1,841.40",337.20M,0.80%,621725.988K
2012년 07월 27일,"1,829.16","1,812.98","1,829.16","1,805.92",397.61M,2.62%,727292.3076K
2012년 07월 26일,"1,782.47","1,778.01","1,787.20","1,766.81",409.56M,0.74%,730028.4132K
2012년 07월 25일,"1,769.31","1,760.22","1,785.84","1,758.99",468.02M,-1.37%,828072.4662K
2012년 07월 24일,"1,793.93","1,784.47","1,796.02","1,781.60",490.62M,0.25%,880137.9366K
2012년 07월 23일,"1,789.44","1,799.24","1,799.24","1,780.01",502.13M,-1.84%,898531.5072K
2012년 07월 20일,"1,822.93","1,823.95","1,830.26","1,818.84",412.10M,0.00%,751229.453K
2012년 07월 19일,"1,822.96","1,820.84","1,830.09","1,815.71",488.68M,1.56%,890844.0928K
2012년 07월 18일,"1,794.91","1,821.28","1,827.95","1,790.36",454.66M,-1.48%,816073.7806K
2012년 07월 17일,"1,821.96","1,808.63","1,835.64","1,802.07",412.61M,0.23%,751758.9156K
2012년 07월 16일,"1,817.79","1,820.34","1,821.84","1,807.11",268.35M,0.27%,487803.9465K
2012년 07월 13일,"1,812.89","1,790.98","1,820.66","1,773.67",348.54M,1.54%,631864.6806K
2012년 07월 12일,"1,785.39","1,827.82","1,830.77","1,785.32",320.83M,-2.24%,572806.6737K
2012년 07월 11일,"1,826.39","1,825.53","1,827.60","1,813.79",336.69M,-0.17%,614927.2491K
2012년 07월 10일,"1,829.45","1,843.77","1,845.94","1,823.79",368.86M,-0.36%,674810.927K
2012년 07월 09일,"1,836.13","1,840.30","1,844.32","1,833.11",282.04M,-1.19%,517862.1052K
2012년 07월 06일,"1,858.20","1,877.74","1,880.36","1,850.10",340.65M,-0.92%,632995.83K
2012년 07월 05일,"1,875.49","1,870.53","1,878.13","1,866.91",324.18M,0.06%,607996.3482K
2012년 07월 04일,"1,874.45","1,875.52","1,881.68","1,871.84",336.14M,0.35%,630077.623K
2012년 07월 03일,"1,867.82","1,858.70","1,871.08","1,858.44",348.20M,0.87%,650374.924K
2012년 07월 02일,"1,851.65","1,864.73","1,865.93","1,851.28",273.63M,-0.13%,506666.9895K
2012년 06월 29일,"1,854.01","1,808.61","1,854.01","1,801.63",320.63M,1.91%,594451.2263K
2012년 06월 28일,"1,819.18","1,826.37","1,827.35","1,806.08",309.66M,0.08%,563327.2788K
2012년 06월 27일,"1,817.65","1,815.70","1,821.47","1,795.16",319.48M,-0.01%,580702.822K
2012년 06월 26일,"1,817.81","1,818.51","1,826.66","1,814.46",313.27M,-0.41%,569465.3387K
2012년 06월 25일,"1,825.38","1,842.76","1,842.76","1,813.41",291.24M,-1.19%,531623.6712K
2012년 06월 22일,"1,847.39","1,861.44","1,863.57","1,843.57",300.71M,-2.21%,555528.6469K
2012년 06월 21일,"1,889.15","1,895.51","1,900.44","1,879.65",390.17M,-0.79%,737089.6555K
2012년 06월 20일,"1,904.12","1,908.19","1,908.19","1,895.27",367.74M,0.65%,700221.0888K
2012년 06월 19일,"1,891.77","1,885.56","1,895.32","1,883.56",380.91M,0.00%,720594.1107K
2012년 06월 18일,"1,891.71","1,892.91","1,901.11","1,887.05",376.28M,1.81%,711812.6388K
2012년 06월 15일,"1,858.16","1,871.48","1,871.48","1,847.19",452.51M,-0.71%,840835.9816K
2012년 06월 14일,"1,871.48","1,856.57","1,871.48","1,855.06",426.64M,0.65%,798448.2272K
2012년 06월 13일,"1,859.32","1,867.45","1,867.45","1,849.71",558.26M,0.25%,1037983.983K
2012년 06월 12일,"1,854.74","1,840.56","1,857.93","1,840.10",421.37M,-0.66%,781531.7938K
2012년 06월 11일,"1,867.04","1,860.90","1,869.33","1,859.74",382.22M,1.71%,713620.0288K
2012년 06월 08일,"1,835.64","1,854.00","1,854.59","1,832.83",379.83M,-0.67%,697231.1412K
2012년 06월 07일,"1,847.95","1,839.49","1,853.20","1,839.49",403.44M,2.56%,745536.948K
2012년 06월 05일,"1,801.85","1,799.88","1,806.11","1,791.84",338.83M,1.05%,610520.8355K
2012년 06월 04일,"1,783.13","1,782.58","1,794.02","1,776.85",395.06M,-2.80%,704443.3378K
2012년 06월 01일,"1,834.51","1,832.08","1,842.00","1,821.98",334.42M,-0.49%,613496.8342K
2012년 05월 31일,"1,843.47","1,819.99","1,843.49","1,813.01",447.95M,-0.08%,825782.3865K
2012년 05월 30일,"1,844.86","1,846.12","1,846.60","1,828.83",417.04M,-0.27%,769380.4144K
2012년 05월 29일,"1,849.91","1,821.63","1,851.94","1,817.90",328.00M,1.41%,606770.48K
2012년 05월 25일,"1,824.17","1,818.62","1,831.78","1,815.54",386.49M,0.53%,705023.4633K
2012년 05월 24일,"1,814.47","1,807.07","1,816.98","1,800.74",407.90M,0.32%,740122.313K
2012년 05월 23일,"1,808.62","1,815.33","1,815.33","1,796.50",447.56M,-1.10%,809465.9672K
2012년 05월 22일,"1,828.69","1,825.82","1,831.06","1,813.53",428.37M,1.64%,783355.9353K
2012년 05월 21일,"1,799.13","1,801.48","1,804.48","1,788.33",414.13M,0.94%,745073.7069K
2012년 05월 18일,"1,782.46","1,813.79","1,813.79","1,779.47",547.77M,-3.40%,976378.1142K
2012년 05월 17일,"1,845.24","1,842.83","1,856.34","1,833.08",444.29M,0.26%,819821.6796K
2012년 05월 16일,"1,840.53","1,886.69","1,889.29","1,840.23",426.18M,-3.08%,784397.0754K
2012년 05월 15일,"1,898.96","1,897.74","1,904.99","1,881.80",524.60M,-0.77%,996194.416K
2012년 05월 14일,"1,913.73","1,917.26","1,921.65","1,900.43",399.00M,-0.18%,763578.27K
2012년 05월 11일,"1,917.13","1,939.00","1,939.00","1,915.69",535.93M,-1.43%,1027447.481K
2012년 05월 10일,"1,944.93","1,944.80","1,951.51","1,937.14",425.06M,-0.27%,826711.9458K
2012년 05월 09일,"1,950.29","1,958.31","1,962.04","1,945.31",468.02M,-0.85%,912774.7258K
2012년 05월 08일,"1,967.01","1,967.28","1,969.64","1,961.44",492.69M,0.54%,969126.1569K
2012년 05월 07일,"1,956.44","1,956.06","1,960.51","1,952.42",533.66M,-1.64%,1044073.77K
2012년 05월 04일,"1,989.15","1,987.03","1,992.10","1,981.58",608.82M,-0.30%,1211034.303K
2012년 05월 03일,"1,995.11","1,995.78","1,998.90","1,990.45",685.81M,-0.20%,1368266.389K
2012년 05월 02일,"1,999.07","1,994.17","2,001.11","1,989.55",653.04M,0.86%,1305472.673K
2012년 04월 30일,"1,981.99","1,989.52","1,991.12","1,975.46",837.87M,0.34%,1660649.961K
2012년 04월 27일,"1,975.35","1,972.05","1,983.26","1,967.84",484.70M,0.58%,957452.145K
2012년 04월 26일,"1,964.04","1,976.82","1,979.43","1,955.05",607.42M,0.10%,1192997.177K
2012년 04월 25일,"1,961.98","1,980.51","1,980.51","1,961.97",681.75M,-0.07%,1337579.865K
2012년 04월 24일,"1,963.42","1,956.75","1,972.24","1,954.01",630.80M,-0.47%,1238525.336K
2012년 04월 23일,"1,972.63","1,971.39","1,980.94","1,964.12",585.16M,-0.10%,1154304.171K
2012년 04월 20일,"1,974.65","1,988.22","1,988.22","1,970.54",518.73M,-1.26%,1024310.195K
2012년 04월 19일,"1,999.86","2,000.40","2,008.82","1,994.61",412.12M,-0.23%,824182.3032K
2012년 04월 18일,"2,004.53","2,014.23","2,014.95","2,001.59",382.94M,0.97%,767614.7182K
2012년 04월 17일,"1,985.30","1,995.33","1,999.50","1,982.44",445.68M,-0.37%,884808.504K
2012년 04월 16일,"1,992.63","1,985.28","1,998.35","1,982.93",452.52M,-0.81%,901704.9276K
2012년 04월 13일,"2,008.91","2,001.71","2,011.37","1,996.23",495.29M,1.12%,994993.0339K
2012년 04월 12일,"1,986.63","1,985.16","1,986.63","1,969.09",391.51M,-0.39%,777785.5113K
2012년 04월 10일,"1,994.41","2,000.77","2,011.27","1,990.13",543.74M,-0.13%,1084440.493K
2012년 04월 09일,"1,997.08","2,008.03","2,009.36","1,995.80",466.75M,-1.57%,932137.09K
2012년 04월 06일,"2,029.03","2,026.32","2,033.49","2,022.81",536.31M,0.01%,1088189.079K
2012년 04월 05일,"2,028.77","2,006.27","2,030.69","1,997.12",549.31M,0.50%,1114423.649K
2012년 04월 04일,"2,018.61","2,046.90","2,048.11","2,015.57",621.54M,-1.50%,1254646.859K
2012년 04월 03일,"2,049.28","2,040.81","2,051.80","2,038.52",593.28M,0.99%,1215796.838K
2012년 04월 02일,"2,029.29","2,022.42","2,031.79","2,015.72",409.92M,0.76%,831846.5568K
2012년 03월 30일,"2,014.04","2,011.50","2,018.09","2,002.61",449.87M,-0.02%,906056.1748K
2012년 03월 29일,"2,014.41","2,019.41","2,025.23","2,004.94",470.32M,-0.85%,947417.3112K
2012년 03월 28일,"2,031.74","2,034.35","2,038.45","2,028.11",533.80M,-0.39%,1084542.812K
2012년 03월 27일,"2,039.76","2,042.47","2,043.75","2,028.39",606.41M,1.02%,1236930.862K
2012년 03월 26일,"2,019.19","2,035.17","2,041.05","2,012.86",436.98M,-0.38%,882345.6462K
2012년 03월 23일,"2,026.83","2,015.07","2,029.77","2,013.72",506.77M,0.04%,1027136.639K
2012년 03월 22일,"2,026.12","2,026.75","2,031.42","2,017.93",541.73M,-0.05%,1097609.988K
2012년 03월 21일,"2,027.23","2,031.58","2,039.80","2,022.97",517.07M,-0.73%,1048219.816K
2012년 03월 20일,"2,042.15","2,046.38","2,055.34","2,035.26",540.34M,-0.24%,1103455.331K
2012년 03월 19일,"2,047.00","2,040.07","2,050.87","2,036.35",555.80M,0.62%,1137722.6K
2012년 03월 16일,"2,034.44","2,054.63","2,054.99","2,034.21",464.24M,-0.46%,944468.4256K
2012년 03월 15일,"2,043.76","2,044.01","2,050.48","2,038.60",476.10M,-0.06%,973034.136K
2012년 03월 14일,"2,045.08","2,050.50","2,057.28","2,045.08",541.11M,0.99%,1106613.239K
2012년 03월 13일,"2,025.04","2,012.91","2,028.98","2,012.91",448.92M,1.13%,909080.9568K
2012년 03월 12일,"2,002.50","2,018.73","2,019.14","2,001.50",375.48M,-0.78%,751898.7K
2012년 03월 09일,"2,018.30","2,017.67","2,022.95","2,001.67",416.40M,0.88%,840420.12K
2012년 03월 08일,"2,000.76","1,989.30","2,004.72","1,978.79",456.09M,0.94%,912526.6284K
2012년 03월 07일,"1,982.15","1,968.72","1,987.97","1,966.69",511.29M,-0.91%,1013453.474K
2012년 03월 06일,"2,000.36","2,019.28","2,023.83","1,988.86",554.73M,-0.78%,1109659.703K
2012년 03월 05일,"2,016.06","2,028.97","2,030.57","2,011.50",548.01M,-0.91%,1104821.041K
2012년 03월 02일,"2,034.63","2,041.52","2,046.82","2,033.50",483.19M,0.22%,983112.8697K
