,종가,오픈,고가,저가,거래량,변동 %,거래대금
2012년 09월 03일,"1,912.71","1,909.06","1,921.84","1,885.03",597.14M,0.40%,1142155.649K
2012년 08월 31일,"1,905.12","1,897.16","1,912.24","1,896.84",659.11M,-0.07%,1255683.643K
2012년 08월 30일,"1,906.38","1,922.82","1,922.82","1,897.07",747.76M,-1.15%,1425514.709K
2012년 08월 29일,"1,928.54","1,920.49","1,931.00","1,914.82",592.39M,0.64%,1142447.811K
2012년 08월 28일,"1,916.33","1,922.02","1,925.70","1,910.58",611.92M,-0.08%,1172640.654K
2012년 08월 27일,"1,917.87","1,909.02","1,925.15","1,907.50",572.93M,-0.10%,1098805.259K
2012년 08월 24일,"1,919.81","1,921.08","1,927.10","1,913.75",631.35M,-1.17%,1212072.044K
2012년 08월 23일,"1,942.54","1,934.56","1,942.97","1,924.50",604.39M,0.38%,1174051.751K
2012년 08월 22일,"1,935.19","1,939.60","1,947.43","1,917.48",422.80M,-0.41%,818198.332K
2012년 08월 21일,"1,943.22","1,954.51","1,961.07","1,942.61",407.53M,-0.16%,791920.4466K
2012년 08월 20일,"1,946.31","1,944.67","1,949.89","1,938.25",357.94M,-0.01%,696662.2014K
2012년 08월 17일,"1,946.54","1,964.07","1,964.07","1,941.79",372.45M,-0.58%,724988.823K
2012년 08월 16일,"1,957.91","1,956.35","1,959.92","1,947.26",430.51M,0.05%,842899.8341K
2012년 08월 14일,"1,956.96","1,942.61","1,957.15","1,939.45",341.11M,1.27%,667538.6256K
2012년 08월 13일,"1,932.44","1,945.33","1,946.20","1,932.40",352.65M,-0.72%,681474.966K
